Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Banking/Financial,https://icici-bank-support.in,icicilombard.com,ICICI Bank,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:11,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://sbi-secure-login.com,sbisecurities.in,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:12,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://sbi.co.in.login.banking-services.net/234/redirect,onlinesbi.sbi.bank.in,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:26,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://sbi.com-kyc.net/login,sbi.bank.in,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:28,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtelmetaverse.com,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:29,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://onlinesbi.sbi.update-rewards.xyz,onlinesbi.sbi.bank.in,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:29,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://sbireward.com,sbicard.com,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:29,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.info,incometaxindia.gov.in,Income Tax Department,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:29,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://axisupi.com,axismf.com,Axis Bank,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:29,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-zungusha.lol,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Social Media,https://airindiaair.com,airindiaexpress.com,Air India,Suspected,2026-02-26T10:32:53Z,"Sav.com, LLC",NA,NA,NS1.BEGET.COM;NS1.BEGET.PRO;NS2.BEGET.COM;NS2.BEGET.PRO,87.236.16.28,Beget LLC,RU,A:87.236.16.28;NS:ns2.beget.com.;NS:ns2.beget.pro.;NS:ns1.beget.pro.;NS:ns1.beget.com.;MX:10 mx1.beget.com.;MX:20 mx2.beget.com.,NA,10-04-2026,20:30:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtell.ai,airtel.in,Airtel,Suspected,2026-02-19T22:55:16.755Z,"GoDaddy.com, LLC",Registration Private,NA,ns67.domaincontrol.com;ns68.domaincontrol.com,15.197.148.33,AMAZON-02,US,A:15.197.148.33;A:3.33.130.190;NS:ns67.domaincontrol.com.;NS:ns68.domaincontrol.com.,NA,10-04-2026,20:30:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://icicibank.net/login,icici.bank.in,ICICI Bank,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:30:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-merchants.club,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:30:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://crsor.info,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:30:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.org,incometaxindia.gov.in,Income Tax Department,Suspected,2026-02-26T07:11:30.833Z,PDR Ltd. d/b/a PublicDomainRegistry.com,NA,NA,alex.ns.cloudflare.com;edna.ns.cloudflare.com,172.67.183.147,CLOUDFLARENET,NA,A:104.21.51.180;A:172.67.183.147;NS:alex.ns.cloudflare.com.;NS:edna.ns.cloudflare.com.;MX:100 mx2.titan.email.;MX:100 mx1.titan.email.,NA,10-04-2026,20:30:48,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://paarivahan.com,parivahan.gov.in,parivahan sewa,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:30:48,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://uidaiaadhardownload.com,uidai.gov.in,"Unique Identification Authority of India (UIDAI)
",Phishing,2026-02-22T14:32:02Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,91.108.106.137,Hostinger International Limited,IN,A:93.127.173.48;A:147.79.69.242;NS:ns2.dns-parking.com.;NS:ns1.dns-parking.com.,PS-02_ISS_NLP_Evidences/UIDAI_uidaiaadhardownload.com_3.pdf,10-04-2026,20:31:00,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtele.xyz,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-04-2026,20:31:00,NA,weak_or_single_signal_match; NA values are due to privacy issues.
