target_url,best_entity,best_legit_domain,prefilter_score,decision
moisesdevweb.com,State Bank of India (SBI),sbisecurities.in,2.4186,rejected
abx5n1n7.cc,National Health Authority (NHA),abdm.gov.in,3.8682,rejected
freedomroadfinancialdealerhub.com,Coal India,coalindiatenders.nic.in,3.0291,rejected
quadbottles.store,State Bank of India (SBI),sbisecurities.in,2.0263,rejected
avbyfpho.shop,State Bank of India (SBI),homeloans.sbi,0.6087,rejected
creditrepair-help.com,Air India,airindiaexpress.com,3.2211,rejected
lml2vipaff05.cc,Vodafone Idea (VI),myvi.in,2.0188,rejected
surpriseoflifellc.com,State Bank of India (SBI),sbilife.co.in,6.096,rejected
manto90.store,National Informatics Centre (NIC),kavach.mail.gov.in,3.0821,rejected
ibramep.com,Computer Age Management Services Ltd. (CAMS),camsonline.com,1.8632,rejected
calmplatewindow.club,Coal India,coalindiatenders.nic.in,8.0955,rejected
snowtime.shop,State Bank of India (SBI),sbimf.com,2.3518,rejected
roisgloballogam.com,ICICI Bank,icicilombard.com,1.0214,rejected
tutu-and-tiaras.com,IndusInd Bank,indusind.bank.in,3.2826,rejected
gothamfinn.co,Kfintech,kfintech.com,1.9284,rejected
ivqojlz1513.top,Indian Oil Corporation Limited (IOCL),iocl.com,0.7904,rejected
shaart.com,National Health Authority (NHA),nha.gov.in,3.2827,rejected
discretion.shop,State Bank of India (SBI),sbisecurities.in,2.0869,rejected
vipslot.casino,Vodafone Idea (VI),myvi.in,8.2634,rejected
mis4624.cc,National Informatics Centre (NIC),kavach.mail.gov.in,1.5014,rejected
yataganharem5.click,National Health Authority (NHA),nha.gov.in,5.4596,rejected
greenbeangirltrainingtutoring.com,Air India,airindiaexpress.com,1.1868,rejected
wintergroupsecurity.com,State Bank of India (SBI),sbisecurities.in,11.7691,accepted
di9rke.top,ICICI Bank,icicidirect.com,1.9759,rejected
domain,National Informatics Centre (NIC),kavach.mail.gov.in,9.8835,rejected
allnaturalherbalmedicines.com,Coal India,coalindiatenders.nic.in,3.3058,rejected
