input_position,input_url,normalized_url,source_workbook,exclusion_stage,reason,survival_path,drop_path,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted_to_holdout,kept_for_review_only,review_only_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_matching_domain,generic_token_only_match,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,stage1_passthrough
1,domain,https://domain,urls.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,[Errno -3] Temporary failure in name resolution,,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,kavach.mail.gov.in,True,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
2,jardines10.com,https://jardines10.com,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://jardines10.com,,,,False,False,,False,False,True,fallback_top_k,airtel.in,False,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,jardines10.com,,114,False,stage1_low_suspicion,False
3,connectionsarchive.net,https://connectionsarchive.net,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://connectionsarchive.net,,,,False,False,,False,False,True,fallback_top_k,coalindiatenders.nic.in,False,False,0,4,0,0,4,False,auth_wording,False,False,False,0,0,connectionsarchive.net,connectionsarchive.net,32768,False,stage1_low_suspicion,False
4,web365daftar.com,https://web365daftar.com,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://web365daftar.com,,,,False,False,,False,False,True,fallback_top_k,eci.gov.in,False,False,8,0,0,0,8,False,meta_brand_match,False,False,False,1,0,web365daftar.com,bannerpenyimpanan.club,32768,False,stage1_low_suspicion,False
5,conciergerie-niort.fr,https://conciergerie-niort.fr,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://conciergerie-niort.fr,,,,False,False,,False,False,True,fallback_top_k,crsorgi.gov.in,False,False,0,0,6,6,12,False,suspicious_hosting_provider|js_redirect,False,False,False,0,0,conciergerie-niort.fr,assets.zyrosite.com,32768,False,stage1_low_suspicion,False
6,nmjiaojinginc.shop,https://nmjiaojinginc.shop,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://nmjiaojinginc.shop,,,,False,False,,False,False,True,fallback_top_k,jio.com,False,False,0,0,0,0,0,False,,False,False,False,0,0,nmjiaojinginc.shop,,1068,False,stage1_low_suspicion,False
7,ventajp.com,https://ventajp.com,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://ventajp.com,,,,False,False,,False,False,True,fallback_top_k,nha.gov.in,False,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,ventajp.com,,114,False,stage1_low_suspicion,False
8,snackduel.com,https://snackduel.com,urls.xlsx|123456.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,[Errno -5] No address associated with hostname,,,,,False,False,,False,False,True,fallback_top_k,nha.gov.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
9,calmplatewindow.club,https://calmplatewindow.club,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://calmplatewindow.club,,,,False,False,,False,False,True,fallback_top_k,indiascienceandtechnology.gov.in,False,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,calmplatewindow.club,calmplatewindow.club,18105,False,stage1_low_suspicion,False
10,tuterrenoenchile.cl,https://tuterrenoenchile.cl,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://www.tuterrenoenchile.cl/,,,,False,False,,False,False,True,fallback_top_k,irctctourism.com,False,False,0,0,0,0,0,False,,False,False,False,0,1,www.tuterrenoenchile.cl,www.tuterrenoenchile.cl,32768,False,stage1_low_suspicion,False
11,pumirpkin.live,https://pumirpkin.live,urls.xlsx|123456.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://pumirpkin.live,,,,False,False,,False,False,True,fallback_top_k,uidai.gov.in,False,False,0,0,0,6,6,False,meta_refresh,False,False,False,0,0,pumirpkin.live,,4735,False,stage1_low_suspicion,False
12,exerciseok.com,https://exerciseok.com,urls.xlsx|123456.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,,False,False,True,fallback_top_k,eci.gov.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
