input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
1,ezbrd.co,https://ezbrd.co,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),51.9794,Low,0.5111,0.8837,0.25,15.3333,17.673,0.0
2,swiftdrops.store,https://swiftdrops.store,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Income Tax Department,46.9243,Low,0.6056,0.7977,0.375,18.1667,15.9542,0.0
3,nmjiaojinginc.shop,https://nmjiaojinginc.shop,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Computer Age Management Services Ltd. (CAMS),38.7065,Low,0.5761,0.658,0.4348,17.2821,13.1602,0.0
4,emon793hoky.online,https://emon793hoky.online,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),45.7687,Low,0.4747,0.7781,0.1429,14.2424,15.5614,0.0
5,uk-travel.ru,https://uk-travel.ru,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Computer Age Management Services Ltd. (CAMS),47.402,Low,0.4333,0.8058,0.2105,13.0,16.1167,0.0
6,navaitour.online,https://navaitour.online,resolved,accepted,failed,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Indian Railway Catering and Tourism Corporation (IRCTC),0.0,Low,0.6574,0.0,0.4762,19.7222,0.0,0.0
7,enerzyph.com,https://enerzyph.com,no_records,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Kfintech,0.0,,0.5833,0.0,0.405,0.0,0.0,0.0
8,519zx.top,https://519zx.top,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Computer Age Management Services Ltd. (CAMS),46.0934,Low,0.4333,0.7836,0.2667,13.0,15.6718,0.0
9,verify-account.net,https://verify-account.net,dns_error,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),0.0,,0.6032,0.0,0.2353,0.0,0.0,0.0
10,landscapebyvera.com,https://landscapebyvera.com,resolved,accepted,failed,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Coal India,0.0,Low,0.6468,0.0,0.4516,19.4028,0.0,0.0
