url,source_workbooks_json
airtel-merchants.club,"[""AIGR-S66270_Ground_Truth.xlsx""]"
airtele.xyz,"[""AIGR-S66270_Ground_Truth.xlsx""]"
paarivahan.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
airtell.ai,"[""AIGR-S66270_Ground_Truth.xlsx""]"
axisupi.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
uidaiaadhardownload.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
sbireward.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
airtel-zungusha.lol,"[""AIGR-S66270_Ground_Truth.xlsx""]"
airtelmetaverse.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
incometaxgov.info,"[""AIGR-S66270_Ground_Truth.xlsx""]"
incometaxgov.org,"[""AIGR-S66270_Ground_Truth.xlsx""]"
crsor.info,"[""AIGR-S66270_Ground_Truth.xlsx""]"
