input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision,fetch_status,final_landing_url,parking_provider,parking_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason
1,twentysixer.ru,https://twentysixer.ru,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
2,8eight.com.tw,https://8eight.com.tw,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
3,mis4624.cc,https://mis4624.cc,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
4,pnbindia-services.com,https://pnbindia-services.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,brand_token_match|jw_primary
5,fresna.online,https://fresna.online,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
6,quadbottles.store,https://quadbottles.store,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
7,pulsefck.store,https://pulsefck.store,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
8,saudenervocuremax.shop,https://saudenervocuremax.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
9,americanexpress-reward00175.ink,https://americanexpress-reward00175.ink,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
10,soyprotagonistafinanciero.com,https://soyprotagonistafinanciero.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
11,mediavision.store,https://mediavision.store,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
12,wfbmus.org,https://wfbmus.org,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
13,sweetcookii.com,https://sweetcookii.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
