Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
National Informatics Centre (NIC),accounts.mgovcloud.in,https://cronicasethervael.com.br,123456.xlsx,0.0,Low,,weak_evidence,0.6711,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://cronicasethervael.com.br,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,cronicasethervael.com.br,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://farmingtonheating.com,123456.xlsx,0.0,Low,,weak_evidence,0.6563,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://farmingtonheating.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,farmingtonheating.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://martincalvo.com,123456.xlsx,0.0,Low,,weak_evidence,0.696,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.martincalvo.com/,,,,,,,,False,40,0,0,0,40,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match,False,False,False,1,1,www.martincalvo.com,www.martincalvo.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://nicole-davidow.com,123456.xlsx,0.0,Low,,weak_evidence,0.8167,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://nicole-davidow.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,nicole-davidow.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://inset-sk.com,123456.xlsx,0.0,Low,,weak_evidence,0.6333,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,head_error,,https://inset-sk.com,,,,,,,,False,8,16,0,0,24,False,body_brand_match|favicon_brand_match|form_action_mismatch,False,False,True,1,0,inset-sk.com,inset-sk.com,19254,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://max-armbrecht-leukaemiehilfe.org,123456.xlsx,0.0,Low,,weak_evidence,0.619,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.max-armbrecht-leukaemiehilfe.org/,,,,,,,,False,8,28,3,0,39,False,body_brand_match|favicon_brand_match|password_field|login_form|multi_input_form|multi_redirect_chain,True,True,False,1,2,www.max-armbrecht-leukaemiehilfe.org,www.max-armbrecht-leukaemiehilfe.org,15563,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://thetaxsolicitor.com,123456.xlsx,0.0,Low,,weak_evidence,0.65,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://thetaxsolicitor.com,,,,,,,,False,4,16,0,0,20,False,body_brand_match|form_action_mismatch,False,False,True,1,0,thetaxsolicitor.com,,2125,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Axis Bank,axismaxlife.com,https://takashimcl.com,123456.xlsx,0.0,Low,,weak_evidence,0.6596,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.takashimcl.com/,,,,,,,,False,0,36,0,0,36,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,0,1,www.takashimcl.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://becerrilservicios.com,123456.xlsx,0.0,Low,,weak_evidence,0.7255,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://becerrilservicios.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|meta_brand_match|body_brand_match,False,False,False,1,0,becerrilservicios.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
IndusInd Bank,indusind.bank.in,https://kingschildrensfoundation.org,123456.xlsx,0.0,Low,,weak_evidence,0.6746,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://kingschildrensfoundation.org,,,,,,,,False,0,36,0,0,36,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,0,0,kingschildrensfoundation.org,,5626,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://adm-fl.com,123456.xlsx,0.0,Low,,weak_evidence,0.775,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.franklycoastal.com,,,,,,,,False,4,14,0,4,22,False,body_brand_match|login_form|auth_wording|multi_input_form|final_domain_changed,False,True,False,1,1,www.franklycoastal.com,www.franklycoastal.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Bank of Baroda,bankofbaroda.bank.in,https://bobbiecooperterrymortgage.com,123456.xlsx,0.0,Low,,weak_evidence,0.5956,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yourloansgirl.com/,,,,,,,,False,40,0,3,8,51,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|multi_redirect_chain|iframe_present|final_domain_changed,False,False,False,1,2,yourloansgirl.com,firebasestorage.googleapis.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://aureaprata.com.br,123456.xlsx,0.0,Low,,weak_evidence,0.6206,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://aureaprata.com.br,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,aureaprata.com.br,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://hamwic.org,123456.xlsx,0.0,Low,,weak_evidence,0.6667,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hamwic.org/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.hamwic.org,www.hamwic.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://andremilan.eng.br,123456.xlsx,0.0,Low,,weak_evidence,0.6889,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,head_error,,https://andremilan.eng.br,,,,,,,,False,28,2,0,0,30,False,title_brand_match|body_brand_match|multi_input_form,False,False,False,1,0,andremilan.eng.br,,29055,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://btwixtfashion.com,123456.xlsx,0.0,Low,,weak_evidence,0.6103,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://btwixtfashion.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,btwixtfashion.com,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://myjusticemyanmar.org,123456.xlsx,0.0,Low,,weak_evidence,0.6458,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://myjusticemyanmar.org,,,,,,,,False,4,16,0,4,24,False,body_brand_match|form_action_mismatch|iframe_present,False,False,True,1,0,myjusticemyanmar.org,myjusticemyanmar.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://goldennailsspringfieldva.com,123456.xlsx,0.0,Low,,weak_evidence,0.6574,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://goldennailsspringfieldva.com,,,,,,,,False,16,0,0,4,20,False,meta_brand_match|body_brand_match|favicon_brand_match|iframe_present,False,False,False,1,0,goldennailsspringfieldva.com,goldennailsspringfieldva.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),vssc.gov.in,https://vloasis.com,123456.xlsx,0.0,Low,,weak_evidence,0.5952,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://vloasis.ning.com/main/authorization/signIn?target=https%3A%2F%2Fvloasis.ning.com%2F,,,,,,,,False,0,36,3,14,53,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form|multi_redirect_chain|js_redirect|iframe_present|final_domain_changed,True,True,False,0,3,vloasis.ning.com,storage.ning.com,14622,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://jimboyceagency.com,123456.xlsx,0.0,Low,,weak_evidence,0.7905,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.jimboyceinsurance.com/,,,,,,,,False,4,4,3,14,25,False,favicon_brand_match|auth_wording|multi_redirect_chain|js_redirect|iframe_present|final_domain_changed,False,False,False,1,2,www.jimboyceinsurance.com,www.jimboyceinsurance.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Airtel,airtelpayments.bank.in,https://atheleos.in,123456.xlsx,0.0,Low,,weak_evidence,0.7536,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.atheleos.in/login?from=%2F,,,,,,,,False,0,34,3,0,37,False,password_field|login_form|auth_wording|submit_auth_wording|multi_redirect_chain,True,True,False,0,2,www.atheleos.in,www.atheleos.in,17305,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://flipperdoma.fun,123456.xlsx,0.0,Low,,weak_evidence,0.6212,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://parkpage.nicnames.com/?fqdn=flipperdoma.fun,,,,,,,,False,44,4,6,4,58,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider|final_domain_changed,False,False,False,1,1,parkpage.nicnames.com,3sspw4l2.tinifycdn.com,3396,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://kastamonuparkedoseme.com.tr,123456.xlsx,0.0,Low,,weak_evidence,0.6222,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://kastamonuparkedoseme.com.tr,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,kastamonuparkedoseme.com.tr,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://yourvalleyvibe.com,123456.xlsx,0.0,Low,,weak_evidence,0.5709,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yourvalleyvibe.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,yourvalleyvibe.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://etherandashapothecary.com,123456.xlsx,0.0,Low,,weak_evidence,0.619,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://etherandashapothecary.com,,,,,,,,False,4,4,6,6,20,False,body_brand_match|auth_wording|suspicious_hosting_provider|js_redirect,False,False,False,1,0,etherandashapothecary.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://heatherfinney.com,123456.xlsx,0.0,Low,,weak_evidence,0.6068,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://heatherfinney.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,heatherfinney.com,,358,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://jjmanizales.com,123456.xlsx,0.0,Low,,weak_evidence,0.6742,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://jjmanizales.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,jjmanizales.com,,151,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://valoraservicios.com,123456.xlsx,0.0,Low,,weak_evidence,0.65,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://valoraservicios.com,,,,,,,,False,4,4,6,6,20,False,body_brand_match|auth_wording|suspicious_hosting_provider|js_redirect,False,False,False,1,0,valoraservicios.com,assets.zyrosite.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://seengtoto.com,123456.xlsx,0.0,Low,,weak_evidence,0.5741,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://seengtoto.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|meta_brand_match|body_brand_match,False,False,False,1,0,seengtoto.com,seengtoto.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://abringenieria.com,123456.xlsx,0.0,Low,,weak_evidence,0.6816,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://abringenieria.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,abringenieria.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://gingerbeerplant.net,123456.xlsx,0.0,Low,,weak_evidence,0.6735,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gingerbeerplant.net,,,,,,,,False,4,28,6,0,38,False,body_brand_match|login_form|auth_wording|form_action_mismatch|suspicious_hosting_provider,False,True,True,1,0,gingerbeerplant.net,gingerbeerplant.net,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://gez.link,123456.xlsx,0.0,Low,,weak_evidence,0.5,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gez.link/login,,,,,,,,False,4,36,0,0,40,False,favicon_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,1,1,gez.link,gez.link,5229,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://vibraemotion.com,123456.xlsx,0.0,Low,,weak_evidence,0.6627,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://vibraemotion.com,,,,,,,,False,28,0,0,6,34,False,title_brand_match|body_brand_match|js_redirect,False,False,False,1,0,vibraemotion.com,assets.zyrosite.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://pet10lps.com.br,123456.xlsx,0.0,Low,,weak_evidence,0.594,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://pet10lps.com.br,,,,,,,,False,8,0,6,10,24,False,meta_brand_match|suspicious_hosting_provider|iframe_present|image_heavy_low_text,False,False,False,1,0,pet10lps.com.br,,3055,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://byahamed.com,123456.xlsx,0.0,Low,,weak_evidence,0.6111,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://byahamed.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,byahamed.com,byahamed.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://le-cilaos.com,123456.xlsx,0.0,Low,,weak_evidence,0.7778,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://le-cilaos.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,le-cilaos.com,www.lwshosting.name,17277,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://fionglam.com,123456.xlsx,0.0,Low,,weak_evidence,0.7083,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://fionglam.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,fionglam.com,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://ajijaakwe.com,123456.xlsx,0.0,Low,,weak_evidence,0.6296,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://ajijaakwe.com,,,,,,,,False,28,0,3,0,31,False,title_brand_match|body_brand_match|suspicious_certificate,False,False,False,1,0,ajijaakwe.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Kfintech,kfintech.com,https://kint.eus,123456.xlsx,45.5357,Low,,weak_evidence,0.85,,,,,,jw_primary,,,,,,,,True,True,False,,,fetched,available,,,https://www.kint.eus/es/inicio,,,,,,,,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,kint.eus,,0,True,lexical_hit,,,,,,,,False,0,False,,,,,,,,,,,,strict_lexical_below_holdout_threshold
Bank of Baroda,bankofbaroda.bank.in,https://wsadminlog.beauty,123456.xlsx,0.0,Low,,weak_evidence,0.7167,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://wsadminlog.beauty,,,,,,,,False,4,28,0,0,32,False,body_brand_match|password_field|login_form|multi_input_form,True,True,False,1,0,wsadminlog.beauty,wsadminlog.beauty,32768,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://ufukbudak.com,123456.xlsx,0.0,Low,,weak_evidence,0.6481,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.ufukbudak.com/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.ufukbudak.com,www.ufukbudak.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
