input_position,input_url,normalized_url,source_workbook,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_entity,best_matching_domain,lexical_score,typo_similarity,generic_token_only_match,dns_status,dns_decision,fetch_status,fetch_error_type,fetch_error_detail,hash_shortlisted,review_only,reason,final_status
1,airtel-secure-pay-zzxq.com,https://airtel-secure-pay-zzxq.com,stage0_bias_check_input.csv,True,True,True,False,brand_token_match|jw_primary,Airtel,airtel.in,0.8545,0.4286,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
2,axisupi-login-zzxq.com,https://axisupi-login-zzxq.com,stage0_bias_check_input.csv,True,True,False,False,brand_token_match,Axis Bank,axismf.com,0.6296,0.3633,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
3,sbirewardlogin-zzxq.com,https://sbirewardlogin-zzxq.com,stage0_bias_check_input.csv,True,True,False,False,brand_token_match,State Bank of India (SBI),sbi.co.in,0.8035,0.2727,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
4,icici-bank-secure-zzxq.com,https://icici-bank-secure-zzxq.com,stage0_bias_check_input.csv,True,True,False,False,brand_token_match,ICICI Bank,icicisecurities.com,0.8467,0.6246,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
5,crsorgi-login-zzxq.com,https://crsorgi-login-zzxq.com,stage0_bias_check_input.csv,True,True,True,False,brand_token_match|jw_primary,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.8778,0.56,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
6,uidai-service-gov-zzxq.com,https://uidai-service-gov-zzxq.com,stage0_bias_check_input.csv,True,True,False,False,brand_token_match,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,0.8455,0.3704,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
7,5208is-zzxq.com,https://5208is-zzxq.com,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k,State Bank of India (SBI),sbi.co.in,0.7818,0.4286,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
8,art-axis-zzxq.com,https://art-axis-zzxq.com,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k,Axis Bank,axismf.com,0.6581,0.4511,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
9,axis-network-zzxq.com,https://axis-network-zzxq.com,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k,Axis Bank,axismf.com,0.634,0.3778,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
10,home-loans-zzxq.com,https://home-loans-zzxq.com,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k|generic_token_only,State Bank of India (SBI),homeloans.sbi,0.92,0.75,True,,,,,,False,False,generic_token_only_lexical_rejected,filtered_lexical_miss
11,nickps-zzxq.net,https://nickps-zzxq.net,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k,National Informatics Centre (NIC),nic.gov.in,0.8303,0.4286,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
12,4csonline-zzxq.digital,https://4csonline-zzxq.digital,stage0_bias_check_input.csv,False,False,False,True,fallback_top_k,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.7905,0.6667,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
