input_position,input_url,normalized_url,source_workbook,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,domain_component,clip_component,hash_component
1,j1icoy.makeup,https://j1icoy.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Jio,True,True,True,False,,,jw_primary,Jio,jio.com,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,j1icoy.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
6,onlinestore.click,https://onlinestore.click,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.8828,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinestore.click,,0,True,lexical_hit,0.0,,,,,,,,,0.7,False,0,False,False,0.0,0.0,0.0
11,ptntbq.makeup,https://ptntbq.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary,Punjab National Bank (PNB),pnb.bank.in,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ptntbq.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
15,idol.pink,https://idol.pink,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Indian Oil Corporation Limited (IOCL),True,True,True,False,,,jw_primary,Indian Oil Corporation Limited (IOCL),iocl.com,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,idol.pink,,0,True,lexical_hit,0.0,,,,,,,,,0.75,False,0,False,False,0.0,0.0,0.0
24,netxpend.net,https://netxpend.net,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary,Punjab National Bank (PNB),netpnb.com,0.0,,0.8736,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,netxpend.net,,0,True,lexical_hit,0.0,,,,,,,,,0.7143,False,0,False,False,0.0,0.0,0.0
29,ec1yiu.makeup,https://ec1yiu.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Election Commision of India (ECI),True,True,True,False,,,jw_primary,Election Commision of India (ECI),eci.gov.in,0.0,,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ec1yiu.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
30,abjadman.com,https://abjadman.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,National Health Authority (NHA),True,True,True,False,,,jw_primary,National Health Authority (NHA),abdm.gov.in,0.0,,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,abjadman.com,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
46,industrialink.store,https://industrialink.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,IndusInd Bank,True,True,True,False,,,jw_primary,IndusInd Bank,indusind.bank.in,0.0,,0.8827,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,industrialink.store,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
61,j2ti0d.makeup,https://j2ti0d.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Jio,True,True,True,False,,,jw_primary,Jio,jio.com,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,j2ti0d.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
72,jiulou.xyz,https://jiulou.xyz,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Jio,True,True,True,False,,,jw_primary,Jio,jio.com,0.0,,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiulou.xyz,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
79,homelandhome.org,https://homelandhome.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),homeloans.sbi,0.0,,0.8861,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,homelandhome.org,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
82,rehbi4.makeup,https://rehbi4.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Reserve Bank of India (RBI),True,True,True,False,,,jw_primary,Reserve Bank of India (RBI),rbi.org.in,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rehbi4.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
97,onlineserverr3.top,https://onlineserverr3.top,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.8556,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlineserverr3.top,,0,True,lexical_hit,0.0,,,,,,,,,0.6087,False,0,False,False,0.0,0.0,0.0
103,incomeopedia.com,https://incomeopedia.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,,0.8563,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incomeopedia.com,,0,True,lexical_hit,0.0,,,,,,,,,0.6923,False,0,False,False,0.0,0.0,0.0
104,axisroav.com,https://axisroav.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Axis Bank,True,True,True,False,,,jw_primary,Axis Bank,axis.bank.in,0.0,,0.9,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisroav.com,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
106,5biytm.makeup,https://5biytm.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),sbi.co.in,0.0,,0.8833,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,5biytm.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
112,arte.run,https://arte.run,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Airtel,True,True,True,False,,,jw_primary,Airtel,airtel.in,0.0,,0.9,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,arte.run,,0,True,lexical_hit,0.0,,,,,,,,,0.8,False,0,False,False,0.0,0.0,0.0
124,onlinesahabet-casino.top,https://onlinesahabet-casino.top,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.89,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinesahabet-casino.top,,0,True,lexical_hit,0.0,,,,,,,,,0.6207,False,0,False,False,0.0,0.0,0.0
