Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
parivahan sewa,parivahan.gov.in,http://particularhands.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.9899,Low,58.9899,weak_evidence,0.8652,0.8652,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,parivahan sewa,True,True,True,False,score_threshold,score_threshold,fetched,available,,,http://particularhands.com/,,,,58.9899,25.9556,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,particularhands.com,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\particularhands.com.png,," diese domain ist bereits registriert 
          ihre domain verwalten mywebsite webhosting vserver 
          domains so individuell wie ihre ideen. domain vorhandene domain zu ionos umziehen 
          richten sie ihre domain mit ionos ein."
IndusInd Bank,indusind.bank.in,https://indusinspection360.co.uk,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.1439,Low,58.1439,weak_evidence,0.8528,0.8528,0.5385,0.5385,True,False,jw_primary,lexical,False,score_threshold,,True,IndusInd Bank,True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://indusinspection360.co.uk/,,,,58.1439,25.5833,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,indusinspection360.co.uk,,0,True,lexical_hit,0.5385,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\indusinspection360.co.uk.png,indus inspection | digital quality infrastructure,"indus inspection | digital quality infrastructure 
      transform manual inspections into 
structured digital intelligence
 
      indus inspection replaces fragmented quality tracking with a 
      compliance-grade digital execution layer engineered for iso, iatf 
      and industrial process environments.
     30%+ reduction in audit prep time 100% traceable digital records real-time deviation detection & alerts 
        rebuilding inspection infrastructure
        for modern manufacturing co"
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://guide-ai.ru,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.6591,Low,59.6591,weak_evidence,0.875,0.875,0.7692,0.7692,True,False,jw_primary,lexical,False,score_threshold,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://guide-ai.ru/,,,,59.6591,26.25,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,guide-ai.ru,,0,True,lexical_hit,0.7692,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\guide-ai.ru.png,"guide ai — гайды по нейросетям - обзоры, сравнения и инструкции по ai-инструментам.","guide ai — гайды по нейросетям - обзоры, сравнения и инструкции по ai-инструментам. нейросети для бизнеса в 2026 году: полный гайд — от выбора до внедрения нейросети для бизнеса — это уже не модный тренд, а базовый инструмент конкуренции. если в 2024 году компании только присматривались к генеративному ai, то к февралю 2026 года 88% организаций в мире уже используют искусственный интеллект в рабочих процессах (данные mckinsey). в россии картина похожая: 43% всех компаний применяют ai, а среди кр"
Election Commision of India (ECI),eci.gov.in,https://ecqis.co,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,60.9091,Low,60.9091,weak_evidence,0.8933,0.8933,0.75,0.75,True,False,jw_primary,lexical,False,score_threshold,,True,Election Commision of India (ECI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://107.149.110.92:25005/tzjhl.zg,,,,60.9091,26.8,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecqis.co,,0,True,lexical_hit,0.75,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\ecqis.co.png,加载中...,加载中... 加载中... 为您选择最快的服务 正在智能测速 服务暂时不可用 所有服务节点当前无法访问，请联系客服获取帮助
Canara Bank,canarahsbclife.com,https://carshlife.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.6681,Low,59.6681,weak_evidence,0.8751,0.8751,0.6957,0.6957,True,False,jw_primary,lexical,False,score_threshold,,True,Canara Bank,True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://carshlife.store/,,,,59.6681,26.254,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,carshlife.store,,0,True,lexical_hit,0.6957,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\carshlife.store.png,this domain is not linked to any directory on the server!,"this domain is not linked to any directory on the server! что это значит и как прилинковать домен? тех. поддержка 
почта:
support@beget.com 
россия:
+7 (800) 700-06-08 
украина:
+380 (800) 802-192 what does it mean, and how do i link it? is the problem solved? try to reset the cache support 
mail:
support@beget.com"
Coal India,coalindiatenders.nic.in,https://pnkab8.shop,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,50.0,Low,5.1724,weak_evidence,0.3194,0.3194,0.1818,0.1818,False,False,hash_bypass,hash,False,hash_bypass_hit,,True,Punjab National Bank (PNB),False,True,True,False,hash_bypass_hit,hash_bypass_hit,fetched,available,,,https://pnkab8.shop/,,,,50.0,9.5833,0.0,14.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,pnkab8.shop,,0,True,lexical_hit,0.1818,0.75,below_min_score,0.0,1.0,-1,0.0,-1,0.0,-1,0.0,-1,False,True,False,False,0,False,False,False,False,True,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\pnkab8.shop.png,腾讯公益,腾讯公益
Punjab National Bank (PNB),netpnb.com,https://netprobio.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.8485,Low,59.8485,weak_evidence,0.8778,0.8778,0.6667,0.6967,True,False,jw_primary,lexical,False,score_threshold,,True,Punjab National Bank (PNB),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://netprobio.com/,,,,59.8485,26.3333,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,netprobio.com,,0,True,lexical_hit,0.6967,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\netprobio.com.png,404 not found,404 not found 404 not found
Election Commision of India (ECI),eci.gov.in,https://ecithi.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,60.2273,Low,60.2273,weak_evidence,0.8833,0.8833,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,Election Commision of India (ECI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://ecithi.com/,,,,60.2273,26.5,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecithi.com,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\ecithi.com.png,e-cithi,e-cithi e-cithi secure & private email platform
Vodafone Idea (VI),myvi.in,https://myvitaminstrips.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.1818,Low,58.1818,weak_evidence,0.8533,0.8533,0.4211,0.4211,True,False,jw_primary,lexical,False,score_threshold,,True,Vodafone Idea (VI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://myvitaminstrips.com/,,,,58.1818,25.6,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,myvitaminstrips.com,,0,True,lexical_hit,0.4211,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\myvitaminstrips.com.png,site not found,"site not found site not found looks like you followed a broken link or entered a url that doesn’t
exist on netlify. if this is your site, and you weren’t expecting a 404 for this path,
please visit netlify’s
“page not found” support guide
for troubleshooting tips. netlify internal id:
01knj4x2096p66pep10hjwb92b"
Jio,jio.com,https://jiqo.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,63.6364,Low,63.6364,weak_evidence,0.9333,0.9333,0.8571,0.8571,True,False,jw_primary,lexical,False,score_threshold,,True,Jio,True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://jiqo.jp/,,,,63.6364,28.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiqo.jp,,0,True,lexical_hit,0.8571,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\jiqo.jp.png,,
