Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),homeloans.sbi,homesbylanae.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indirance.com
Election Commision of India (ECI),eci.gov.in,ecrin.work
Airtel,airtel.in,airreveal.xyz
Computer Age Management Services Ltd. (CAMS),camsonline.com,commaonline.xyz
Computer Age Management Services Ltd. (CAMS),camsonline.com,camscorner.dev
National Informatics Centre (NIC),cloud.gov.in,iecloud.ltd
National Informatics Centre (NIC),cloud.gov.in,cloudstaked.xyz
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinehotel-booking.com
National Health Authority (NHA),nha.gov.in,nhomat.xyz
BSE Ltd.,bseindia.com,best-indian.com
IndusInd Bank,indusind.bank.in,industryofthingsworldusa-east.com
Coal India,coalindiatenders.nic.in,coaldetermine.click
State Bank of India (SBI),homeloans.sbi,homeleadsnetwork.com
National Informatics Centre (NIC),cloud.gov.in,cloudguardlite.com
parivahan sewa,parivahan.gov.in,paromaistvan.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,aibimo.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,aibis.com
State Bank of India (SBI),homeloans.sbi,homalone.space
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-casino-games.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,cbaconline.us
National Informatics Centre (NIC),cloud.gov.in,icloudi.online
National Informatics Centre (NIC),cloud.gov.in,cloud-ondemand.com
Kfintech,kfintech.com,keitech.xyz
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineseba.fun
Kfintech,kfintech.com,fusiontech.us
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineusdt.com
Indian Oil Corporation Limited (IOCL),iocl.com,ifocloud.com
Reserve Bank of India (RBI),rebit.org.in,rebila.site
National Informatics Centre (NIC),cloud.gov.in,cloudnomix.com
National Informatics Centre (NIC),cloud.gov.in,cloud9myanmartravels.com
National Informatics Centre (NIC),cloud.gov.in,cloud-e.ru
National Informatics Centre (NIC),cloud.gov.in,cloudmedy.my.id
National Informatics Centre (NIC),cloud.gov.in,rdcloud.xyz
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,inanoc.com
State Bank of India (SBI),homeloans.sbi,homeadvisor.store
IDFC FIRST Bank,idfcfirst.bank.in,iffir.com
Indian Space Research Organisation (ISRO),isro.gov.in,kidsroc.com
Bank of Baroda,bankofbaroda.bank.in,bankofmyanmar.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indianapolisgpr.com
Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,bntl.be
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinesolutionstoday.com
Air India,airindia.com,ritindia.com
Airtel,airtel.in,artizella.com
National Informatics Centre (NIC),cloud.gov.in,cloud-intelytics.com
Axis Bank,axis.bank.in,axisistore.com.br
National Informatics Centre (NIC),cloud.gov.in,cloudstatistic.com
Air India,airindia.com,airfixnwa.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiearc.com
Indian Space Research Organisation (ISRO),sac.gov.in,sayaco.com
Axis Bank,axismf.com,axiomify.com
National Informatics Centre (NIC),cloud.gov.in,cloudexsclasses.com
National Informatics Centre (NIC),cloud.gov.in,cloudsystems.email
National Informatics Centre (NIC),cloud.gov.in,pfcloud.email
National Informatics Centre (NIC),cloud.gov.in,cloudveilwinery.com
Unique Identification Authority of India (UIDAI),uidai.gov.in,buildaion.info
National Informatics Centre (NIC),cloud.gov.in,cloudchatbots.xyz
BSE Ltd.,bseindia.com,byteindian.xyz
National Informatics Centre (NIC),accounts.mgovcloud.in,modecloud.xyz
Air India,airindia.com,airficial.com
National Health Authority (NHA),abdm.gov.in,abdusms.com
Coal India,coalindia.in,coalitionlegal.com
BSE Ltd.,bseindia.com,smesindia.com
National Informatics Centre (NIC),cloud.gov.in,cloudbolts.xyz
Indian Space Research Organisation (ISRO),nrsc.gov.in/nrscnew,ns.gold
Airtel,airtel.in,airateb.com
Income Tax Department,incometax.gov.in,incogmeeto.com
National Informatics Centre (NIC),cloud.gov.in,in-clouds.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiancontracting.com
National Informatics Centre (NIC),cloud.gov.in,cloudaidev.com
