input_position,input_url,normalized_url,source_workbook,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,stage0_match_reason,stage0_final_score,stage0_risk,stage0_similarity_score,stage0_brand_hits,stage0_phishing_keyword_hits,stage0_keyword_similarity_score,best_entity,best_matching_domain,lexical_score,typo_similarity,generic_token_only_match,dns_status,dns_decision,fetch_status,fetch_error_type,fetch_error_detail,hash_shortlisted,review_only,reason,final_status
1,https://16fintech.com,https://16fintech.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,22,low,0.9209,,,0.8843,Kfintech,kfintech.com,0.9209,0.9209,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
2,https://airtelbox.com,https://airtelbox.com,sample.xlsx,True,True,True,False,score_threshold_match,score_threshold_match,51,medium,0.8632,airtel,,0.9333,Airtel,airtel.in,0.8632,0.8632,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
3,https://airtiz.net,https://airtiz.net,sample.xlsx,False,False,False,True,fallback_top_k,no_match,22,low,0.9128,,,0.8667,Airtel,airtel.in,0.9128,0.9128,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
4,https://ajiraexpress.com,https://ajiraexpress.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,22,low,0.9181,,,0.895,Air India,airindiaexpress.com,0.9181,0.9181,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
5,https://art-axis.art,https://art-axis.art,sample.xlsx,False,False,False,True,fallback_top_k,no_match,15,low,0.6389,,,0.5896,Axis Bank,axismf.com,0.6389,0.6389,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
6,https://atmosonline.com,https://atmosonline.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,22,low,0.9061,,online,0.869,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.9061,0.9061,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
7,https://axis-fluxrad.com,https://axis-fluxrad.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,21,low,0.8925,,,0.8576,Axis Bank,axismf.com,0.8925,0.8925,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
8,https://axis-grandhiraki.com,https://axis-grandhiraki.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,16,low,0.8333,,,0.6485,Axis Bank,axismaxlife.com,0.8333,0.8333,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
9,https://axis-mobfintech.com,https://axis-mobfintech.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,21,low,0.853,,,0.8347,Axis Bank,axismaxlife.com,0.853,0.853,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
10,https://axis-modelmgmt.com,https://axis-modelmgmt.com,sample.xlsx,False,False,False,True,fallback_top_k,no_match,17,low,0.8356,,,0.6773,Axis Bank,axismf.com,0.8356,0.8356,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
