input_position,input_url,normalized_url,source_workbook,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_entity,best_matching_domain,lexical_score,typo_similarity,generic_token_only_match,dns_status,dns_decision,fetch_status,fetch_error_type,fetch_error_detail,hash_shortlisted,review_only,reason,final_status
1,airtelprepaidd.in,https://airtelprepaidd.in,05-04-2026_input.csv,True,True,True,False,jw_primary,Airtel,airtel.in,0.8857,0.63,False,resolved,accepted,failed,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,False,False,,filtered_after_hash
2,ji-so.com,https://ji-so.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.78,0.78,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
3,stplodisha.com,https://stplodisha.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k|generic_token_only,National Informatics Centre (NIC),cloud.gov.in,0.6333,0.4,True,,,,,,False,False,generic_token_only_lexical_rejected,filtered_lexical_miss
4,faisaorganisation.fr,https://faisaorganisation.fr,05-04-2026_input.csv,False,False,False,True,fallback_top_k,parivahan sewa,parivahan.gov.in,0.6176,0.3846,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
5,pord.us,https://pord.us,05-04-2026_input.csv,False,False,False,True,fallback_top_k|generic_token_only,National Informatics Centre (NIC),cloud.gov.in,0.6333,0.4444,True,,,,,,False,False,generic_token_only_lexical_rejected,filtered_lexical_miss
6,bsaid.com,https://bsaid.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,BSE Ltd.,bseindia.com,0.8133,0.6454,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
7,airiaru.com,https://airiaru.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Air India,airindiaexpress.com,0.8514,0.5755,False,resolved,accepted,failed,ssl_error,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://airiaru.com/ | Call log: - navigating to ""https://airiaru.com/"", waiting until ""domcontentloaded""",False,False,,filtered_after_hash
8,sedal.us,https://sedal.us,05-04-2026_input.csv,False,False,False,True,fallback_top_k,BSE Ltd.,bseindia.com,0.6583,0.6154,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
9,pompeyozfvodafone.com,https://pompeyozfvodafone.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Vodafone Idea (VI),myvi.in,0.6422,0.2857,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
10,westbengalepuja.online,https://westbengalepuja.online,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Westbengal,westbengal.census.gov.in,0.75,0.75,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
11,indiadocs.com,https://indiadocs.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Coal India,coalindiatenders.nic.in,0.7431,0.56,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
12,uhdfcu.com,https://uhdfcu.com,05-04-2026_input.csv,True,True,True,False,jw_primary,HDFC Bank,hdfc.com,0.8889,0.83,False,resolved,accepted,failed,ssl_error,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://uhdfcu.com/ | Call log: - navigating to ""https://uhdfcu.com/"", waiting until ""domcontentloaded""",False,False,,filtered_after_hash
13,hdfcbg.com,https://hdfcbg.com,05-04-2026_input.csv,True,True,True,False,jw_primary,HDFC Bank,hdfc.com,0.9333,0.83,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
14,fintechfaq.com,https://fintechfaq.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Kfintech,kfintech.com,0.8583,0.8078,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
15,epgpodisha.com,https://epgpodisha.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.6222,0.3077,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
16,jiabox.com,https://jiabox.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.8667,0.6967,False,resolved,accepted,failed,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://jiabox.com/ | Call log: - navigating to ""https://jiabox.com/"", waiting until ""domcontentloaded""",False,False,,filtered_after_hash
17,jiqnou.com,https://jiqnou.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.8667,0.6967,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
18,fairrepairindia.com,https://fairrepairindia.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Air India,airindiaexpress.com,0.6593,0.5633,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
19,axisgs.com,https://axisgs.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Axis Bank,axismf.com,0.8667,0.6967,False,resolved,accepted,failed,connection_reset,"Page.goto: net::ERR_CONNECTION_RESET at https://axisgs.com/ | Call log: - navigating to ""https://axisgs.com/"", waiting until ""commit""",False,False,,filtered_after_hash
20,axis-nextbase.digital,https://axis-nextbase.digital,05-04-2026_input.csv,True,True,False,False,brand_token_match,Axis Bank,axismaxlife.com,0.6773,0.5,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
21,gujaratlokshahinews.com,https://gujaratlokshahinews.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,parivahan sewa,parivahan.gov.in,0.6608,0.4286,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
22,jiaoing.com,https://jiaoing.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.8476,0.63,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
23,credaiodisha.com,https://credaiodisha.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,CENSUS INDIA,censusindia.gov.in,0.6923,0.5217,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
