input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
1146,mailreviveleads.website,https://mailreviveleads.website,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.8533,0.0,0.4211,25.6,0.0,0.0
1658,hw-ai-cloud.top,https://hw-ai-cloud.top,resolved,accepted,timeout,True,,,False,,True,True,False,False,strict_lexical_hit,strict_lexical_hit,brand_token_match,National Informatics Centre (NIC),0.0,Low,0.6742,0.0,0.4,20.2273,0.0,0.0
1822,homefpl.com,https://homefpl.com,resolved,accepted,timeout,True,,,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,State Bank of India (SBI),0.0,Low,0.854,0.0,0.625,25.619,0.0,0.0
1905,cloudincltd.com,https://cloudincltd.com,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.8909,0.0,0.625,26.7273,0.0,0.0
2308,cloudology.us,https://cloudology.us,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.9,0.0,0.6667,27.0,0.0,0.0
2595,modrails.org,https://modrails.org,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.85,0.0,0.6667,25.5,0.0,0.0
2716,fintechers.com,https://fintechers.com,resolved,accepted,timeout,True,,,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,Kfintech,0.0,Low,0.8583,0.0,0.8078,25.75,0.0,0.0
3220,cloud-adsprint.click,https://cloud-adsprint.click,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,brand_token_match|jw_primary,National Informatics Centre (NIC),0.0,Low,0.8714,0.0,0.5263,26.1429,0.0,0.0
3553,camsclearing.com,https://camsclearing.com,resolved,accepted,timeout,True,,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,Computer Age Management Services Ltd. (CAMS),0.0,Low,0.8683,0.0,0.6664,26.05,0.0,0.0
4031,cadoonlinevn.org,https://cadoonlinevn.org,resolved,accepted,timeout,True,,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,Computer Age Management Services Ltd. (CAMS),0.0,Low,0.8578,0.0,0.7273,25.7333,0.0,0.0
4248,mailtelephone.ru,https://mailtelephone.ru,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.8615,0.0,0.4706,25.8462,0.0,0.0
4285,mailreviveleads.site,https://mailreviveleads.site,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.8533,0.0,0.4211,25.6,0.0,0.0
4889,cloudhack.cloud,https://cloudhack.cloud,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,National Informatics Centre (NIC),0.0,Low,0.9111,0.0,0.7143,27.3333,0.0,0.0
5162,airtravelinindia.com,https://airtravelinindia.com,resolved,accepted,timeout,True,,,True,Airtel,True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,Airtel,0.0,Low,0.875,0.0,0.5455,26.25,0.0,0.0
5338,onlineebd.xyz,https://onlineebd.xyz,resolved,accepted,timeout,True,,,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,State Bank of India (SBI),0.0,Low,0.9111,0.0,0.7778,27.3333,0.0,0.0
5505,cloud.house,https://cloud.house,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,National Informatics Centre (NIC),0.0,Low,1.0,0.0,1.0,30.0,0.0,0.0
5821,mail-mkt.cloud,https://mail-mkt.cloud,resolved,accepted,timeout,True,,,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,brand_token_match|jw_primary,National Informatics Centre (NIC),0.0,Low,0.9,0.0,0.6667,27.0,0.0,0.0
6025,kfinsaat.com.tr,https://kfinsaat.com.tr,resolved,accepted,timeout,True,,,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,jw_primary,Kfintech,0.0,Low,0.85,0.0,0.625,25.5,0.0,0.0
