target_url,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
yktdeo.com,yktdeo.com,104.21.92.135;172.67.194.133;2606:4700:3033::ac43:c285;2606:4700:3036::6815:5c87,resolved,accepted,1,0,False,default
kycedeoni.autos,kycedeoni.autos,104.21.10.195;172.67.190.210;2606:4700:3030::ac43:bed2;2606:4700:3037::6815:ac3,resolved,accepted,1,0,False,default
rjpnbv.com,rjpnbv.com,,no_records,rejected,1,0,False,default
vipslot.casino,vipslot.casino,104.21.38.249;172.67.168.217;2606:4700:3031::6815:26f9;2606:4700:3032::ac43:a8d9,resolved,accepted,1,0,False,default
hometownsewickley.com,hometownsewickley.com,23.227.38.73;2620:127:f00f:d::,resolved,accepted,1,0,False,default
192.168.1,192.168.1,,dns_error,rejected,1,0,False,default
snackduel.com,snackduel.com,,no_records,rejected,1,0,False,default
pnbindia-services.com,pnbindia-services.com,,dns_error,rejected,1,0,False,default
sbi.com-kyc.net/login,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
pornxmodel.click,pornxmodel.click,,resolver_error,rejected,2,1,False,fallback
my-auth23948.com,my-auth23948.com,179.43.172.199;64:ff9b::b32b:acc7,resolved,accepted,1,0,False,default
syxtherocrex.world,syxtherocrex.world,104.21.12.39;172.67.151.133;2606:4700:3032::ac43:9785;2606:4700:3034::6815:c27,resolved,accepted,1,0,False,default
pnbindia-kyd.com,pnbindia-kyd.com,,dns_error,rejected,1,0,False,default
airtell.ai,airtell.ai,15.197.148.33;3.33.130.190;64:ff9b::321:82be;64:ff9b::fc5:9421,resolved,accepted,1,0,False,default
enerzyph.com,enerzyph.com,,no_records,rejected,1,0,False,default
sportrade.blog,sportrade.blog,104.21.49.121;172.67.162.124;2606:4700:3031::ac43:a27c;2606:4700:3033::6815:3179,resolved,accepted,1,0,False,default
elit-stomatolog.ru,elit-stomatolog.ru,104.21.69.218;172.67.213.128;64:ff9b::6815:45da;64:ff9b::ac43:d580,resolved,accepted,1,0,False,default
root-ro.info,root-ro.info,198.199.71.136;64:ff9b::c6c7:4788,resolved,accepted,1,0,False,default
wildlayers.com,wildlayers.com,64:ff9b::42eb:c892;66.235.200.146,resolved,accepted,1,0,False,default
update-account.online,update-account.online,,dns_error,rejected,1,0,False,default
chillcollege.com,chillcollege.com,15.197.148.33;3.33.130.190;64:ff9b::321:82be;64:ff9b::fc5:9421,resolved,accepted,1,0,False,default
pack101.org,pack101.org,,no_records,rejected,1,0,False,default
mikogpt.ru,mikogpt.ru,194.67.88.118;64:ff9b::c243:5876,resolved,accepted,1,0,False,default
rosastoneeg.com,rosastoneeg.com,2607:f1c0:100f:f000::200;74.208.236.58,resolved,accepted,1,0,False,default
pulsefck.store,pulsefck.store,2607:f1c0:100f:f000::200;74.208.236.228,resolved,accepted,1,0,False,default
edugig.xyz,edugig.xyz,216.150.1.65;216.150.16.1;64:ff9b::d896:1041;64:ff9b::d896:1081,resolved,accepted,1,0,False,default
slexironphdrexox.world,slexironphdrexox.world,104.21.60.95;172.67.195.129;2606:4700:3032::6815:3c5f;2606:4700:3032::ac43:c381,resolved,accepted,1,0,False,default
