target_url,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
pnbindia-services.com,pnbindia-services.com,,dns_error,rejected,1,0,False,default
8740i4ji8ki.shop,8740i4ji8ki.shop,,no_records,rejected,1,0,False,default
chargemoment.com,chargemoment.com,44.227.65.245;44.227.76.166,resolved,accepted,2,1,True,fallback
inwestonauci.pl,inwestonauci.pl,2001:4860:4802:32::15;2001:4860:4802:34::15;2001:4860:4802:36::15;2001:4860:4802:38::15;216.239.32.21;216.239.34.21;216.239.36.21;216.239.38.21,resolved,accepted,2,1,True,fallback
domain,domain,,dns_error,rejected,1,0,False,default
creditrepair-help.com,creditrepair-help.com,,timeout,rejected,2,1,False,fallback
aetyk.cc,aetyk.cc,188.209.141.130;5.181.177.186;92.112.127.137,resolved,accepted,2,1,True,fallback
thinkproguard.com,thinkproguard.com,104.21.27.112;172.67.169.35;2606:4700:3036::6815:1b70;2606:4700:3037::ac43:a923,resolved,accepted,2,1,True,fallback
thelocksmithcrew.com,thelocksmithcrew.com,,timeout,rejected,2,1,False,fallback
socioone.com,socioone.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
sbi.com-kyc.net/login,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
sbireward.com,sbireward.com,,dns_error,rejected,2,1,False,fallback
tonerrefillstoreho.shop,tonerrefillstoreho.shop,,no_records,rejected,1,0,False,default
beton888bonuuz30rb.cyou,beton888bonuuz30rb.cyou,104.21.74.23;172.67.153.109;2606:4700:3032::6815:4a17;2606:4700:3035::ac43:996d,resolved,accepted,1,0,False,default
94498.qpon,94498.qpon,,no_records,rejected,1,0,False,default
wfbmus.org,wfbmus.org,13.248.243.5;76.223.105.230,resolved,accepted,2,1,True,fallback
hixemuzydo.pro,hixemuzydo.pro,104.21.26.150;172.67.136.135;2606:4700:3030::ac43:8887;2606:4700:3032::6815:1a96,resolved,accepted,1,0,False,default
phoenixwanderlust.in,phoenixwanderlust.in,2.57.91.91,resolved,accepted,1,0,False,default
icicibank.net/login,icicibank.net,,timeout,rejected,2,1,False,fallback
airtel-merchants.club,airtel-merchants.club,184.168.99.100,resolved,accepted,1,0,False,default
update-account.online,update-account.online,,dns_error,rejected,1,0,False,default
laoshuanliagou.bond,laoshuanliagou.bond,104.21.58.211;172.67.207.180;2606:4700:3031::ac43:cfb4;2606:4700:3034::6815:3ad3,resolved,accepted,1,0,False,default
anptght-jp.com,anptght-jp.com,2606:4700:3030::ac43:9094;2606:4700:3033::6815:276f,resolved,accepted,1,0,False,default
f1blue.com,f1blue.com,,timeout,rejected,2,1,False,fallback
vertexapexgroupoptimalprocess.blog,vertexapexgroupoptimalprocess.blog,162.255.119.169,resolved,accepted,1,0,False,default
kirin77.site,kirin77.site,104.21.45.59;172.67.210.106;2606:4700:3030::6815:2d3b;2606:4700:3033::ac43:d26a,resolved,accepted,1,0,False,default
vipslot.casino,vipslot.casino,104.21.38.249;172.67.168.217;2606:4700:3031::6815:26f9;2606:4700:3032::ac43:a8d9,resolved,accepted,1,0,False,default
519zx.top,519zx.top,103.43.9.216;103.43.9.220;103.43.9.254;134.122.188.32;134.122.188.80;14.128.35.176;154.12.93.106;154.12.93.60;20.187.190.42;20.205.18.210;20.210.194.178;20.239.117.127;20.243.153.23;4.144.3.15,resolved,accepted,1,0,False,default
freedomroadfinancialdealerhub.com,freedomroadfinancialdealerhub.com,,timeout,rejected,2,1,False,fallback
aithink.world,aithink.world,,no_records,rejected,2,1,False,fallback
beatyourbuddies.online,beatyourbuddies.online,104.21.38.188;172.67.137.95;2606:4700:3033::ac43:895f;2606:4700:3034::6815:26bc,resolved,accepted,1,0,False,default
tredmind.com,tredmind.com,104.21.51.238;172.67.191.181,resolved,accepted,1,0,False,default
wildlayers.com,wildlayers.com,66.235.200.146,resolved,accepted,2,1,True,fallback
quadbottles.store,quadbottles.store,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
root-ro.info,root-ro.info,198.199.71.136,resolved,accepted,1,0,False,default
sweetcookii.com,sweetcookii.com,2406:da18:b3d:e201::258;2406:da18:b3d:e201::259,resolved,accepted,1,0,False,default
icici-bank-support.in,icici-bank-support.in,,dns_error,rejected,1,0,False,default
ivqojlz1513.top,ivqojlz1513.top,162.209.131.211;162.209.131.212;172.247.188.114;172.247.188.115;172.247.188.116,resolved,accepted,1,0,False,default
djgekcf.icu,djgekcf.icu,,timeout,rejected,2,1,False,fallback
pnblndia.in,pnblndia.in,,dns_error,rejected,1,0,False,default
lfsidou.com,lfsidou.com,44.227.65.245;44.227.76.166,resolved,accepted,2,1,True,fallback
daisyfrost.com,daisyfrost.com,,timeout,rejected,2,1,False,fallback
hysefo.com,hysefo.com,,timeout,rejected,2,1,False,fallback
yataganharem5.click,yataganharem5.click,104.21.34.199;172.67.164.121;2606:4700:3035::6815:22c7;2606:4700:3035::ac43:a479,resolved,accepted,1,0,False,default
piezosistem.com,piezosistem.com,62.149.189.55,resolved,accepted,2,1,True,fallback
ibramep.com,ibramep.com,162.240.81.81,resolved,accepted,1,0,False,default
graniteindustriesinc.com,graniteindustriesinc.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted,2,1,True,fallback
ventajp.com,ventajp.com,52.223.13.41,resolved,accepted,2,1,True,fallback
onl1nesbi.sbi/login,onl1nesbi.sbi,,dns_error,rejected,1,0,False,default
exodusbrk.com,exodusbrk.com,2a07:7800::152,resolved,accepted,1,0,False,default
scarpe-it.ru,scarpe-it.ru,,timeout,rejected,2,1,False,fallback
logrenuunics.com,logrenuunics.com,,no_records,rejected,2,1,False,fallback
bramclaw.my.id,bramclaw.my.id,34.124.245.24,resolved,accepted,1,0,False,default
pulsefck.store,pulsefck.store,2607:f1c0:100f:f000::200;74.208.236.228,resolved,accepted,2,1,True,fallback
soilandturfconsulting.com,soilandturfconsulting.com,,timeout,rejected,2,1,False,fallback
5500betsk.com,5500betsk.com,104.21.39.157;172.67.146.184;2606:4700:3030::6815:279d;2606:4700:3037::ac43:92b8,resolved,accepted,2,1,True,fallback
roblox303.store,roblox303.store,104.21.49.144;172.67.163.169,resolved,accepted,1,0,False,default
mediavision.store,mediavision.store,13.248.169.48;76.223.54.146,resolved,accepted,1,0,False,default
kycedeoni.autos,kycedeoni.autos,104.21.10.195;172.67.190.210;2606:4700:3030::ac43:bed2;2606:4700:3037::6815:ac3,resolved,accepted,2,1,True,fallback
oliveandjunes.store,oliveandjunes.store,198.144.158.34,resolved,accepted,1,0,False,default
192.168.1,192.168.1,,dns_error,rejected,1,0,False,default
suaconsulta2026.online,suaconsulta2026.online,,dns_error,rejected,1,0,False,default
joel-angelina-wedding.com,joel-angelina-wedding.com,216.198.79.1,resolved,accepted,2,1,True,fallback
ybiscom.fr,ybiscom.fr,2001:8d8:100f:f000::200;217.160.0.184,resolved,accepted,1,0,False,default
calmplatewindow.club,calmplatewindow.club,104.21.15.139;172.67.162.172;2606:4700:3037::6815:f8b;2606:4700:3037::ac43:a2ac,resolved,accepted,1,0,False,default
ub-futas.hu,ub-futas.hu,91.227.139.41,resolved,accepted,2,1,True,fallback
globalbookpublication.com,globalbookpublication.com,2a02:4780:1f:cb71:be59:793e:9922:31eb;2a02:4780:20:24ed:c321:f0dc:e212:a96c,resolved,accepted,1,0,False,default
pornmega18.xyz,pornmega18.xyz,,resolver_error,rejected,2,1,False,fallback
web365daftar.com,web365daftar.com,104.21.10.216;172.67.131.188;2606:4700:3035::6815:ad8;2606:4700:3035::ac43:83bc,resolved,accepted,2,1,True,fallback
charmenowho.shop,charmenowho.shop,,no_records,rejected,1,0,False,default
exerciseok.com,exerciseok.com,52.20.84.62,resolved,accepted,1,0,False,default
