Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,best_score,domain_component,clip_component,hash_component,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailreviveleads.website,0.0,Low,0.0,weak_evidence,0.8533,0.8533,0.4211,0.4211,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.6,0.0,0.0,0.4211,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://hw-ai-cloud.top,0.0,Low,0.0,weak_evidence,0.6742,0.6742,0.4,0.4,True,True,brand_token_match,lexical,False,,True,True,False,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,20.2273,0.0,0.0,0.4,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),homeloans.sbi,https://homefpl.com,0.0,Low,0.0,weak_evidence,0.854,0.854,0.625,0.625,True,False,jw_primary,lexical,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.619,0.0,0.0,0.625,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudincltd.com,0.0,Low,0.0,weak_evidence,0.8909,0.8909,0.625,0.625,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.7273,0.0,0.0,0.625,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudology.us,0.0,Low,0.0,weak_evidence,0.9,0.9,0.6667,0.6667,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.0,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://modrails.org,0.0,Low,0.0,weak_evidence,0.85,0.85,0.6667,0.6667,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://fintechers.com,0.0,Low,0.0,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.75,0.0,0.0,0.8078,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloud-adsprint.click,0.0,Low,0.0,weak_evidence,0.8714,0.8714,0.5263,0.5263,True,True,brand_token_match|jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.1429,0.0,0.0,0.5263,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://camsclearing.com,0.0,Low,0.0,weak_evidence,0.8683,0.8683,0.6364,0.6664,True,False,jw_primary,lexical,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.05,0.0,0.0,0.6664,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://cadoonlinevn.org,0.0,Low,0.0,weak_evidence,0.8578,0.8578,0.7273,0.7273,True,False,jw_primary,lexical,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.7333,0.0,0.0,0.7273,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailtelephone.ru,0.0,Low,0.0,weak_evidence,0.8615,0.8615,0.4706,0.4706,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.8462,0.0,0.0,0.4706,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailreviveleads.site,0.0,Low,0.0,weak_evidence,0.8533,0.8533,0.4211,0.4211,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.6,0.0,0.0,0.4211,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudhack.cloud,0.0,Low,0.0,weak_evidence,0.9111,0.9111,0.7143,0.7143,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.3333,0.0,0.0,0.7143,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Airtel,airtel.in,https://airtravelinindia.com,0.0,Low,0.0,weak_evidence,0.875,0.875,0.5455,0.5455,True,False,jw_primary,lexical,True,Airtel,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.25,0.0,0.0,0.5455,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloud.house,0.0,Low,0.0,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,30.0,0.0,0.0,1.0,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mail-mkt.cloud,0.0,Low,0.0,weak_evidence,0.9,0.9,0.6667,0.6667,True,True,brand_token_match|jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.0,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
