target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
uidaiaadhardownload.com,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,uidaiaadhardownload.com,147.79.69.52;2a02:4780:20:4df4:c1fb:b1af:bcd9:dbfa;2a02:4780:3d:e717:ba52:a45a:7c32:795f;93.127.173.187,resolved,accepted,1,0,False,default
sdindia.com,123456.xlsx,sdindia.com,208.91.112.55;2620:101:9000:53::55,resolved,accepted,1,0,False,default
vrbit.org,123456.xlsx,vrbit.org,208.91.112.55;2620:101:9000:53::55,resolved,accepted,1,0,False,default
onlinedentist24.com,123456.xlsx,onlinedentist24.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
kint.eus,123456.xlsx,kint.eus,75.102.57.42,resolved,accepted,1,0,False,default
sbibi.net,123456.xlsx,sbibi.net,208.91.112.55;2620:101:9000:53::55,resolved,accepted,1,0,False,default
onlinehafizlik.com,123456.xlsx,onlinehafizlik.com,,no_records,rejected,1,0,False,default
paraka.com,123456.xlsx,paraka.com,,resolver_error,rejected,3,2,False,fallback
industrialdesignasia.com,123456.xlsx,industrialdesignasia.com,,dns_error,rejected,1,0,False,default
kfinsaat.com.tr,123456.xlsx,kfinsaat.com.tr,185.194.30.142,resolved,accepted,1,0,False,default
sbi.com-kyc.net/login,123456.xlsx|urls.xlsx,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
onl1nesbi.sbi/login,123456.xlsx|urls.xlsx,onl1nesbi.sbi,,dns_error,rejected,1,0,False,default
onlinesbi.sbi.update-rewards.xyz,123456.xlsx|urls.xlsx,onlinesbi.sbi.update-rewards.xyz,,dns_error,rejected,1,0,False,default
sbi-secure-login.com,123456.xlsx|urls.xlsx,sbi-secure-login.com,,dns_error,rejected,1,0,False,default
sbi.co.in.login.banking-services.net/234/redirect,123456.xlsx|urls.xlsx,sbi.co.in.login.banking-services.net,,dns_error,rejected,1,0,False,default
icicibank.net/login,123456.xlsx|urls.xlsx,icicibank.net,13.127.144.160,resolved,accepted,1,0,False,default
icici-bank-support.in,123456.xlsx|urls.xlsx,icici-bank-support.in,,dns_error,rejected,1,0,False,default
pnb-india.in,123456.xlsx|urls.xlsx,pnb-india.in,,resolver_error,rejected,3,2,False,fallback
pnblndia.in,123456.xlsx|urls.xlsx,pnblndia.in,,dns_error,rejected,1,0,False,default
pnbindia-kyd.com,123456.xlsx|urls.xlsx,pnbindia-kyd.com,,dns_error,rejected,1,0,False,default
pnb-netbanking.net,123456.xlsx|urls.xlsx,pnb-netbanking.net,,dns_error,rejected,1,0,False,default
pnblndia.bank.in,123456.xlsx|urls.xlsx,pnblndia.bank.in,,dns_error,rejected,1,0,False,default
pnbindia-services.com,123456.xlsx|urls.xlsx,pnbindia-services.com,,dns_error,rejected,1,0,False,default
airtel-merchants.club,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtel-merchants.club,,no_records,rejected,1,0,False,default
airtele.xyz,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtele.xyz,,dns_error,rejected,1,0,False,default
paarivahan.com,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,paarivahan.com,,dns_error,rejected,1,0,False,default
airtell.ai,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtell.ai,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
axisupi.com,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,axisupi.com,162.255.119.13,resolved,accepted,1,0,False,default
sbireward.com,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,sbireward.com,,dns_error,rejected,1,0,False,default
elegalopinion.com,123456.xlsx,elegalopinion.com,2a02:4780:11:1595:0:2d6d:8871:2;93.127.208.147,resolved,accepted,1,0,False,default
vellfirealphardspecialist.com,123456.xlsx,vellfirealphardspecialist.com,101.99.70.216,resolved,accepted,1,0,False,default
exoskeletals.com,123456.xlsx,exoskeletals.com,209.182.199.238,resolved,accepted,1,0,False,default
