Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors,asn,asn_org,country,region,city
State Bank of India (SBI),onlinesbi.sbi,,29,2,False,5,0,2,0,0,0,0,0,0,0,21,0,False,0,0,0.0,0,False,False,0,False,False,False,3.594465636961452,3.594465636961452,0,0,-1,,http://onlinefirsatta.com.tr,Fulkd b@pculu cnlinalamomt,156.2792404513889,"[[254, 254, 254], [33, 33, 33], [151, 151, 151]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,,23,1,False,4,0,2,0,0,0,0,0,0,0,15,0,False,0,0,0.0,0,False,False,0,False,False,False,3.323231428797621,3.323231428797621,0,0,-1,,http://onlinenews7.com,Fulkdbcr Jla onlinanawd cor,141.43471571180555,"[[254, 254, 254], [40, 40, 40], [151, 151, 151]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,,26,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5724312513221195,3.5724312513221195,0,0,-1,,http://onlinedatingxx.com,Fulkd DopcJlc,156.51101345486111,"[[254, 254, 254], [137, 137, 137], [38, 38, 38]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),sbilife.co.in,3.33.130.190,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.3927474104487847,3.3927474104487847,1,1,104,"GoDaddy.com, Inc.",https://smiliface.net,,0.0,"[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,True,"data:,",-1,,[],16509.0,AMAZON-02,US,,
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,85.233.160.22,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.084962500721156,3.084962500721156,0,0,-1,,http://crsforge.com,,0.0,"[[255, 255, 255], [255, 255, 255], [255, 255, 255]]",-1.0,8000000000000000,-1,False,,-1,,[],8622.0,Team Blue Internet Services Uk Limited,GB,,
Punjab National Bank (PNB),netpnb.com,172.67.221.64,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,2.913977073182752,2.913977073182752,1,1,56,Google Trust Services,https://netpxnz.top,403 Forbidden nint 16 [,204.0109965277778,"[[254, 254, 254], [11, 12, 24], [83, 128, 173]]",-1.0,b636266666666666,-1,True,https://netpxnz.top/favicon.ico,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),sbi.co.in,,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.277613436819116,3.277613436819116,0,0,-1,,http://subrit.info,Fulkd DOr Jlc MLxiinb,116.54877604166668,"[[254, 254, 254], [43, 43, 43], [131, 131, 131]]",-1.0,83070707070f1fff,-1,False,,-1,,[],,,,,
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,44.227.65.245,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.3927474104487847,3.3927474104487847,0,0,-1,,http://corgi.company,Fulkd DopcJlc,129.61824869791667,"[[254, 254, 254], [133, 133, 133], [53, 53, 53]]",-1.0,87070707070f1f7f,-1,True,http://corgi.company/favicon.ico,"(32, 32)",c6dd3177441d11cd,"[[240, 122, 122], [252, 229, 229], [49, 24, 24]]",16509.0,AMAZON-02,US,Oregon,Boardman
State Bank of India (SBI),sbilife.co.in,,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,2.8453509366224368,2.8453509366224368,0,0,-1,,http://soillife.in,Fulkdbcr Jlo EillikE,113.11205946180556,"[[254, 254, 254], [40, 40, 40], [138, 138, 138]]",-1.0,83070707070f1fff,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,198.54.117.242,26,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.683542362433231,3.683542362433231,0,0,-1,,http://onlinewithadri.com,,0.0,"[[255, 255, 255], [255, 255, 255], [255, 255, 255]]",-1.0,8000000000000000,-1,True,http://onlinewithadri.com/favicon.ico,-1,,[],22612.0,NAMECHEAP-NET,US,,
