Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors,asn,asn_org,country,region,city
State Bank of India (SBI),onlinesbi.sbi,185.253.212.22,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,2.873140679513133,2.873140679513133,1,1,82,Let's Encrypt,https://onlinekino.pl,"aftermarket pl WZrE > LAcINA *od DoyEMT Domena onlinekino pl zostala zarejestrowana senwisie Aftermarket pl: Czym jest Aftermarketpl? To: Zainteresowany ta domena? Domeny internerowe: Aftermarket plto Jeden Miekszych rejestratorow domen Polsce: Dla Jesli chcesz skontaktowac sle z abonentem naszych 130.000 klientow utrzymujemy ponad 440.000 domen, tym domeny_nl domeny onlinekino pl, nacisnij ponizszy Najnizsze ceny utrzymania domen dla klientow hurtovych; Jesli posiadasz lub wiecej domen; mozesz przycisk aby vyslat wiadomose: skorzystal 2 atrakcyjnych znizek na rejestracje aunowienia domen: Kontakt abonentem domeny > Hosting stron WWW: Bezpieczny hosting Ewarantujacy stabilnoSt, niezawodnost predkosc dzialania; monitorowany 24/7 . Flrewall oparty Bczpicczcristwo domen: Dzicki zaawansowanym metodom autoryzacj masz pewnost ze nikt nleupowazniony nle dokona zmianna twol domenie Gielda domen internetowych: Najwieksza Polsce gielda domen. naszym serwisie znajdziesz ponad 170.000 domen sprzedaz klienci dokonuja kupna nowei domeny mni Przechwrytywanie domen: Co miesiac przechwytujemy 500 polskich domen wyIsza scutecznoscianizinne serwisy- Wszechstronne API do rejestracji i zarzadzania domenami. Dzieki AF mozesz zautomalyzowac wszystkie operacje na domenach; dla sieble lub Twoich kllentow:",5112.154385416667,"[[254, 254, 254], [112, 83, 80], [164, 175, 184]]",-1.0,bf0bc585b5cc4a4a,-1,True,https://am-assets.pl/themes/light/img/favicon.ico,"(32, 32)",ce386c3436d352b9,"[[1, 0, 0], [227, 56, 26], [114, 27, 16]]",48707.0,AS48707 OPS PL sp. z o.o.,PL,,
State Bank of India (SBI),sbi.co.in,,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.0269868333592878,3.0269868333592878,0,0,-1,,stubie.events,Fulkd DCk Jlo {ubeeene,130.3880859375,"[[254, 254, 254], [113, 113, 113], [36, 36, 36]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],,,,,
Punjab National Bank (PNB),netpnb.com,15.197.148.33,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.1219280948873624,3.1219280948873624,1,1,188,"GoDaddy.com, Inc.",https://neptun.bar,,0.0,"[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,True,"data:,",-1,,[],16509.0,AMAZON-02,US,,
State Bank of India (SBI),onlinesbi.sbi,172.67.170.172,30,1,False,6,2,2,0,0,0,0,0,0,0,22,2,False,0,0,0.0,0,False,False,0,False,False,False,3.5039975273348483,3.5039975273348483,1,1,62,Google Trust Services,https://online-spin-games.site,,7.773484721450336,"[[102, 97, 123], [15, 15, 23], [116, 152, 206]]",-1.0,a7a786868e1e1e1e,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),yonobusiness.sbi,198.187.31.229,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.0220552088742005,3.0220552088742005,1,1,349,Sectigo Limited,http://yonospin.org,Fulkd DopcJlc,125.90004991319444,"[[254, 254, 254], [60, 60, 60], [131, 131, 131]]",-1.0,87070707070f0fff,-1,False,,-1,,[],22612.0,NAMECHEAP-NET,US,,
State Bank of India (SBI),onlinesbi.sbi,93.89.226.17,26,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5724312513221195,3.5724312513221195,0,0,-1,,http://onlinedtfbaski.net,"SAYFA HAKKiMIZDA ONLINE DTF BASKI ONLINE ONLINE TiSORT BASKI BLOG iLetisim DTF BASKI Online olarak siparis verin, siparisiniz 24 saat icerisinde kargolansin! 10 Metre Uzerine Ucretsiz Kargo DTF Baski Baskisini yaptirmak istediginiz dosyanin uzun lugunu metre olarak Baski Uzunlugu Baski dosyanizi 300 DPI ve CMYK Hesaplanan baski ucretinine gore Kismina giriniz , olacak sekilde PDF; Al, PSD veya SVG siparisinizi verdikten sonra baskiniz formatinda dosya yiikleme alanina ortalama 24 saat icerisinde adresinize yukleviniz kargolanacaktir Baski Cesitlerimiz ONLINE DTF BASKI Orline DTF Bask Tersti Fclyo Baiki Kizrye Ozel Tizort Baske er Fokia DTF Baskinin Avantajlari DTF baski islemi, bircok kumas turune uyum saglamasi ve farkli materyallerde kullanim avantaji sunmasi acisindan dijital baskida karsilasilan bazi kisitlamalarin onune gecer: Ayrica On islem gerektiriedigi icin baski maliyetini dusurerek yuksek bir kar marji sunar_ Canli renkler avnntl gratiklerle Hizli urefm teslimat sureleri Yuksek kaliteli sonuclar saglar Bu, sunar, Tasariminizi yukledikten tasafimlariniza Coz alic sonra kisa sute icinde Urunlerinizi profesvonel Lir gorunum kazandirir alahilirginin ilihtiyaclariniz icin kacirilmaz bir firsattic, T-shint Exski, supke Ganta gibi bircok tekstil urunune uygulanabilir DTF baskl; cesitli kisisellestirme arkl Droeler iCM cok yonli bir Secenekenfnar Gei secentgi Kunar tasarimlarnizi veva meiinlere ekevenek Dzekurunlei olusturabilirsiniz Siparis VeR BILGIAL BLOG ns Mee He Me EeecEn aert DTF Baski Tekstil Transfer Baski Nedir? Baski Nedir? Nedir? DTF Baski Nedir? Jeks Fckodak Fnanset Beskunedln Avaneailari Nelerdir- Nedir? Terslil Fchc Transki buski ""l DTF bxkDuctIa Bu Lkblva dina = ua""trir DTC Film Panbrg , dijtal Auze ef Uzeric (Direct To Fum)ey Jbasketekoslolle nder ~Uvgulanan bir baska ~diger & ytal baski Jblntaa teknigidir F CONTINUE READING CONTINUE REACIRG CONTINUE READING Yuksek Cozunurluklu Baski imkani Dogrudan tekstil baski tekalojisine k cesitli kumaslara baskisa lavare Urun teklliizi genisletmenin uygun maliyetli oluu Sunmak isteriz HEMEN SipaRIs VERIN Bllcaac ONLINE DTF BASKI FAYDALI LiNKLER Sayfa ocl Pala FaklTdi Meateli Satus codeme Maele Jedo ade_ KVXK infogonlineaitbask GriOdem= lade Politikau #C0 532 749 31 61 Onlir? DTF Baski @ 3025 Created by Creatzon Kencl Folyo Kecu 0A",3304.008751380496,"[[249, 251, 253], [38, 38, 43], [154, 156, 156]]",-1.0,9bb11be4e46ae44a,-1,True,https://www.onlinedtfbaski.com/wp-content/uploads/2024/05/cropped-dtfbaski-favicon-32x32.png,"(32, 32)",916c6e94689b6d36,"[[66, 118, 92], [232, 215, 31], [205, 24, 132]]",51557.0,Isimtescil Bilisim A.S.,TR,,
Airtel,airtel.in,85.128.128.104,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.4182958340544896,3.4182958340544896,0,0,-1,,http://air4tech.com,SPRAWDZ HcAbenicom utrzymy Yana jest na senverach nazwa Pl,3296.259555184547,"[[254, 254, 254], [255, 1, 1], [181, 129, 129]]",-1.0,e6cc998c66669999,-1,False,,-1,,[],15967.0,Nazwa.pl Sp.z.o.o.,PL,,
State Bank of India (SBI),sbi.co.in,66.33.22.144,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.1219280948873624,3.1219280948873624,1,1,71,Let's Encrypt,https://ssubit.com,"HbiaD oie 212175 50% Veil 2026h Mtl Xui: 334 448 410/4/21 Myl SIETI Holvi aulOni Lolee THe {J9321ei 4uia 84 HbiA N2z API 98 85t2481 234 Jic2802tdaprmOL %42P ch2lpiz; 71*17431427 'MYl' 34REI Mal clole] &01 2plott! AIche 24044. 334 401442524,01 43453 43*418. 0 827142""E421 NHIA ?l4xl2+8 332 013 32, %1 82*49? 2916/71 4uia: 230 NHIA 933 W API 233 #h Wtidizz AFOIE DHM #2M 371 HIEIEIIAEI 7011 0z18n dh@ 43 #oizX4R? 48? 718? 01@ AP1I 92*1, 01871*=* 457804 901 *53t4la 084 %4, 411mz^ + U0 344mE448R45 4128 415801 42 ANE 4575 RI0Iz. 0 34API 70424""1 I:uQu BdrAPi 0wss 33434 @W4e API cicicioi 0148 Wmu Aapi Golutioh Meloix= 01a358*324%08 71553444 ""+41zt Z12*49144412 Kiiotcin ++7i 44l-Li7*71 APiXHIi MHIz 24 Tiz:t 22 API TE 2,000+ MhiA5 # 3o4 02027845 Fir2 APIS 204 340k7 Hlatyie 424""5*uie 47 4i2eyhr 3444*40#| 3ela01 Itaqol 571 3444 4/4M#| orowh Y340 94 4yz 241 Muia , 2I9EnitII 7823014 217+8? +300% 413 28 321 4132243 284*1R41003 458t71 Mdet 43el)1 21421841,1188 24431 45,280349 Jiz2I3 N8#1 tlg #713 #8ltl18 73014 43 4ui^ ""32 %0 #7| - 4jui Z201_ 24174 % 4N MITE: 4017i521 *32 MbiA 2i#riyct 04#71 571 > 717ir4*1 #273 UX %4M38 05 #71 W2 "" #i22iw= Ja4TI Ge #huAol"" 2449372 &Hd 4238442i BAIzl "" 54747344 #71 - 38 82/481 92/9 41404r75 4uie & 9 487| 5B ; 49""541462 *5434*0844.UVI 89 424012,4484471 71344_ 12471 { Ad57 44zt 971*1 73014 40 Muia ""82 80 #71 - #xtui z801_ 2412 F 717124*1 #37i8 UX %4M3e &7 #71 Mi"" S4 AI @ # 48 04#71 gysu301 *461 32120L/0. 401 41915 82/9 24 24>i505 28* 9322 & H8 4c3i24 *7i 2097 BiIz "" 92/9 AN 04875 Auj: @ # 9871 13'12 4 Mg Huie 4rLI4 Di 4uA Hojel % 491 44, Muk 04 42igu Due Jgoe Xui28 Hojee caeLc. HuiZ M45 autp 07954p 0j042l suqpattasrviccdibkr 713124 291 Tar021234-5678 3#ririuel olac 834 4444 ciciet cant An8ixi8teAmO-31d-80-0j2ot #0d8.W447#81834U?7 F oikys Npin5t2n3 Dt 02026 WayuServiccData) All righistesurved 417r0 PM?i?",1410.3835845738647,"[[248, 250, 250], [25, 34, 56], [42, 145, 225]]",-1.0,b6b61496149a4fcb,-1,False,,-1,,[],400940.0,RAILWAY,US,,
State Bank of India (SBI),onlinesbi.sbi,172.67.151.239,31,1,False,4,0,2,0,0,0,0,0,0,0,23,0,False,0,0,0.0,0,False,False,0,False,False,False,3.795088586397732,3.795088586397732,1,1,56,Google Trust Services,onlinebrickhousegps.org,Fulkdbcr Jlo onlinablekhorzJnus,181.99831380208332,"[[254, 254, 254], [149, 149, 149], [41, 41, 41]]",-1.0,87070f0f0f0f0f1f,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),onlinesbi.sbi,104.21.50.179,29,1,False,4,0,2,0,0,0,0,0,0,0,21,0,False,0,0,0.0,0,False,False,0,False,False,False,3.7849418274376423,3.7849418274376423,1,1,73,Google Trust Services,http://onlinebrightstory.com,Fulkdbcr Jla onlinablahercon,168.7596657986111,"[[254, 254, 254], [34, 34, 34], [132, 132, 132]]",-1.0,8707070f0f0f0f3f,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
