url,source_workbooks_json
airtel-merchants.club,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
airtele.xyz,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
paarivahan.com,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
airtell.ai,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
axisupi.com,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
uidaiaadhardownload.com,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
sbireward.com,"[""AIGR-S66270_Ground_Truth.xlsx"",""urls.xlsx""]"
airtel-zungusha.lol,"[""AIGR-S66270_Ground_Truth.xlsx""]"
airtelmetaverse.com,"[""AIGR-S66270_Ground_Truth.xlsx""]"
incometaxgov.info,"[""AIGR-S66270_Ground_Truth.xlsx""]"
incometaxgov.org,"[""AIGR-S66270_Ground_Truth.xlsx""]"
crsor.info,"[""AIGR-S66270_Ground_Truth.xlsx""]"
domain,"[""urls.xlsx""]"
jardines10.com,"[""urls.xlsx""]"
connectionsarchive.net,"[""urls.xlsx""]"
web365daftar.com,"[""urls.xlsx""]"
conciergerie-niort.fr,"[""urls.xlsx""]"
nmjiaojinginc.shop,"[""urls.xlsx""]"
ventajp.com,"[""urls.xlsx""]"
snackduel.com,"[""urls.xlsx""]"
calmplatewindow.club,"[""urls.xlsx""]"
tuterrenoenchile.cl,"[""urls.xlsx""]"
pumirpkin.live,"[""urls.xlsx""]"
exerciseok.com,"[""urls.xlsx""]"
parquebatweania.com,"[""urls.xlsx""]"
tutu-and-tiaras.com,"[""urls.xlsx""]"
prototanya.org,"[""urls.xlsx""]"
beton888bonuuz30rb.cyou,"[""urls.xlsx""]"
creationorder.net,"[""urls.xlsx""]"
bazarcentofiori.com,"[""urls.xlsx""]"
hgi5z6n1d.vip,"[""urls.xlsx""]"
socioone.com,"[""urls.xlsx""]"
greenbeangirltrainingtutoring.com,"[""urls.xlsx""]"
crplasticos.com.br,"[""urls.xlsx""]"
tnkproject.com,"[""urls.xlsx""]"
landscapebyvera.com,"[""urls.xlsx""]"
fresna.online,"[""urls.xlsx""]"
zh-ptgaming.com,"[""urls.xlsx""]"
emon793hoky.online,"[""urls.xlsx""]"
udbijaayurveda.com,"[""urls.xlsx""]"
pornmega18.xyz,"[""urls.xlsx""]"
easy-sponso.com,"[""urls.xlsx""]"
roblox303.store,"[""urls.xlsx""]"
kirin77.site,"[""urls.xlsx""]"
moisesdevweb.com,"[""urls.xlsx""]"
barbara-michelle.com,"[""urls.xlsx""]"
pornxmodel.click,"[""urls.xlsx""]"
hraihpsa.ca,"[""urls.xlsx""]"
saudenervocuremax.shop,"[""urls.xlsx""]"
rjpnbv.com,"[""urls.xlsx""]"
yktdeo.com,"[""urls.xlsx""]"
jlchuhai.com,"[""urls.xlsx""]"
bogitekniikka.fi,"[""urls.xlsx""]"
lucilalehmann.com,"[""urls.xlsx""]"
yataganharem5.click,"[""urls.xlsx""]"
jicm0yo.vip,"[""urls.xlsx""]"
wintergroupsecurity.com,"[""urls.xlsx""]"
mikogpt.ru,"[""urls.xlsx""]"
exodusbrk.com,"[""urls.xlsx""]"
alyxara.com,"[""urls.xlsx""]"
djgekcf.icu,"[""urls.xlsx""]"
dikagegrid.click,"[""urls.xlsx""]"
anxunh.top,"[""urls.xlsx""]"
eatalymarket.shop,"[""urls.xlsx""]"
americanexpress-reward00175.ink,"[""urls.xlsx""]"
pack101.org,"[""urls.xlsx""]"
discretion.shop,"[""urls.xlsx""]"
thirdshelterpress.com,"[""urls.xlsx""]"
ank2014.biz,"[""urls.xlsx""]"
hollandgroupandassociates.com,"[""urls.xlsx""]"
thinkproguard.com,"[""urls.xlsx""]"
hysefo.com,"[""urls.xlsx""]"
8740i4ji8ki.shop,"[""urls.xlsx""]"
netsafe.ovh,"[""urls.xlsx""]"
optimacapitalvc.com,"[""urls.xlsx""]"
zrsanalyst.com,"[""urls.xlsx""]"
root-ro.info,"[""urls.xlsx""]"
syxtherocrex.world,"[""urls.xlsx""]"
snowtime.shop,"[""urls.xlsx""]"
allnaturalherbalmedicines.com,"[""urls.xlsx""]"
e7v7c6y.com,"[""urls.xlsx""]"
beatyourbuddies.online,"[""urls.xlsx""]"
ub-futas.hu,"[""urls.xlsx""]"
aithink.world,"[""urls.xlsx""]"
swiftdrops.store,"[""urls.xlsx""]"
charmenowho.shop,"[""urls.xlsx""]"
tonerrefillstoreho.shop,"[""urls.xlsx""]"
bexarcasino.space,"[""urls.xlsx""]"
piezosistem.com,"[""urls.xlsx""]"
scarpe-it.ru,"[""urls.xlsx""]"
eeeey.cc,"[""urls.xlsx""]"
learningonly.store,"[""urls.xlsx""]"
tutera.ru,"[""urls.xlsx""]"
shelbyserves.com,"[""urls.xlsx""]"
gothamfinn.co,"[""urls.xlsx""]"
penn-hpp.com,"[""urls.xlsx""]"
uk-travel.ru,"[""urls.xlsx""]"
slexironphdrexox.world,"[""urls.xlsx""]"
ivqojlz1513.top,"[""urls.xlsx""]"
vertexapexgroupoptimalprocess.blog,"[""urls.xlsx""]"
navaitour.online,"[""urls.xlsx""]"
doggiemax.com,"[""urls.xlsx""]"
intelectusai.com,"[""urls.xlsx""]"
perchproject.org,"[""urls.xlsx""]"
5ggnp.buzz,"[""urls.xlsx""]"
777gvipclub.com,"[""urls.xlsx""]"
thepatoolkit.com,"[""urls.xlsx""]"
zentozavoveltopentolaxinilo.click,"[""urls.xlsx""]"
hixemuzydo.pro,"[""urls.xlsx""]"
logrenuunics.com,"[""urls.xlsx""]"
aifinance.global,"[""urls.xlsx""]"
jskbalaghat.org,"[""urls.xlsx""]"
sbi.com-kyc.net/login,"[""urls.xlsx""]"
onl1nesbi.sbi/login,"[""urls.xlsx""]"
onlinesbi.sbi.update-rewards.xyz,"[""urls.xlsx""]"
airindiaair.com,"[""urls.xlsx""]"
