Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,evidence_tier,lexical_score,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,review_reason,score_margin,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,admission_reason,admission_path,best_score,domain_component,clip_component,hash_component,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,clip_anchor,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
State Bank of India (SBI),corp.onlinesbi.sbi,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_1.html,AIGR-S66270_Ground_Truth.xlsx,0.0,Low,weak_evidence,0.6148,False,False,True,fallback_top_k,fetched,not_attempted,,,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_1.html,,,,False,0,False,False,32,4,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|auth_wording,False,False,False,4,0,ai-phishing-detection.s3.ap-south-1.amazonaws.com,,7045,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Bank of India (SBI),corp.onlinesbi.sbi,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_bank.html,AIGR-S66270_Ground_Truth.xlsx,0.0,Low,weak_evidence,0.6148,False,False,True,fallback_top_k,fetched,not_attempted,,,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_bank.html,,,,False,0,False,False,32,4,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|auth_wording,False,False,False,4,0,ai-phishing-detection.s3.ap-south-1.amazonaws.com,,3596,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Informatics Centre (NIC),accounts.mgovcloud.in,https://crplasticos.com.br,urls.xlsx,0.0,Low,weak_evidence,0.645,False,False,True,fallback_top_k,fetched,not_attempted,,,https://crplasticos.com.br,,,,False,0,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,crplasticos.com.br,de2168ace9cf472f67dc72bf48c860a9.cdn.bubble.io,15515,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Authority (NHA),abdm.gov.in,https://yataganharem5.click,urls.xlsx,0.0,Low,weak_evidence,0.6316,False,False,True,fallback_top_k,fetched,not_attempted,,,https://yataganharem5.click,,,,False,0,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,yataganharem5.click,,4104,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Bank of India (RBI),rbi.org.in,https://swiftdrops.store,urls.xlsx,0.0,Low,weak_evidence,0.6444,False,False,True,fallback_top_k,fetched,not_attempted,head_error,,https://swiftdrops.store,,,,False,0,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,swiftdrops.store,,151,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Informatics Centre (NIC),accounts.mgovcloud.in,https://logrenuunics.com,urls.xlsx,0.0,Low,weak_evidence,0.6442,False,False,True,fallback_top_k,fetched,not_attempted,,,https://logrenuunics.com,,,,False,0,False,False,36,0,0,10,46,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|js_redirect|iframe_present,False,False,False,1,0,logrenuunics.com,,10572,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Bank of India (RBI),rbi.org.in,https://secure-kyc.com,urls.xlsx,0.0,Low,weak_evidence,0.6282,False,False,True,fallback_top_k,fetched,not_attempted,,,https://secure-kyc.com,,,,False,0,False,False,28,0,6,0,34,False,title_brand_match|body_brand_match|suspicious_hosting_provider,False,False,False,1,0,secure-kyc.com,,104,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Bank of India (RBI),rbi.org.in,https://519zx.top,urls.xlsx,0.0,Low,weak_evidence,0.5619,False,False,True,fallback_top_k,fetched,not_attempted,,,https://519zx.top,,,,False,0,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,519zx.top,,407,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Informatics Centre (NIC),accounts.mgovcloud.in,https://cifibiu.pro,urls.xlsx,0.0,Low,weak_evidence,0.7071,False,False,True,fallback_top_k,fetched,not_attempted,,,https://cifibiu.pro,,,,False,0,False,False,8,14,0,0,22,False,body_brand_match|favicon_brand_match|login_form|auth_wording|multi_input_form,False,True,False,1,0,cifibiu.pro,cifibiu.pro,19312,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Informatics Centre (NIC),accounts.mgovcloud.in,https://my-auth23948.com,urls.xlsx,0.0,Low,weak_evidence,0.5833,False,False,True,fallback_top_k,fetched,not_attempted,,,https://my-auth23948.com,,,,False,0,False,False,40,2,0,0,42,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match|multi_input_form,False,False,False,1,0,my-auth23948.com,my-auth23948.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Bank of India (RBI),rbi.org.in,https://kycedeoni.autos,urls.xlsx,0.0,Low,weak_evidence,0.5873,False,False,True,fallback_top_k,fetched,not_attempted,,,https://kycedeoni.autos,,,,False,0,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,kycedeoni.autos,,153,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodafone Idea (VI),myvi.in,https://lml2vipaff05.cc,urls.xlsx,0.0,Low,weak_evidence,0.6667,False,False,True,fallback_top_k,fetched,not_attempted,,,https://lml2vipaff05.cc/login,,,,False,0,False,False,0,32,0,6,38,False,password_field|login_form|auth_wording|multi_input_form|js_redirect,True,True,False,0,1,lml2vipaff05.cc,lmspeed.co,15300,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
