input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
279,pnblndia.in,https://pnblndia.in,dns_error,rejected,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary|skeleton_similarity,Punjab National Bank (PNB),0.0,,0.9083,0.0,0.905,0.0,0.0,0.0
456,fancloud.site,https://fancloud.site,dns_error,rejected,,False,dns_gate,dns_rejected,True,National Informatics Centre (NIC),True,True,True,False,,,jw_primary,National Informatics Centre (NIC),0.0,,0.875,0.0,0.7692,0.0,0.0,0.0
587,homesfinalmoon.com,https://homesfinalmoon.com,dns_error,rejected,,False,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),0.0,,0.8841,0.0,0.6087,0.0,0.0,0.0
4421,sbi-secure-login.com,https://sbi-secure-login.com,dns_error,rejected,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.8353,0.0,0.6207,0.0,0.0,0.0
5199,portal-2025-information.com,https://portal-2025-information.com,dns_error,rejected,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,Bharat Sanchar Nigam Limited (BSNL),0.0,,0.4706,0.0,0.4706,0.0,0.0,0.0
6060,icici-bank-support.in,https://icici-bank-support.in,dns_error,rejected,,False,dns_gate,dns_rejected,True,ICICI Bank,True,True,True,False,,,brand_token_match|jw_primary,ICICI Bank,0.0,,0.8556,0.0,0.4348,0.0,0.0,0.0
6806,pnb-netbanking.net,https://pnb-netbanking.net,dns_error,rejected,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,Punjab National Bank (PNB),0.0,,0.8167,0.0,0.3529,0.0,0.0,0.0
7848,nxheal.com,https://nxheal.com,dns_error,rejected,,False,dns_gate,dns_rejected,True,National Health Authority (NHA),True,True,True,False,,,jw_primary,National Health Authority (NHA),0.0,,0.85,0.0,0.6667,0.0,0.0,0.0
9465,aimulife.com,https://aimulife.com,dns_error,rejected,,False,dns_gate,dns_rejected,True,Axis Bank,True,True,True,False,,,jw_primary,Axis Bank,0.0,,0.8534,0.0,0.7668,0.0,0.0,0.0
11069,cloudleadgrid.com,https://cloudleadgrid.com,no_records,rejected,,False,dns_gate,dns_rejected,True,National Informatics Centre (NIC),True,True,True,False,,,jw_primary,National Informatics Centre (NIC),0.0,,0.8769,0.0,0.5556,0.0,0.0,0.0
