input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason
1,ezbrd.co,https://ezbrd.co,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
2,swiftdrops.store,https://swiftdrops.store,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
3,nmjiaojinginc.shop,https://nmjiaojinginc.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
4,emon793hoky.online,https://emon793hoky.online,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
5,uk-travel.ru,https://uk-travel.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
6,navaitour.online,https://navaitour.online,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
7,enerzyph.com,https://enerzyph.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
8,519zx.top,https://519zx.top,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
9,verify-account.net,https://verify-account.net,dns_gate,dns_rejected,dns_error,rejected,False,False,True,fallback_top_k
10,landscapebyvera.com,https://landscapebyvera.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
11,jicm0yo.vip,https://jicm0yo.vip,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
12,ncbackyardbouncers.com,https://ncbackyardbouncers.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
13,allnaturalherbalmedicines.com,https://allnaturalherbalmedicines.com,dns_gate,dns_rejected,timeout,rejected,False,False,True,fallback_top_k
14,metaads.pro,https://metaads.pro,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
15,snowtime.shop,https://snowtime.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
16,pack101.org,https://pack101.org,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
17,sbi-secure-login.com,https://sbi-secure-login.com,dns_gate,dns_rejected,dns_error,rejected,True,False,False,brand_token_match
18,aithink.world,https://aithink.world,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
19,aifinance.global,https://aifinance.global,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
20,chillcollege.com,https://chillcollege.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
21,udbijaayurveda.com,https://udbijaayurveda.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
22,jskbalaghat.org,https://jskbalaghat.org,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
24,roisgloballogam.com,https://roisgloballogam.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
25,slexironphdrexox.world,https://slexironphdrexox.world,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
26,pnblndia.bank.in,https://pnblndia.bank.in,dns_gate,dns_rejected,dns_error,rejected,True,True,False,jw_primary
27,ventajp.com,https://ventajp.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
28,n6k6jqg8.top,https://n6k6jqg8.top,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
29,lfsidou.com,https://lfsidou.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
30,coastalcounselingcenter.org,https://coastalcounselingcenter.org,dns_gate,dns_rejected,dns_error,rejected,False,False,True,fallback_top_k
31,eatalymarket.shop,https://eatalymarket.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
32,prototanya.org,https://prototanya.org,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
33,rjpnbv.com,https://rjpnbv.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
34,socioone.com,https://socioone.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
35,tutu-and-tiaras.com,https://tutu-and-tiaras.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
36,calmplatewindow.club,https://calmplatewindow.club,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
37,cppcccare.com,https://cppcccare.com,dns_gate,dns_rejected,dns_error,rejected,False,False,True,fallback_top_k
38,permabrows.us,https://permabrows.us,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
39,777gvipclub.com,https://777gvipclub.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
40,update-account.online,https://update-account.online,dns_gate,dns_rejected,dns_error,rejected,False,False,True,fallback_top_k
41,paarivahan.com,https://paarivahan.com,dns_gate,dns_rejected,dns_error,rejected,True,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity
42,elit-stomatolog.ru,https://elit-stomatolog.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
43,786786786786.com,https://786786786786.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
44,globalbookpublication.com,https://globalbookpublication.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
45,secure-login.com,https://secure-login.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
46,manto90.store,https://manto90.store,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
47,my-auth23948.com,https://my-auth23948.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
48,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,dns_gate,dns_rejected,dns_error,rejected,True,True,False,jw_primary|skeleton_similarity
49,pornxmodel.click,https://pornxmodel.click,dns_gate,dns_rejected,resolver_error,rejected,False,False,True,fallback_top_k
50,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,dns_gate,dns_rejected,dns_error,rejected,True,False,False,brand_token_match
51,bogitekniikka.fi,https://bogitekniikka.fi,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
52,edugig.xyz,https://edugig.xyz,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
53,wantianzf.com,https://wantianzf.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
54,pumirpkin.live,https://pumirpkin.live,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
55,avbyfpho.shop,https://avbyfpho.shop,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
56,barbara-michelle.com,https://barbara-michelle.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
57,intelectusai.com,https://intelectusai.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
58,eeeey.cc,https://eeeey.cc,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
59,di9rke.top,https://di9rke.top,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
60,rush-bodyplan.homes,https://rush-bodyplan.homes,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
61,cifibiu.pro,https://cifibiu.pro,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
62,domain,https://domain,dns_gate,dns_rejected,dns_error,rejected,False,False,True,fallback_top_k
63,94498.qpon,https://94498.qpon,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
64,wintergroupsecurity.com,https://wintergroupsecurity.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
65,unqvrhr60.shop,https://unqvrhr60.shop,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
66,root-ro.info,https://root-ro.info,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
67,tutera.ru,https://tutera.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
68,crplasticos.com.br,https://crplasticos.com.br,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
69,tonerrefillstoreho.shop,https://tonerrefillstoreho.shop,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
70,anptght-jp.com,https://anptght-jp.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
71,pnblndia.in,https://pnblndia.in,dns_gate,dns_rejected,dns_error,rejected,True,True,False,jw_primary|skeleton_similarity
72,suesholidayhub.com,https://suesholidayhub.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
73,clayhole.click,https://clayhole.click,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
74,pulsefck.store,https://pulsefck.store,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
75,tnkproject.com,https://tnkproject.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
76,vertexapexgroupoptimalprocess.blog,https://vertexapexgroupoptimalprocess.blog,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
77,thelocksmithcrew.com,https://thelocksmithcrew.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
78,s-s-a.us,https://s-s-a.us,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
79,itplayegypt.win,https://itplayegypt.win,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
80,jiaotongzd.com,https://jiaotongzd.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
81,pnb-india.in,https://pnb-india.in,dns_gate,dns_rejected,resolver_error,rejected,True,True,False,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity
82,bexarcasino.space,https://bexarcasino.space,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
83,allsetfacilitygroup.com,https://allsetfacilitygroup.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
84,logrenuunics.com,https://logrenuunics.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
85,8740i4ji8ki.shop,https://8740i4ji8ki.shop,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
86,e7v7c6y.com,https://e7v7c6y.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
87,bramclaw.my.id,https://bramclaw.my.id,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
88,connect2people360x.info,https://connect2people360x.info,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
89,ivqojlz1513.top,https://ivqojlz1513.top,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
90,syxtherocrex.world,https://syxtherocrex.world,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
91,kycedeoni.autos,https://kycedeoni.autos,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
92,digifant.network,https://digifant.network,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
93,verify-kyc.com,https://verify-kyc.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
94,sweetcookii.com,https://sweetcookii.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
95,lesfermesdespoir.fr,https://lesfermesdespoir.fr,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
96,ofertaa643842315.sbs,https://ofertaa643842315.sbs,dns_gate,dns_rejected,resolver_error,rejected,False,False,True,fallback_top_k
97,jardines10.com,https://jardines10.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
98,wildlayers.com,https://wildlayers.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
99,traverseskier.com,https://traverseskier.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
100,kirin77.site,https://kirin77.site,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
101,doggiemax.com,https://doggiemax.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
102,app-mkwangzhi.com,https://app-mkwangzhi.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
103,hysefo.com,https://hysefo.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
104,zh-ptgaming.com,https://zh-ptgaming.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
105,beton888bonuuz30rb.cyou,https://beton888bonuuz30rb.cyou,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
106,secure-kyc.com,https://secure-kyc.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,False,False,True,fallback_top_k
