input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision
1,inwestonauci.pl,https://inwestonauci.pl,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
2,71042.vip,https://71042.vip,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
3,pack101.org,https://pack101.org,dns_gate,no_records,no_records,rejected
4,jskbalaghat.org,https://jskbalaghat.org,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
5,verify-account.net,https://verify-account.net,dns_gate,dns_error,dns_error,rejected
6,lucilalehmann.com,https://lucilalehmann.com,dns_gate,dns_error,dns_error,rejected
7,suaconsulta2026.online,https://suaconsulta2026.online,dns_gate,dns_error,dns_error,rejected
8,lml2vipaff05.cc,https://lml2vipaff05.cc,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
9,beatyourbuddies.online,https://beatyourbuddies.online,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
10,pnblndia.in,https://pnblndia.in,dns_gate,dns_error,dns_error,rejected
11,djgekcf.icu,https://djgekcf.icu,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
12,pulsefck.store,https://pulsefck.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
13,coastalcounselingcenter.org,https://coastalcounselingcenter.org,dns_gate,dns_error,dns_error,rejected
14,rosastoneeg.com,https://rosastoneeg.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
15,bit.ly,https://bit.ly,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
16,pnb-netbanking.net,https://pnb-netbanking.net,dns_gate,dns_error,dns_error,rejected
17,5ggnp.buzz,https://5ggnp.buzz,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
18,snowtime.shop,https://snowtime.shop,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
19,kycedeoni.autos,https://kycedeoni.autos,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
20,optimacapitalvc.com,https://optimacapitalvc.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
21,sbi-secure-login.com,https://sbi-secure-login.com,dns_gate,dns_error,dns_error,rejected
22,elit-stomatolog.ru,https://elit-stomatolog.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
23,freedomroadfinancialdealerhub.com,https://freedomroadfinancialdealerhub.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
24,abfquoelx.com,https://abfquoelx.com,dns_gate,resolver_error,resolver_error,rejected
25,5500betsk.com,https://5500betsk.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
26,accountauthenticate.com,https://accountauthenticate.com,dns_gate,dns_error,dns_error,rejected
27,777gvipclub.com,https://777gvipclub.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
28,barbara-michelle.com,https://barbara-michelle.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
29,outergood.ru,https://outergood.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
30,dynamicdigitalmastery.com,https://dynamicdigitalmastery.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
31,intelectusai.com,https://intelectusai.com,dns_gate,no_records,no_records,rejected
32,pnbindia-kyd.com,https://pnbindia-kyd.com,dns_gate,dns_error,dns_error,rejected
33,brandmappr.com,https://brandmappr.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
34,suesholidayhub.com,https://suesholidayhub.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
35,udbijaayurveda.com,https://udbijaayurveda.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
36,rjpnbv.com,https://rjpnbv.com,dns_gate,no_records,no_records,rejected
37,brierleysovereigngroup.info,https://brierleysovereigngroup.info,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
38,scarpe-it.ru,https://scarpe-it.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
39,icici-bank-support.in,https://icici-bank-support.in,dns_gate,dns_error,dns_error,rejected
40,wfbmus.org,https://wfbmus.org,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
41,creationorder.net,https://creationorder.net,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
42,eatalymarket.shop,https://eatalymarket.shop,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
43,logrenuunics.com,https://logrenuunics.com,dns_gate,no_records,no_records,rejected
44,8740i4ji8ki.shop,https://8740i4ji8ki.shop,dns_gate,no_records,no_records,rejected
45,doggiemax.com,https://doggiemax.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
46,bramclaw.my.id,https://bramclaw.my.id,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
47,icic-bank.com,https://icic-bank.com,dns_gate,dns_error,dns_error,rejected
48,beton888bonuuz30rb.cyou,https://beton888bonuuz30rb.cyou,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
49,netsafe.ovh,https://netsafe.ovh,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
50,americanexpress-reward00175.ink,https://americanexpress-reward00175.ink,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
51,sbi.co.in.login.banking-services.net/234/redirect,https://sbi.co.in.login.banking-services.net/234/redirect,dns_gate,dns_error,dns_error,rejected
52,bexarcasino.space,https://bexarcasino.space,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
53,mediavision.store,https://mediavision.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
54,n6k6jqg8.top,https://n6k6jqg8.top,dns_gate,no_records,no_records,rejected
55,aifinance.global,https://aifinance.global,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
56,786786786786.com,https://786786786786.com,dns_gate,no_records,no_records,rejected
57,allnaturalherbalmedicines.com,https://allnaturalherbalmedicines.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
58,phoenixwanderlust.in,https://phoenixwanderlust.in,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
59,tnkproject.com,https://tnkproject.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
60,tutera.ru,https://tutera.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
61,tredmind.com,https://tredmind.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
62,conciergerie-niort.fr,https://conciergerie-niort.fr,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
63,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,dns_gate,dns_error,dns_error,rejected
64,inesceramica.pt,https://inesceramica.pt,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
65,thepatoolkit.com,https://thepatoolkit.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
66,essentialcleaningservicesusa.com,https://essentialcleaningservicesusa.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
67,chillcollege.com,https://chillcollege.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
