Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,online-birth-maker.top
Bank of Baroda (BoB),bankofbaroda.in,bankofengland.one
State Bank of India (SBI),sbi.co.in,sbicr0.bond
State Bank of India (SBI),sbicard.com,bigcard.vn
State Bank of India (SBI),sbi.co.in,sbigosz.sbs
State Bank of India (SBI),onlinesbi.sbi,onlineshop.name
State Bank of India (SBI),sbilife.co.in,smiliface.shop
State Bank of India (SBI),onlinesbi.sbi,onlinedayspa.com
State Bank of India (SBI),sbi.co.in,sacbia.digital
State Bank of India (SBI),sbi.co.in,sobizu.com
State Bank of India (SBI),sbi.co.in,sb1ii4.info
Indian Oil Corporation Limited (IOCL),iocl.com,icpl.net.pk
Airtel,airtel.in,jarintel.ai
State Bank of India (SBI),sbi.co.in,sbiwind.com
State Bank of India (SBI),onlinesbi.sbi,onlinecasinosawspt.com
National Informatics Centre (NIC),accounts.mgovcloud.in,goc10.com
State Bank of India (SBI),onlinesbi.sbi,onlineweb.online
Bank of Baroda (BoB),bankofbaroda.in,bankonoc.org
Indian Oil Corporation Limited (IOCL),iocl.com,ia01.com.br
Bank of Baroda (BoB),bobibanking.com,blinking.lol
State Bank of India (SBI),onlinesbi.sbi,onlinecasino-zerkalo.vip
Airtel,airtel.in,airbattles.com
State Bank of India (SBI),onlinesbi.sbi,onlinebeans.store
State Bank of India (SBI),onlinesbi.sbi,onlybens.net
State Bank of India (SBI),onlinesbi.sbi,online-expos.com
Airtel,airtel.in,airtekk.shop
State Bank of India (SBI),onlinesbi.sbi,onlineto.online
State Bank of India (SBI),onlinesbi.sbi,onlinecasinosg.info
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,iritc.net
State Bank of India (SBI),sbilife.co.in,smilifeet.net
State Bank of India (SBI),onlinesbi.sbi,onlineglobalrecruiting.com
Punjab National Bank (PNB),netpnb.com,netep.ng
State Bank of India (SBI),onlinesbi.sbi,onlineprofits4u.com
Airtel,airtel.in,aireflip.com
State Bank of India (SBI),onlinesbi.sbi,online-myrogersmobi-litypay.net
State Bank of India (SBI),onlinesbi.sbi,online-fun.lol
HDFC Bank,hdfc.com,hdfjc.top
State Bank of India (SBI),onlinesbi.sbi,onlineproz.link
State Bank of India (SBI),onlinesbi.sbi,onlinezaimi.ru
Bank of Baroda (BoB),bankofbaroda.in,bankonoc.com
State Bank of India (SBI),sbi.co.in,sanbio.cz
Airtel,airtel.in,airae.co
State Bank of India (SBI),onlinesbi.sbi,onlyones.dev
Bank of Baroda (BoB),bankofbaroda.in,bankya.store
State Bank of India (SBI),sbi.co.in,sbikxj.sbs
Bank of Baroda (BoB),bankofbaroda.in,bankonbetcasino-de.com
State Bank of India (SBI),onlinesbi.sbi,onlineigri.net
State Bank of India (SBI),sbiepay.sbi,53iba.info
National Informatics Centre (NIC),accounts.mgovcloud.in,gogacloud.com
State Bank of India (SBI),onlinesbi.sbi,onlib.top
State Bank of India (SBI),onlinesbi.sbi,onlinecasinos-usa.org
State Bank of India (SBI),sbilife.co.in,smilifeet.store
Airtel,airtel.in,airebels.in
State Bank of India (SBI),onlinesbi.sbi,onlineacessoemail.site
Airtel,airtel.in,aiotel.ru
HDFC Bank,hdfc.com,hdcc.online
ICICI Bank,icicibank.com,ai-citibank.com
Bank of Baroda (BoB),bankofbaroda.in,banqofr.com
State Bank of India (SBI),sbi.co.in,ssabic.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,casori.shop
State Bank of India (SBI),onlinesbi.sbi,online-betbr.com
ICICI Bank,icicibank.com,ccbank.site
State Bank of India (SBI),onlinesbi.sbi,onlinesmp.com
Airtel,airtel.in,kartel.live
Indian Oil Corporation Limited (IOCL),iocl.com,iecl.com.mx
State Bank of India (SBI),sbi.co.in,5-bird.org
State Bank of India (SBI),onlinesbi.sbi,onlinecasino-zerkalo.biz
State Bank of India (SBI),sbilife.co.in,simplife.co.uk
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,icrotec.be
State Bank of India (SBI),sbi.co.in,hsbin.com
State Bank of India (SBI),onlinesbi.sbi,onlineorgasm.com
Indian Oil Corporation Limited (IOCL),iocl.com,iodc.space
State Bank of India (SBI),onlinesbi.sbi,onlinecasinoisland.net
State Bank of India (SBI),onlinesbi.sbi,onlineclickshop.com
State Bank of India (SBI),onlinesbi.sbi,onlineslimmer.com
State Bank of India (SBI),onlinesbi.sbi,onlinesnapclaim.com
State Bank of India (SBI),onlinesbi.sbi,online88vi.com
State Bank of India (SBI),onlinesbi.sbi,onlineconsignment.sale
State Bank of India (SBI),onlinesbi.sbi,online-one.info
State Bank of India (SBI),onlinesbi.sbi,onlineservisbirimi.com
Punjab National Bank (PNB),netpnb.com,npn.life
State Bank of India (SBI),sbicard.com,bitcard.build
Bank of Baroda (BoB),bankofbaroda.in,bankof.capital
State Bank of India (SBI),sbilife.co.in,smilifeet.shop
Indian Oil Corporation Limited (IOCL),iocl.com,isocel.com
State Bank of India (SBI),onlinesbi.sbi,onlinesolutions.info
Airtel,airtel.in,airbeltech.com
State Bank of India (SBI),onlinesbi.sbi,online-arts.org
Punjab National Bank (PNB),netpnb.com,panteonb.info
State Bank of India (SBI),onlinesbi.sbi,online-bofadebitcenter.com
State Bank of India (SBI),sbilife.co.in,swimlife.ch
National Informatics Centre (NIC),accounts.mgovcloud.in,segocloud.com
State Bank of India (SBI),yonobusiness.sbi,cartoonbusiness.online
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,ircotll.sbs
Airtel,airtel.in,arqtell.com
State Bank of India (SBI),onlinesbi.sbi,onlinecasino-zerkalo.club
State Bank of India (SBI),onlinesbi.sbi,onlinewellness.net
Airtel,airtel.in,airtekconsulting.com
Airtel,airtel.in,airset.pl
Airtel,airtel.in,aitqegl.bond
State Bank of India (SBI),sbi.co.in,sbivisor.com
Bank of Baroda (BoB),bankofbaroda.in,bankofamericatel.com
State Bank of India (SBI),onlinesbi.sbi,onlinebiznestatyana.ru
State Bank of India (SBI),onlinesbi.sbi,onlinechats.online
State Bank of India (SBI),sbicard.com,bitcard.gold
State Bank of India (SBI),onlinesbi.sbi,onlinedoc.org
State Bank of India (SBI),onlinesbi.sbi,onlineslotsuk.site
State Bank of India (SBI),onlinesbi.sbi,onlinzaim.ru
Punjab National Bank (PNB),netpnb.com,netbetpn.net
Bank of Baroda (BoB),bankofbaroda.in,bankba.net
Airtel,airtel.in,atel.tech
State Bank of India (SBI),sbi.co.in,5dbwib.bond
Airtel,airtel.in,airtilt.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crsrw.com
Bank of Baroda (BoB),bankofbaroda.in,bankdata.site
State Bank of India (SBI),onlinesbi.sbi,onlinecloning.com
Indian Oil Corporation Limited (IOCL),iocl.com,iocircle.vn
State Bank of India (SBI),onlinesbi.sbi,onlinemoviez.info
State Bank of India (SBI),onlinesbi.sbi,onlinebiz191.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crspo.wiki
State Bank of India (SBI),onlinesbi.sbi,onlinedkb.com
State Bank of India (SBI),onlinesbi.sbi,onlinedata.website
State Bank of India (SBI),onlinesbi.sbi,onlinemebosscai.com
State Bank of India (SBI),onlinesbi.sbi,online360.top
State Bank of India (SBI),onlinesbi.sbi,onlin-zaim.online
Punjab National Bank (PNB),netpnb.com,net.vin
State Bank of India (SBI),sbi.co.in,asbis.ci
State Bank of India (SBI),onlinesbi.sbi,onlineshieldhub.com
Bank of Baroda (BoB),bobibanking.com,btobbank.com
Airtel,airtel.in,airwell.online
