Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Telecom,https://airtel-merchants.club,airtel.in,Airtel,Suspected,2026-02-14T11:45:51Z,"GoDaddy.com, LLC",,NA,ns71.domaincontrol.com;ns72.domaincontrol.com,NA,NA,NA,NA,NA,13-04-2026,15:01:47,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Telecom,https://airtel-zungusha.lol,airtel.in,Airtel,Suspected,2026-02-26T14:49:56.0Z,Namecheap,NA,NA,dns1.namecheaphosting.com;dns2.namecheaphosting.com,NA,NA,NA,NA,NA,13-04-2026,15:01:52,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Telecom,https://airtele.xyz,airtel.in,Airtel,Suspected,2025-02-20T07:03:12.0Z,"GMO Internet Group, Inc. d/b/a Onamae.com	",NA,NA,ns1.gm111.parklogic.com;ns2.gm111.parklogic.com,NA,NA,NA,NA,NA,13-04-2026,15:01:50,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Telecom,https://airtell.ai,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-04-2026,15:01:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtelmetaverse.com,airtel.in,Airtel,Suspected,2024-10-26T17:43:53Z,"GoDaddy.com, LLC",NA,NA,NS75.DOMAINCONTROL.COM;NS76.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns76.domaincontrol.com.;NS:ns75.domaincontrol.com.,NA,13-04-2026,15:01:41,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://axisupi.com,axismf.com,Axis Bank,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-04-2026,15:01:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://crsor.info,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,2026-02-26T12:05:49.721Z,"OwnRegistrar, Inc.",NA,NA,ns1.newhost.in;ns2.newhost.in,208.91.112.55,FORTINET,CA,A:208.91.112.55;NS:ns1.newhost.in.;NS:ns2.newhost.in.;MX:0 crsor.info.,NA,13-04-2026,15:01:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.info,incometaxindia.gov.in,Income Tax Department,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-04-2026,15:01:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.org,incometaxindia.gov.in,Income Tax Department,Suspected,2026-02-26T07:11:30.833Z,PDR Ltd. d/b/a PublicDomainRegistry.com,NA,NA,alex.ns.cloudflare.com;edna.ns.cloudflare.com,172.67.183.147,CLOUDFLARENET,NA,A:104.21.51.180;A:172.67.183.147;NS:alex.ns.cloudflare.com.;NS:edna.ns.cloudflare.com.;MX:100 mx1.titan.email.;MX:100 mx2.titan.email.,NA,13-04-2026,15:01:43,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://paarivahan.com,parivahan.gov.in,parivahan sewa,Suspected,2023-02-18T17:00:39Z,"Spaceship, Inc.",NA,NA,LAUNCH1.SPACESHIP.NET;LAUNCH2.SPACESHIP.NET,NA,NA,NA,NA,NA,13-04-2026,15:01:51,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Banking/Financial,https://sbireward.com,sbicard.com,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-04-2026,15:01:52,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Government,https://uidaiaadhardownload.com,uidai.gov.in,"Unique Identification Authority of India (UIDAI)
",Suspected,2026-02-22T14:32:02Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,91.108.106.217,Hostinger International Limited,IN,A:147.79.69.246;A:91.108.106.217;NS:ns2.dns-parking.com.;NS:ns1.dns-parking.com.,NA,13-04-2026,15:01:37,NA,weak_or_single_signal_match; NA values are due to privacy issues.
