Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Unknown,https://a10fintech.com,kfintech.com,Kfintech,Suspected,2026-03-31T22:36:24Z,Porkbun LLC,NA,NA,CURITIBA.NS.PORKBUN.COM;FORTALEZA.NS.PORKBUN.COM;MACEIO.NS.PORKBUN.COM;SALVADOR.NS.PORKBUN.COM,NA,NA,NA,NA,NA,23-04-2026,17:36:24,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://acsronline.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),Suspected,2020-05-30T10:50:32Z,"OnlineNIC, Inc.",NA,NA,NS0107.HOSTINGCARE.NET;NS0108.HOSTINGCARE.NET,NA,NA,NA,NA,NA,23-04-2026,17:36:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://aesyonline.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),Suspected,2024-03-29T12:03:10Z,"Wild West Domains, LLC",NA,NA,NS29.DOMAINCONTROL.COM;NS30.DOMAINCONTROL.COM,NA,NA,NA,NA,NA,23-04-2026,17:36:31,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Social Media,https://agraniexpress.com,airindiaexpress.com,Air India,Suspected,2024-03-28T04:49:06Z,"Spaceship, Inc.",NA,NA,LAUNCH1.SPACESHIP.NET;LAUNCH2.SPACESHIP.NET,NA,NA,NA,NA,NA,23-04-2026,17:36:26,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://ai-sbi.us.com,sbimf.com,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-04-2026,17:35:23,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://aiimspathway.com,aiims.edu,All India Institute of Medical Sciences (AIIMS),Suspected,2026-03-31T06:52:23Z,Hosting Concepts B.V. d/b/a Registrar.eu,NA,NA,HORIZON.DNS-PARKING.COM;ORBIT.DNS-PARKING.COM,NA,NA,NA,NA,NA,23-04-2026,17:35:47,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://aiimssociety.com,aiims.edu,All India Institute of Medical Sciences (AIIMS),Suspected,2020-03-29T03:12:41Z,"GoDaddy.com, LLC",NA,NA,NS1.BLUEHOST.COM;NS2.BLUEHOST.COM,NA,NA,NA,NA,NA,23-04-2026,17:36:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Social Media,https://airgoexpress.com,airindiaexpress.com,Air India,Suspected,2005-03-28T12:23:05Z,"Arsys Internet, S.L. dba NICLINE.COM",NA,NA,DNS5.SERVIDORESDNS.NET;DNS6.SERVIDORESDNS.NET,NA,NA,NA,NA,NA,23-04-2026,17:36:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-black.com,airtel.in,Airtel,Suspected,2026-03-31T19:53:15Z,"NameCheap, Inc.",NA,NA,PDNS1.REGISTRAR-SERVERS.COM;PDNS2.REGISTRAR-SERVERS.COM,NA,NA,NA,NA,NA,23-04-2026,17:35:56,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-black.in,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-04-2026,17:35:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
