Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Sandbox Verdict,Sandbox Reason,Remarks
ISS_NLP,Banking/Financial,ponlinesitet.shop,corp.onlinesbi.sbi/corporate,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\SBI_ponlinesitet.shop_1.pdf,28-02-2026,15:53:40,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloudhost819.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2026-01-13T12:40:46Z,"NameCheap, Inc.",NA,NA,DNS1.REGISTRAR-SERVERS.COM;DNS2.REGISTRAR-SERVERS.COM,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\NIC_cloudhost819.com_2.pdf,28-02-2026,15:53:41,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloudrite.co.nz,cloud.gov.in,National Informatics Centre (NIC),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\NIC_cloudrite.co.nz_3.pdf,28-02-2026,15:53:42,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Unknown,rembot.cloud,rebit.org.in,Reserve Bank of India (RBI),Suspected,2026-01-13T17:39:04.636Z,"HOSTINGER operations, UAB",NA,NA,ns1.dns-parking.com;ns2.dns-parking.com,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\RBI_rembot.cloud_4.pdf,28-02-2026,15:53:42,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloudopseg.net,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2023-04-11T11:57:32Z,"Amazon Registrar, Inc.",NA,NA,LAURYN.NS.CLOUDFLARE.COM;MAXIM.NS.CLOUDFLARE.COM,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\NIC_cloudopseg.net_5.pdf,28-02-2026,15:53:42,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Banking/Financial,onlinewebservice.ru,corp.onlinesbi.sbi/corporate,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\SBI_onlinewebservice.ru_6.pdf,28-02-2026,15:53:42,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cswcloud.net,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2026-01-12T19:28:28Z,"Cloudflare, Inc.",NA,NA,DEREK.NS.CLOUDFLARE.COM;LOLA.NS.CLOUDFLARE.COM,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\NIC_cswcloud.net_7.pdf,28-02-2026,15:53:43,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Banking/Financial,axie.email,axis.bank.in,Axis Bank,Legitimate,2024-01-01T17:01:08.922Z,Porkbun LLC,NA,NA,NA,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\Axis_axie.email_8.pdf,28-02-2026,15:53:45,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,parivahan.one,parivahan.gov.in,parivahan sewa,Legitimate,2026-01-13T09:47:28Z,Gname.com Pte. Ltd.,,NA,a1.share-dns.com;b1.share-dns.net,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\parivahan_parivahan.one_9.pdf,28-02-2026,15:53:46,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,appcloud.guru,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2026-01-13T23:03:07.364Z,"GoDaddy.com, LLC",NA,NA,ns35.domaincontrol.com;ns36.domaincontrol.com,172.66.2.113,CLOUDFLARENET,NA,A:162.159.142.117;A:172.66.2.113;NS:ns36.domaincontrol.com.;NS:ns35.domaincontrol.com.,PS-02_ISS_NLP_Evidences\NIC_appcloud.guru_10.pdf,28-02-2026,15:53:46,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
