input_position,input_url,normalized_url,source_workbook,raw_url,hashed_at_utc,target_url_sha256,hash_mode,domain,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,score_margin,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,stage1_passthrough,domain_component,hash_component,hash_anchor,review_reason,screenshot_path,favicon_hash_raw,ssl_hash_raw,html_hash_raw,page_hash_raw,domain_hash_raw,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-merchants.club,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,,,0.875,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtel-merchants.club,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.5455,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
2,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtele.xyz,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Airtel,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,Airtel,airtel.in,0.0,,,0.9714,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtele.xyz,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.9231,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
3,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for paarivahan.com,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,parivahan sewa,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,parivahan sewa,parivahan.gov.in,0.0,,,0.9474,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,paarivahan.com,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.9474,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
4,airtell.ai,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx,https://airtell.ai,2026-04-10T16:30:25+00:00,3f369f17116fd0be14dcf3e991285c626e0ea4399bf912bc0f7b444b24d9ccd2,exact,airtell.ai,resolved,accepted,fetched,available,,,https://airtell.ai,,,,True,True,False,,weak_direct_evidence|network_corroboration,,,,True,Airtel,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,jw_primary|token_set_primary|skeleton_similarity|host_similarity|stage1_brand_seed,Airtel,airtel.in,52.0408,52.0408,Low,0.9714,True,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,airtell.ai,,114,False,stage1_low_suspicion,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9231,False,0,False,False,False,29.1429,0.0,False,,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtell.ai.png,,d1de915b74383a6ac9c3f7b54e965aa9de98184f3c98e999259d71be1cd61d1e,82d3edd2b884067e419a2caab78b38d42a8785821b77aa10064a0044d23d3f0a,,e1f9a12b4c8d16b5ab970a58de8d37b951fa4cc6b2e11ce7adeb9aea667ac202,False,False,False,False
5,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx,https://axisupi.com,2026-04-10T16:30:45+00:00,54a7492398ec6e757b4379f199b5168e01aa0730084492c31067ba3ce9d186d1,exact,axisupi.com,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""commit""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Axis Bank,False,True,False,False,,,fallback_top_k,Axis Bank,axismf.com,0.0,0.0,Low,0.8476,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6454,False,0,False,False,True,25.4286,0.0,False,,,,,,,,False,False,False,False
6,uidaiaadhardownload.com,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx,https://uidaiaadhardownload.com,2026-04-10T16:30:48+00:00,3d600c49338f974223f09d4033a746e0fcea68bc3b5a90df01fb31ddada2997d,exact,uidaiaadhardownload.com,resolved,accepted,fetched,available,,,https://uidaiaadhardownload.com/,,,,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,jw_primary,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,58.134,58.134,Low,0.8526,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.4167,False,1,False,False,False,25.5789,0.0,False,,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\uidaiaadhardownload.com.png,,2a18aaa7ef0ca4a0b7891d671a82cfbce0b2c8cda2c9893b722ca52a526e8e51,cc374ef8f4f7529e0894538f0a69d325a50d1dcd74256ce5266f489ad65eb7f2,,1fde7cd7960081349b8b25fb5cb15bcfa886e1d50b537acbb8eeb1af28f9489a,False,False,False,False
7,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbireward.com,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),sbicard.com,0.0,,,0.85,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbireward.com,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.78,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
8,airtel-zungusha.lol,https://airtel-zungusha.lol,AIGR-S66270_Ground_Truth.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-zungusha.lol,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,,,0.88,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtel-zungusha.lol,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.5714,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
9,airtelmetaverse.com,https://airtelmetaverse.com,AIGR-S66270_Ground_Truth.xlsx,https://airtelmetaverse.com,2026-04-10T16:30:49+00:00,802e9eb34fb0c1b589b2a3c4e2df1f1a2d61c299652c5a94b92901bcd145bfd8,exact,airtelmetaverse.com,resolved,accepted,fetched,available,,,https://airtelmetaverse.com,,,,True,True,False,,weak_direct_evidence|network_corroboration,,,,True,Airtel,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,jw_primary|stage1_brand_seed,Airtel,airtel.in,47.1429,47.1429,Low,0.88,True,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,airtelmetaverse.com,,114,False,stage1_low_suspicion,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,False,26.4,0.0,False,,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtelmetaverse.com.png,,6cb235b0f9a467bdfef274977fe6b2df1d5d352ab689b5ad155509ef9a0d8814,82d3edd2b884067e419a2caab78b38d42a8785821b77aa10064a0044d23d3f0a,,82f8cd9fcfd9693a33a7211c31526304ea41a16b28cc9cc7770815c1fdd9965a,False,False,False,False
10,incometaxgov.info,https://incometaxgov.info,AIGR-S66270_Ground_Truth.xlsx,https://incometaxgov.info,2026-04-10T16:30:52+00:00,4dc09b2ea68497f0a4b271845f5119e7e4f8135e0b9411696d37a0d374adfd87,exact,incometaxgov.info,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://incometaxgov.info/ | Call log: - navigating to ""https://incometaxgov.info/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,0.0,Low,0.8786,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.info,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6923,False,0,False,False,True,26.3571,0.0,False,,,,,,,,False,False,False,False
11,incometaxgov.org,https://incometaxgov.org,AIGR-S66270_Ground_Truth.xlsx,https://incometaxgov.org,2026-04-10T16:30:53+00:00,1ca454c8d6d7c0190880b52b214f6cc7c3842a62d0b478caae7f255095cc8bd4,exact,incometaxgov.org,resolved,accepted,fetched,available,,,https://incometaxgov.org/,,,,True,True,False,,weak_direct_evidence|network_corroboration,,,,True,Income Tax Department,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,jw_primary,Income Tax Department,incometaxindia.gov.in,47.0663,47.0663,Low,0.8786,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.org,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6923,False,0,False,False,False,26.3571,0.0,False,,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\incometaxgov.org.png,,fbcda8f10558dfcfda079ae9fb297b0a6a74039710e2544c7f307694dc539221,a7fe83ec64bb23eb28090598db3d166ed98e52e39d1afbbfd74c579553f93e4e,,c8fd76450ec1c94a404a39bf5b4d6f722115370eedbbe628279f957459ccdb28,False,False,False,False
