input_position,input_url,normalized_url,source_workbook,raw_url,hashed_at_utc,target_url_sha256,hash_mode,domain,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,score_margin,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,stage1_passthrough,domain_component,hash_component,hash_anchor,review_reason,screenshot_path,favicon_hash_raw,ssl_hash_raw,html_hash_raw,page_hash_raw,domain_hash_raw,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash
101,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi.com-kyc.net,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),sbi.bank.in,0.0,,,0.5263,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi.com-kyc.net,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.5263,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
102,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for onl1nesbi.sbi,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,State Bank of India (SBI),True,True,True,False,,,jw_primary|skeleton_similarity,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,,0.9481,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,onl1nesbi.sbi,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.9189,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
103,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for onlinesbi.sbi.update-rewards.xyz,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),onlinesbi.sbi.bank.in,0.0,,,0.6522,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,onlinesbi.sbi.update-rewards.xyz,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.6522,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
105,sbi-secure-login.com,https://sbi-secure-login.com,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi-secure-login.com,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),sbisecurities.in,0.0,,,0.8353,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi-secure-login.com,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.6207,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
108,sbi.co.in.login.banking-services.net/234/redirect,https://sbi.co.in.login.banking-services.net/234/redirect,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi.co.in.login.banking-services.net,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,False,,True,True,True,False,,,brand_token_match,State Bank of India (SBI),onlinesbi.sbi.bank.in,0.0,,,0.85,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi.co.in.login.banking-services.net,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.4,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
111,icicibank.net/login,https://icicibank.net/login,urls.xlsx,https://icicibank.net/login,2026-04-14T10:06:19+00:00,6560a833036f98c21ce237f1d2f041034e1f980961fa2ce71e409423ba6a6724,similarity,icicibank.net,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://icicibank.net/login"", waiting until ""commit""",about:blank,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,ICICI Bank,True,True,True,False,,,host_similarity,ICICI Bank,icici.bank.in,0.0,0.0,Low,0.9474,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,icicibank.net,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9474,False,0,False,False,True,28.4211,0.0,False,,,,,,,,False,False,False,False
115,icici-bank-support.in,https://icici-bank-support.in,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for icici-bank-support.in,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,ICICI Bank,True,True,False,False,,,brand_token_match,ICICI Bank,icicilombard.com,0.0,,,0.8222,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,icici-bank-support.in,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.5333,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
117,pnb-india.in,https://pnb-india.in,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnb-india.in,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,Punjab National Bank (PNB),pnbindia.in,0.0,,,0.9741,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnb-india.in,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.9712,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
118,pnblndia.in,https://pnblndia.in,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnblndia.in,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary|skeleton_similarity,Punjab National Bank (PNB),pnbindia.in,0.0,,,0.9083,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnblndia.in,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.905,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
119,pnbindia-kyd.com,https://pnbindia-kyd.com,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnbindia-kyd.com,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary,Punjab National Bank (PNB),pnbindia.in,0.0,,,0.9333,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnbindia-kyd.com,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.8,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
121,pnb-netbanking.net,https://pnb-netbanking.net,urls.xlsx,,,,,,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnb-netbanking.net,,,,,False,False,False,,dns_not_mapped_lexical_passthrough,,stage1_http,dns_not_mapped_lexical_hit,False,,True,True,False,False,,,brand_token_match,Punjab National Bank (PNB),pnbindia.in,0.0,,,0.6706,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnb-netbanking.net,,0,False,dns_not_mapped_lexical_hit,,,,,,,,,0.4545,False,0,False,False,True,0.0,0.0,,,,,,,,,,,,
