Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Airtel,airtel.in,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,69.3878,Medium,69.3878,weak_evidence,0.9714,0.9714,0.9231,0.9231,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity|stage1_brand_seed,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://airtell.ai,,,,69.3878,29.1429,0.0,True,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,airtell.ai,,114,False,stage1_low_suspicion,0.9231,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtell.ai.png,403 forbidden,403 forbidden 403 forbidden
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,85.2632,High,27.1292,weak_evidence,0.8526,0.8526,0.4167,0.4167,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://uidaiaadhardownload.com/,,,,85.2632,25.5789,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.4167,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\uidaiaadhardownload.com.png,home - uidai aadhaar download,"home - uidai aadhaar download 
            download your aadhaar cardin just 5 minutes
         
            complete step-by-step guide to downloading your e-aadhaar online via uidai portal,
            digilocker, or maadhaar app — completely free, no paperwork needed.
         
            choose how to download aadhar card
         
            uidai provides three official ways to download your aadhaar. pick the one that's easiest for you.
         uidai website download directly from myaad"
Airtel,airtel.in,https://airtelmetaverse.com,AIGR-S66270_Ground_Truth.xlsx,62.8571,Low,62.8571,weak_evidence,0.88,0.88,0.5714,0.5714,True,False,jw_primary|stage1_brand_seed,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://airtelmetaverse.com,,,,62.8571,26.4,0.0,True,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,airtelmetaverse.com,,114,False,stage1_low_suspicion,0.5714,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtelmetaverse.com.png,403 forbidden,403 forbidden 403 forbidden
Income Tax Department,incometaxindia.gov.in,https://incometaxgov.org,AIGR-S66270_Ground_Truth.xlsx,62.7551,Low,19.898,weak_evidence,0.8786,0.8786,0.6923,0.6923,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Income Tax Department,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://incometaxgov.org/,,,,62.7551,26.3571,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.org,,0,True,lexical_hit,0.6923,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\incometaxgov.org.png,,
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,https://crsor.info,AIGR-S66270_Ground_Truth.xlsx,94.2857,High,30.0,weak_evidence,0.9429,0.9429,0.8333,0.8333,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Civil Registration System, MHA (RGCCI)",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://crsor.info/,,,,94.2857,28.2857,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,crsor.info,,0,True,lexical_hit,0.8333,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\crsor.info.png,,
Air India,airindiaexpress.com,https://airindiaair.com,urls.xlsx,47.3377,Low,47.3377,weak_evidence,0.8836,0.8836,0.6923,0.7223,True,False,jw_primary,lexical,False,weak_direct_evidence|network_corroboration,,True,Air India,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://airindiaair.com/,,,,47.3377,26.5091,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airindiaair.com,,0,True,lexical_hit,0.7223,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airindiaair.com.png,air india - официальный сайт,"air india - официальный сайт 
air india
  air india — это национальная авиакомпания индии, одна из самых старых и опытных в азии. она начала свою работу еще в 1932 году и сегодня входит в крупный глобальный альянс star alliance. авиакомпания летает по внутренним и международным направлениям на пяти континентах. в сентябре 2025 года air india и air astana заключили код-шеринговое партнерство для расширения возможностей путешествий. для путешественников из казахстана доступны удобные маршруты для "
Axis Bank,axismf.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,0.0,Low,0.0,weak_evidence,0.8476,0.0,0.0,0.6454,True,False,fallback_top_k,stage1_passthrough,True,failed_fetch_strict_lexical_suspected,,True,Axis Bank,False,True,False,False,failed_fetch_strict_lexical_suspected,failed_fetch_strict_lexical_suspected,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""commit""",about:blank,,,,0.0,25.4286,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,0.6454,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
Income Tax Department,incometaxindia.gov.in,https://incometaxgov.info,AIGR-S66270_Ground_Truth.xlsx,0.0,Low,0.0,weak_evidence,0.8786,0.0,0.0,0.6923,True,True,jw_primary,stage1_passthrough,True,failed_fetch_strict_lexical_suspected,,True,Income Tax Department,True,True,True,False,failed_fetch_strict_lexical_suspected,failed_fetch_strict_lexical_suspected,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://incometaxgov.info/ | Call log: - navigating to ""https://incometaxgov.info/"", waiting until ""domcontentloaded""",about:blank,,,,0.0,26.3571,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.info,,0,True,lexical_hit,0.6923,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
ICICI Bank,icici.bank.in,https://icicibank.net/login,urls.xlsx,0.0,Low,0.0,weak_evidence,0.9474,0.0,0.0,0.9474,True,True,host_similarity,stage1_passthrough,True,failed_fetch_strict_lexical_suspected,,True,ICICI Bank,True,True,True,False,failed_fetch_strict_lexical_suspected,failed_fetch_strict_lexical_suspected,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://icicibank.net/login | Call log: - navigating to ""https://icicibank.net/login"", waiting until ""commit""",about:blank,,,,0.0,28.4211,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,icicibank.net,,0,True,lexical_hit,0.9474,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
Airtel,airtel.in,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,0.0,Low,0.0,weak_evidence,0.875,0.0,0.0,0.5455,True,True,brand_token_match|jw_primary,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Airtel,True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-merchants.club,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtel-merchants.club,,0,False,dns_not_mapped_lexical_hit,0.5455,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
