input_position,input_url,normalized_url,source_workbook,raw_url,hashed_at_utc,target_url_sha256,hash_mode,domain,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,score_margin,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,stage1_passthrough,domain_component,hash_component,hash_anchor,review_reason,screenshot_path,favicon_hash_raw,ssl_hash_raw,html_hash_raw,page_hash_raw,domain_hash_raw,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://airtel-merchants.club,2026-04-10T14:35:20+00:00,024bce4539d644727d55eb7ba57e33711e7613a88120094d62b280b5be71af14,exact,airtel-merchants.club,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtel-merchants.club/ | Call log: - navigating to ""https://airtel-merchants.club/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,0.0,Low,0.875,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-merchants.club,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5455,False,0,False,False,True,26.25,0.0,False,,,,,,,,False,False,False,False
2,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://airtele.xyz,2026-04-10T14:35:21+00:00,91ae79b2324d64ef201f6c15923fefc9fbb914afeee2b6e1c771776d40484eca,exact,airtele.xyz,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtele.xyz/ | Call log: - navigating to ""https://airtele.xyz/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,Airtel,airtel.in,0.0,0.0,Low,0.9714,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtele.xyz,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9231,False,0,False,False,True,29.1429,0.0,False,,,,,,,,False,False,False,False
3,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://paarivahan.com,2026-04-10T14:35:22+00:00,25e91e15ed103ba26dd2995e7b8f910d1f44653fd5578813e181bd5c49958832,exact,paarivahan.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://paarivahan.com/ | Call log: - navigating to ""https://paarivahan.com/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,parivahan sewa,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,parivahan sewa,parivahan.gov.in,0.0,0.0,Low,0.9474,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,paarivahan.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9474,False,0,False,False,True,28.4211,0.0,False,,,,,,,,False,False,False,False
5,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://axisupi.com,2026-04-10T14:35:50+00:00,54a7492398ec6e757b4379f199b5168e01aa0730084492c31067ba3ce9d186d1,exact,axisupi.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""commit""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Axis Bank,False,True,False,False,,,fallback_top_k,Axis Bank,axismf.com,0.0,0.0,Low,0.8476,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6454,False,0,False,False,True,25.4286,0.0,False,,,,,,,,False,False,False,False
7,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://sbireward.com,2026-04-10T14:35:55+00:00,551ce8debfba01c35dac092da94e39934aeee3a84573b376d3353a4a4b98d07c,exact,sbireward.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://sbireward.com/ | Call log: - navigating to ""https://sbireward.com/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),sbicard.com,0.0,0.0,Low,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbireward.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.78,False,0,False,False,True,25.5,0.0,False,,,,,,,,False,False,False,False
8,airtel-zungusha.lol,https://airtel-zungusha.lol,AIGR-S66270_Ground_Truth.xlsx,https://airtel-zungusha.lol,2026-04-10T14:35:55+00:00,1a3b355fe4d6855ca0d571dc7b4f26d5cfa0f0a2f83753af927a405ede5021a3,exact,airtel-zungusha.lol,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtel-zungusha.lol/ | Call log: - navigating to ""https://airtel-zungusha.lol/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,0.0,Low,0.88,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-zungusha.lol,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,True,26.4,0.0,False,,,,,,,,False,False,False,False
10,incometaxgov.info,https://incometaxgov.info,AIGR-S66270_Ground_Truth.xlsx,https://incometaxgov.info,2026-04-10T14:36:12+00:00,4dc09b2ea68497f0a4b271845f5119e7e4f8135e0b9411696d37a0d374adfd87,exact,incometaxgov.info,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://incometaxgov.info/ | Call log: - navigating to ""https://incometaxgov.info/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,0.0,Low,0.8786,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.info,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6923,False,0,False,False,True,26.3571,0.0,False,,,,,,,,False,False,False,False
113,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,urls.xlsx,https://sbi.com-kyc.net/login,2026-04-10T14:37:59+00:00,a709d69c6817702cce6dbe719ed54b936752d25ae0441d8041deb68385f0f5e0,exact,sbi.com-kyc.net,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://sbi.com-kyc.net/login | Call log: - navigating to ""https://sbi.com-kyc.net/login"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),sbi.bank.in,0.0,0.0,Low,0.5263,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbi.com-kyc.net,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5263,False,0,False,False,True,15.7895,0.0,False,,,,,,,,False,False,False,False
114,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,urls.xlsx,https://onl1nesbi.sbi/login,2026-04-10T14:38:00+00:00,f85fbad873f11f5a5e4424eddf5443565ee07f80b3bfcd61db78eb1453b56c7c,exact,onl1nesbi.sbi,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://onl1nesbi.sbi/login | Call log: - navigating to ""https://onl1nesbi.sbi/login"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,State Bank of India (SBI),True,True,True,False,,,jw_primary|skeleton_similarity,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,0.0,Low,0.9481,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onl1nesbi.sbi,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9189,False,0,False,False,True,28.4444,0.0,False,,,,,,,,False,False,False,False
115,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,urls.xlsx,https://onlinesbi.sbi.update-rewards.xyz,2026-04-10T14:38:01+00:00,7b2fe6a3fbd1ca6c1c88cba50afd8f03e03990b4bf400b2f6b68808bc1bcaa7b,exact,onlinesbi.sbi.update-rewards.xyz,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://onlinesbi.sbi.update-rewards.xyz/ | Call log: - navigating to ""https://onlinesbi.sbi.update-rewards.xyz/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),onlinesbi.sbi.bank.in,0.0,0.0,Low,0.6522,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinesbi.sbi.update-rewards.xyz,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6522,False,0,False,False,True,19.5652,0.0,False,,,,,,,,False,False,False,False
