Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,onlineshop.name
Airtel,airtel.in,airtox.online
Bank of Baroda (BoB),bobibanking.com,bobbrink.com
State Bank of India (SBI),onlinesbi.sbi,onlinezaimi.ru
State Bank of India (SBI),sbi.co.in,sbigrz.com
State Bank of India (SBI),onlinesbi.sbi,onlineglass.shop
Airtel,airtel.in,airwheel.vn
State Bank of India (SBI),onlinesbi.sbi,online-poker-sites.com
State Bank of India (SBI),onlinesbi.sbi,onlinewithadri.com
State Bank of India (SBI),sbiepay.sbi,sbianpees.online
State Bank of India (SBI),sbi.co.in,sbptiu.info
Airtel,airtel.in,aireflip.com
Airtel,airtel.in,airtone.pro
Airtel,airtel.in,airedge1.com
HDFC Bank,hdfc.com,hdfcloanservies.in
Airtel,airtel.in,art.codes
State Bank of India (SBI),sbi.co.in,sorbin.pl
Airtel,airtel.in,airtridee.com
Bank of Baroda (BoB),bankofbaroda.in,bankofamericu.com
State Bank of India (SBI),onlinesbi.sbi,onlinesteroidsuk.org
State Bank of India (SBI),onlinesbi.sbi,online-hk.xyz
HDFC Bank,hdfcergo.com,hfdego.com
State Bank of India (SBI),onlinesbi.sbi,onlineblogit.com
Indian Oil Corporation Limited (IOCL),iocl.com,idoc.com.my
Airtel,airtel.in,arkatel.net
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,creogrid.click
State Bank of India (SBI),onlinesbi.sbi,onlinestore.cruises
State Bank of India (SBI),onlinesbi.sbi,onlinetires.uk
State Bank of India (SBI),sbi.co.in,sbi-lab.info
State Bank of India (SBI),onlinesbi.sbi,onlinegiftshub.com
State Bank of India (SBI),onlinesbi.sbi,onlineslotmm.com
State Bank of India (SBI),onlinesbi.sbi,onlineservico.com
State Bank of India (SBI),onlinesbi.sbi,onlineconsulta.org
State Bank of India (SBI),onlinesbi.sbi,onlineads.site
State Bank of India (SBI),yonobusiness.sbi,zynbusiness.com
Punjab National Bank (PNB),netpnb.com,netbetpn.net
State Bank of India (SBI),sbicard.com,scards.fun
State Bank of India (SBI),onlinesbi.sbi,online-cn.net
State Bank of India (SBI),onlinesbi.sbi,onlineskilllab.com
State Bank of India (SBI),onlinesbi.sbi,online-ekspertiz.com
State Bank of India (SBI),onlinesbi.sbi,onlinebuildersolution.com
Bank of Baroda (BoB),bankofbaroda.in,bankno.beer
State Bank of India (SBI),onlinesbi.sbi,onlinernews.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinesscreation.com
State Bank of India (SBI),sbi.co.in,5kbij.top
Indian Oil Corporation Limited (IOCL),iocl.com,ionicle.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinenews7.com
Bank of Baroda (BoB),bankofbaroda.in,bankofgeorgia.online
Punjab National Bank (PNB),pnbindia.in,bnbindia.org
Bank of Baroda (BoB),bankofbaroda.in,bankonbetcasino-de.com
Airtel,airtel.in,airtechnology.ly
State Bank of India (SBI),onlinesbi.sbi,online-info.net
Airtel,airtel.in,airobot1.com
State Bank of India (SBI),onlinesbi.sbi,onlinewebsitetool.com
HDFC Bank,hdfc.com,hvdc.tech
State Bank of India (SBI),onlinesbi.sbi,onlinefcu.com
Punjab National Bank (PNB),netpnb.com,netep.ng
Indian Oil Corporation Limited (IOCL),iocl.com,icpl.net.pk
Airtel,airtel.in,aireslius.biz
State Bank of India (SBI),onlinesbi.sbi,online-trading.website
Indian Oil Corporation Limited (IOCL),iocl.com,iocfqlj.bond
State Bank of India (SBI),sbi.co.in,sbi-tz.com
State Bank of India (SBI),sbi.co.in,sbisec.org
State Bank of India (SBI),onlinesbi.sbi,onlinetvservice247.site
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crestoria.in
State Bank of India (SBI),sbi.co.in,smb9im.sbs
State Bank of India (SBI),yonobusiness.sbi,yosboss.com
HDFC Bank,hdfclife.com,hdwlife.com
Punjab National Bank (PNB),netpnb.com,netpxnz.top
HDFC Bank,hdfc.com,hd-f.com
State Bank of India (SBI),yonobusiness.sbi,oceanbusiness.xyz
ICICI Bank,icicilombard.com,iombard.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinesjobs.com
State Bank of India (SBI),onlinesbi.sbi,onlinedatingxx.com
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,irctclogin.co.in
State Bank of India (SBI),sbiepay.sbi,silentpay.cash
Bank of Baroda (BoB),bankofbaroda.in,bankya.tech
State Bank of India (SBI),onlinesbi.sbi,onlinesabong5.com
Airtel,airtel.in,airatelier.shop
State Bank of India (SBI),sbiepay.sbi,sbobetplay.org
State Bank of India (SBI),onlinesbi.sbi,onlinesnapclaim.com
Airtel,airtel.in,airtokenblockchain.com
State Bank of India (SBI),onlinesbi.sbi,onlinejobs.lat
State Bank of India (SBI),sbi.co.in,sbivr.com
State Bank of India (SBI),onlinesbi.sbi,0nesnb.info
State Bank of India (SBI),onlinesbi.sbi,onlinepsikolog.site
State Bank of India (SBI),onlinesbi.sbi,onlinecaptain.cloud
Punjab National Bank (PNB),netpnb.com,sustats.net.ru
State Bank of India (SBI),sbi.co.in,shobia.shop
State Bank of India (SBI),sbilife.co.in,suciolife.com
Bank of Baroda (BoB),bankofbaroda.in,banknotary.com
Airtel,airtel.in,airmate.online
State Bank of India (SBI),onlinesbi.sbi,onlineautomatenspiele.net
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,irchet.ru
State Bank of India (SBI),sbi.co.in,5bli0p.xyz
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,ict.edu.kg
State Bank of India (SBI),onlinesbi.sbi,onlineradiobox.pl
State Bank of India (SBI),onlinesbi.sbi,onlineappsandservices.online
State Bank of India (SBI),onlinesbi.sbi,onlinejob24.ru
State Bank of India (SBI),sbi.co.in,zsbi.top
State Bank of India (SBI),onlinesbi.sbi,online-cic-ch.com
Airtel,airtel.in,airteknik.com
State Bank of India (SBI),onlinesbi.sbi,onlinegold.info
State Bank of India (SBI),onlinesbi.sbi,onlinedoorhub.com
Airtel,airtel.in,airliestyle.com
State Bank of India (SBI),onlinesbi.sbi,onlinedkb.com
Punjab National Bank (PNB),netpnb.com,antri.net.ru
Airtel,airtel.in,airtap.ru
State Bank of India (SBI),onlinesbi.sbi,online-spin.xyz
State Bank of India (SBI),onlinesbi.sbi,online-app.digital
State Bank of India (SBI),onlinesbi.sbi,online88e.com
State Bank of India (SBI),sbicard.com,smbcards.app
State Bank of India (SBI),sbi.co.in,ssabic.com
State Bank of India (SBI),onlinesbi.sbi,onlinedesignmba.org
State Bank of India (SBI),onlinesbi.sbi,online-allin.com
State Bank of India (SBI),onlinesbi.sbi,onlineghafase.com
Punjab National Bank (PNB),netpnb.com,nextspin.click
Airtel,airtel.in,airtrend.co
State Bank of India (SBI),sbi.co.in,sbio.net
Indian Oil Corporation Limited (IOCL),iocl.com,isocel.com
State Bank of India (SBI),onlinesbi.sbi,onlinebonusukcasinos.co.uk
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crysetoria.com
State Bank of India (SBI),onlinesbi.sbi,online.gripe
State Bank of India (SBI),onlinesbi.sbi,onlinesalesbulletin.com
Bank of Baroda (BoB),bobibanking.com,bobobian.com
Airtel,airtel.in,aiintel.tech
State Bank of India (SBI),onlinesbi.sbi,onlinehustle.site
State Bank of India (SBI),onlinesbi.sbi,onlinemeinelba.com
Bank of Baroda (BoB),bankofbaroda.in,bankcoai.com
State Bank of India (SBI),onlinesbi.sbi,onlinesabong6.com
Bank of Baroda (BoB),bankofbaroda.in,bankofanimals.org
Indian Oil Corporation Limited (IOCL),iocl.com,ipopcult.com
State Bank of India (SBI),sbicard.com,bitcard.support
State Bank of India (SBI),sbi.co.in,stabiu.ch
State Bank of India (SBI),sbi.co.in,subrit.info
Punjab National Bank (PNB),netpnb.com,netvpn.xyz
