target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
sbi.com-kyc.net/login,urls.xlsx|123456.xlsx,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
onl1nesbi.sbi/login,urls.xlsx|123456.xlsx,onl1nesbi.sbi,,dns_error,rejected,1,0,False,default
onlinesbi.sbi.update-rewards.xyz,urls.xlsx|123456.xlsx,onlinesbi.sbi.update-rewards.xyz,,dns_error,rejected,1,0,False,default
sbi-secure-login.com,urls.xlsx|123456.xlsx,sbi-secure-login.com,,dns_error,rejected,1,0,False,default
sbi.co.in.login.banking-services.net/234/redirect,urls.xlsx|123456.xlsx,sbi.co.in.login.banking-services.net,,dns_error,rejected,1,0,False,default
icicibank.net/login,urls.xlsx|123456.xlsx,icicibank.net,13.127.144.160,resolved,accepted,1,0,False,default
icici-bank-support.in,urls.xlsx|123456.xlsx,icici-bank-support.in,,dns_error,rejected,1,0,False,default
pnb-india.in,urls.xlsx|123456.xlsx,pnb-india.in,,resolver_error,rejected,3,2,False,fallback
pnblndia.in,urls.xlsx|123456.xlsx,pnblndia.in,,dns_error,rejected,1,0,False,default
pnbindia-kyd.com,urls.xlsx|123456.xlsx,pnbindia-kyd.com,,dns_error,rejected,1,0,False,default
pnb-netbanking.net,urls.xlsx|123456.xlsx,pnb-netbanking.net,,dns_error,rejected,1,0,False,default
pnblndia.bank.in,urls.xlsx|123456.xlsx,pnblndia.bank.in,,dns_error,rejected,1,0,False,default
pnbindia-services.com,urls.xlsx|123456.xlsx,pnbindia-services.com,,dns_error,rejected,1,0,False,default
airtel-merchants.club,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,airtel-merchants.club,,no_records,rejected,1,0,False,default
airtele.xyz,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,airtele.xyz,,dns_error,rejected,1,0,False,default
paarivahan.com,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,paarivahan.com,,dns_error,rejected,1,0,False,default
airtell.ai,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,airtell.ai,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
axisupi.com,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,axisupi.com,162.255.119.13,resolved,accepted,1,0,False,default
uidaiaadhardownload.com,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,uidaiaadhardownload.com,2a02:4780:3c:af8b:27b5:e520:d6b3:4852;2a02:4780:3d:436c:2898:4ce2:c9bc:83b;91.108.106.146;93.127.173.120,resolved,accepted,1,0,False,default
sbireward.com,urls.xlsx|AIGR-S66270_Ground_Truth.xlsx|123456.xlsx,sbireward.com,,dns_error,rejected,1,0,False,default
sdindia.com,123456.xlsx,sdindia.com,162.241.123.34,resolved,accepted,1,0,False,default
vrbit.org,123456.xlsx,vrbit.org,103.224.212.147,resolved,accepted,1,0,False,default
onlinedentist24.com,123456.xlsx,onlinedentist24.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
kint.eus,123456.xlsx,kint.eus,75.102.57.42,resolved,accepted,1,0,False,default
sbibi.net,123456.xlsx,sbibi.net,143.92.53.221,resolved,accepted,1,0,False,default
onlinehafizlik.com,123456.xlsx,onlinehafizlik.com,,no_records,rejected,1,0,False,default
paraka.com,123456.xlsx,paraka.com,,resolver_error,rejected,3,2,False,fallback
industrialdesignasia.com,123456.xlsx,industrialdesignasia.com,,dns_error,rejected,1,0,False,default
kfinsaat.com.tr,123456.xlsx,kfinsaat.com.tr,185.194.30.142,resolved,accepted,1,0,False,default
5500betsk.com,urls.xlsx|123456.xlsx,5500betsk.com,104.21.39.157;172.67.146.184;2606:4700:3030::6815:279d;2606:4700:3037::ac43:92b8,resolved,accepted,1,0,False,default
elegalopinion.com,123456.xlsx,elegalopinion.com,2a02:4780:11:1595:0:2d6d:8871:2;93.127.208.147,resolved,accepted,1,0,False,default
vellfirealphardspecialist.com,123456.xlsx,vellfirealphardspecialist.com,101.99.70.216,resolved,accepted,1,0,False,default
sluttylust.com,123456.xlsx,sluttylust.com,188.138.29.21,resolved,accepted,1,0,False,default
locksmithsstockton.com,123456.xlsx,locksmithsstockton.com,15.204.1.118,resolved,accepted,1,0,False,default
tixcasa.com,123456.xlsx,tixcasa.com,216.198.79.1,resolved,accepted,1,0,False,default
locksmithranchomurieta.com,123456.xlsx,locksmithranchomurieta.com,15.204.1.121,resolved,accepted,1,0,False,default
ngmi.co.uk,123456.xlsx,ngmi.co.uk,64.176.195.8,resolved,accepted,1,0,False,default
locksmitheastfoothills.com,123456.xlsx,locksmitheastfoothills.com,15.204.1.119,resolved,accepted,1,0,False,default
bunnyegg.shop,123456.xlsx,bunnyegg.shop,23.82.11.73,resolved,accepted,1,0,False,default
trendmine.com,123456.xlsx,trendmine.com,13.223.25.84;2600:1f18:4ae:c605:dd5d:b838:5816:d7fb;2600:1f18:4ae:c606:78d4:4260:db4e:aeee;54.243.117.197,resolved,accepted,1,0,False,default
namelikho.com,123456.xlsx,namelikho.com,103.86.177.4,resolved,accepted,1,0,False,default
exoskeletals.com,123456.xlsx,exoskeletals.com,209.182.199.238,resolved,accepted,1,0,False,default
locksmithlapresa.com,123456.xlsx,locksmithlapresa.com,15.204.1.131,resolved,accepted,1,0,False,default
