input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason
1,borjabad.com,https://borjabad.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
2,angesstore.online,https://angesstore.online,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
3,happiestnestmcs.com,https://happiestnestmcs.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
4,betterthanpubmed.com,https://betterthanpubmed.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
5,wisepathfinancial.com,https://wisepathfinancial.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
6,immanuelpentecostalhouseofworship.com,https://immanuelpentecostalhouseofworship.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
7,seoindiaservice.com,https://seoindiaservice.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
8,eyedea.dev,https://eyedea.dev,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
9,thinkcloudai.online,https://thinkcloudai.online,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
10,kittyin.com,https://kittyin.com,dns_gate,dns_rejected,no_records,rejected,False,False,True,fallback_top_k
11,otentosama.art,https://otentosama.art,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
12,godsworldmylens.com,https://godsworldmylens.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
13,doctoracarmenvelasco.com,https://doctoracarmenvelasco.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
14,datixiaozuo.com,https://datixiaozuo.com,dns_gate,dns_rejected,timeout,rejected,False,False,True,fallback_top_k
15,coursedoer.com,https://coursedoer.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
16,ntoffices.com,https://ntoffices.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
17,synergyxi.com,https://synergyxi.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
18,dowine.bar,https://dowine.bar,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
19,32140.cfd,https://32140.cfd,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
20,dardiafa.com,https://dardiafa.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
21,mulheresconfeiteiras.com,https://mulheresconfeiteiras.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
22,hostingcare.pro,https://hostingcare.pro,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
23,fastsusu.com,https://fastsusu.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
24,australiapublicrecord.com,https://australiapublicrecord.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
25,cockfuel.com,https://cockfuel.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
26,basherai.com,https://basherai.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
27,pornvideogay.top,https://pornvideogay.top,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
28,yoti.com,https://yoti.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
29,kythera.site,https://kythera.site,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
30,fafa666.lol,https://fafa666.lol,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
31,harpendenhomesolutions.com,https://harpendenhomesolutions.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
32,ycaujt.com,https://ycaujt.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
33,fourseasonsreindeer.com,https://fourseasonsreindeer.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
34,gestiopolis1.com,https://gestiopolis1.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
35,locksmithinterlaken.com,https://locksmithinterlaken.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
36,xn--baosportatilesdecolombia-1kc.com,https://xn--baosportatilesdecolombia-1kc.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
37,wmoversea.com,https://wmoversea.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
38,nassauadvisorcorp.info,https://nassauadvisorcorp.info,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,False,False,True,fallback_top_k
