Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Telecom,airtm.cheap,airtel.in,Airtel,Suspected,2026-01-13T17:21:14.948Z,Dynadot Inc,,,,,,,,PS-02_ISS_NLP_Evidences\Airtel_airtm.cheap_1.pdf,26-02-2026,16:59:16,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,onlinewebservice.ru,onlinesbi.sbi,State Bank of India (SBI),Suspected,,,,,,,,,,PS-02_ISS_NLP_Evidences\SBI_onlinewebservice.ru_2.pdf,26-02-2026,16:59:21,,NA values are due to privacy issues.
ISS_NLP,Telecom,agitravel.sk,airtel.in,Airtel,Suspected,,,,,,,,,,PS-02_ISS_NLP_Evidences\Airtel_agitravel.sk_3.pdf,26-02-2026,16:59:21,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,onlinegyno.app,onlinesbi.sbi,State Bank of India (SBI),Suspected,,,,,,,,,,PS-02_ISS_NLP_Evidences\SBI_onlinegyno.app_4.pdf,26-02-2026,16:59:22,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,biep.fr,sbiepay.sbi,State Bank of India (SBI),Legitimate,2026-01-14T18:31:29.322995Z,KEY-SYSTEMS GmbH,Ano Nymous,,ns81.domaincontrol.com;ns82.domaincontrol.com,,,,,PS-02_ISS_NLP_Evidences\SBI_biep.fr_5.pdf,26-02-2026,16:59:22,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,ponlinesitet.shop,onlinesbi.sbi,State Bank of India (SBI),Suspected,,,,,,,,,,PS-02_ISS_NLP_Evidences\SBI_ponlinesitet.shop_6.pdf,26-02-2026,16:59:23,,NA values are due to privacy issues.
ISS_NLP,Government,csrorgi.online,dc.crsorgi.gov.in,"Civil Registration System (CRS), MHA",Suspected,2026-01-13T08:25:52.0Z,Namecheap,,,ns21.ssdhostingserver.com;ns22.ssdhostingserver.com,103.49.70.73,Scalewithus India,IN,A:103.49.70.73;NS:ns2.cprapid.com.;NS:ns1.cprapid.com.;MX:0 csrorgi.online.,PS-02_ISS_NLP_Evidences\CRS_csrorgi.online_7.pdf,26-02-2026,16:59:24,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,ownline.info,onlinesbi.sbi,State Bank of India (SBI),Legitimate,2026-01-13T14:14:08.247Z,IONOS SE,,,ns1067.ui-dns.org;ns1093.ui-dns.de;ns1050.ui-dns.com;ns1065.ui-dns.biz,217.160.0.190,IONOS SE,DE,A:217.160.0.190;NS:ns1065.ui-dns.biz.;NS:ns1093.ui-dns.de.;NS:ns1067.ui-dns.org.;NS:ns1050.ui-dns.com.;MX:10 mx00.ionos.co.uk.;MX:10 mx01.ionos.co.uk.,PS-02_ISS_NLP_Evidences\SBI_ownline.info_8.pdf,26-02-2026,16:59:24,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,onlinebistraining.com,onlinesbi.sbi,State Bank of India (SBI),Legitimate,2026-01-13T11:21:28Z,Realtime Register B.V.,,,HOUSTON.NS.CLOUDFLARE.COM;LINDA.NS.CLOUDFLARE.COM,172.67.171.105,CLOUDFLARENET,,A:172.67.171.105;A:104.21.29.59;NS:linda.ns.cloudflare.com.;NS:houston.ns.cloudflare.com.;MX:10 alt4.aspmx.l.google.com.;MX:5 alt2.aspmx.l.google.com.;MX:5 alt1.aspmx.l.google.com.;MX:1 aspmx.l.google.com.;MX:10 alt3.aspmx.l.google.com.,PS-02_ISS_NLP_Evidences\SBI_onlinebistraining.com_9.pdf,26-02-2026,16:59:25,,NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://onlinetraffic.my,onlinesbi.sbi,State Bank of India (SBI),Suspected,2025-12-26 09:53:41.445000+00:00,Shinjiru Technology Sdn Bhd,REDACTED FOR PRIVACY,MY,ns01.cashparking.com;ns02.cashparking.com,3.33.243.145,AMAZON-02,US,A:15.197.204.56;A:3.33.243.145;NS:ns02.cashparking.com.;NS:ns01.cashparking.com.;MX:0 .,PS-02_ISS_NLP_Evidences\SBI_onlinetraffic.my_10.pdf,26-02-2026,16:59:28,,NA values are due to privacy issues.
