Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors
State Bank of India (SBI),onlinesbi.sbi,3.33.243.145,24,1,False,4,0,2,0,0,0,0,0,0,0,16,0,False,0,0,0.0,0,False,False,0,False,False,False,3.625,3.625,1,1,158,"GoDaddy.com, Inc.",https://onlinetraffic.my,,0.0,"[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,False,,-1,,[]
State Bank of India (SBI),sbilife.co.in,43.133.77.136,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,2.9219280948873623,2.9219280948873623,0,0,-1,,http://silime.net,"sophOs Website not available The websile you requested cannot accessed, It may work i You try aqain later Rehn Io Rcuink nagn Penee Ini > Inee*Jul Aboul Uits Icuuts[ Proleclod D SophoS",294.6829357638889,"[[237, 229, 184], [7, 125, 198], [249, 249, 249]]",-1.0,b3b748cc09b333cc,-1,True,http://silime.net/favicon.ico,-1,,[]
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,103.49.70.73,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.2359263506290334,3.2359263506290334,1,1,68,Let's Encrypt,https://csrorgi.online,Sign SnVour Erria lphone UamamIL_ Passwora Remember Me Sign In |fergot 'password Register & new membership Futal,190.0118263888889,"[[232, 235, 238], [42, 133, 228], [254, 254, 254]]",-1.0,cc8b3364cc9b9b64,-1,True,http://sonupan.xyz/uploads/all/vjBJlxtgTC4j8umEGN5MRd6lUuPO8Swjxrysl4uM.gif,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,76.223.54.146,27,1,False,4,0,2,0,0,0,0,0,0,0,19,0,False,0,0,0.0,0,False,False,0,False,False,False,3.787143960698138,3.787143960698138,1,1,155,"GoDaddy.com, Inc.",https://onlinebestgames.xyz,GoDaddy Excellent 4.6 cutof 5 K Trustpilot The domain name aetelann 3 3e onlinebestgames xyz is for salel 3 ~.(nss Safe secure fransactcns ea54 transtets Hassle free payments GoDaddy Copiaht J0jo Goleci CacalnC Ccmpjn= LLC Rnt: Retnro @onatanaie 38ntoulitmal Deeetede 3,13237.866559846903,"[[254, 254, 254], [3, 20, 46], [135, 144, 149]]",-1.0,d2109da3e6afa592,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,76.223.54.146,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.09306920777189,3.09306920777189,1,1,155,"GoDaddy.com, Inc.",https://onlineless.com,"GoDaddy Excellent 4.6 cutof 5 K Trustpilot The domain name Ger this domeiin onlineless.com ' ' . ' . ' 1 :.d` ' | "" is for salel Ruy now HEmtealaro4orno Leae 1 UCZ[ '2e . : . secure fransacticns Fast 2a54 transiems Hassle free payments 4 .. .|. (. [ .. ' |;; . ; .' Thc simplc_ and safc way domain namc No matier what kind domain Vouwvant buy = Mae make the transfer simple Need help? Give US Jcall 483 051 ' 41 und *tc Here"" how Motks GoDaddy coprlaht 2020 GoDacJy Cperat ng Company LLC Riints Resenco Co nolsha pettonacomalor RicteSAlE4o; buY",10350.5949772316,"[[253, 253, 253], [7, 23, 49], [88, 136, 139]]",-1.0,9570208acfcf9eaa,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,31.57.219.154,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.6143694458867563,3.6143694458867563,0,0,-1,,http://online-picture.com,"sophOs Website not available The websile you requested cannot accessed, It may work i You try aqain later Rehn Io Rcuink nagn Penee Ini > Inee*Jul Aboul Uits Icuuts[ Proleclod D SophoS",294.5651614583333,"[[237, 229, 184], [7, 125, 198], [249, 249, 249]]",-1.0,b3b748cc09b333cc,-1,False,,-1,,[]
Airtel,airtel.in,76.223.54.146,23,1,False,5,1,2,0,0,0,0,0,0,0,15,1,False,0,0,0.0,0,False,False,0,False,False,False,3.7735572622751845,3.7735572622751845,1,1,230,"GoDaddy.com, Inc.",https://airslate-hf.xyz,GoDaddy Excellent 4.6 cutof 5 K Trustpilot The domain name Get this domain Ow [ today for 5499 and make ityours airslate-hf: XyZ is for salel airslatechfxx 349? Need he p? Give us call. 480-651-9741 Safe secure fransactcns ea54 transtets Hassle free payments GoDaddy Copiaht J0jo Goleci CacalnC Ccmpjn= LLC Rnt: Retnro @onatanaie 38ntoulitmal Deeetede,13203.538541330918,"[[78, 88, 106], [253, 253, 253], [0, 17, 43]]",-1.0,c24099bfbe9de0c2,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,13.248.169.48,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.2776134368191165,3.2776134368191165,1,1,154,"GoDaddy.com, Inc.",https://onlime.shop,"GoDaddy Excellent 4.6 cutof 5 K Trustpilot The domain name Get this domain Onlime.shop Premivu OverFied Dovan today for $1,450_ select Lease Own; is for salel Buy now USD 51.450 USD 5182 Lease 6month 1 exil Freetransacor support Safe secure fransactcns ea54 transtets Hassle free payments Davments_ Secure Loca ~ucrencavallable cart al cneckout The simple_ and safe waY domain names No matier wrhat kind domain You want Iciet ""e make the transfer slmple Need help? Give uS call. 480.651.2741 und *tc how Mogks GoDaddy coprnaht 2020 GoDacJy Cperat ng CompanyyLLC Riints Resenco nolsha Fertona -omalon Pareealao bUY Here t",10599.182097667674,"[[6, 23, 47], [254, 254, 254], [193, 198, 203]]",-1.0,b53420cacbcab4b7,-1,False,,-1,,[]
State Bank of India (SBI),sbiepay.sbi,13.248.169.48,16,1,False,4,0,2,0,0,0,0,0,0,0,8,0,False,0,0,0.0,0,False,False,0,False,False,False,3.0,3.0,1,1,155,"GoDaddy.com, Inc.",https://biea.xyz,GoDaddy Excellent 4. 6 cutof 5 K Trustpilot The domain name Get this domain Own today for 5899 and make vouns biea.xyz is for salel biea xyz 8899 Hext Need help? Give us call480.651.9741 Safe secure transucucns Fast CJsy transicrs Hassle free Daxments GoDaddy coprlaht 2026 Codert Cjetal 7C Compjri: LLC Riints Rerenco Co nolshar Fetton -omalon Rareealno,13210.753351873589,"[[121, 129, 141], [254, 254, 254], [1, 17, 43]]",-1.0,c2409dbfbe9de0c0,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,76.223.54.146,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.321928094887362,3.321928094887362,1,1,155,"GoDaddy.com, Inc.",https://onlite.xyz,GoDaddy Excellent 4. 6 cutof 5 K Trustpilot The domain name Get this domain Own today for 5599 and make Iyouns onlite.xyz is for salel onlite XYz 8599 Next Need help? Give us call 480.651.9741 Safe secure transucucns Fast CJsy transicrs Hassle free Daxments GoDaddy coprlaht 2026 Codert Cjetal 7C Compjri: LLC Riints Rerenco Co nolshar Fetton -omalon Rareealno,13257.427931185062,"[[146, 152, 161], [254, 254, 254], [1, 17, 43]]",-1.0,c2409dbfbe9de0c0,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,76.223.54.146,27,1,False,4,0,2,0,0,0,0,0,0,0,19,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5766176449086657,3.5766176449086657,1,1,155,"GoDaddy.com, Inc.",https://onlinsastelinfo.xyz,GoDaddy Excellent 4. 6 cutof 5 K Trustpilot The domain name Get this domain Own today for $199and make it Yours - onlinsastelinfo.xyz is for salel onlinsastelinfo n 8199 Next Need help? Give us call 480.651.9741 Safe secure transucucns Fast CJsy transicrs Hassle free Daxments GoDaddy coprlaht 2026 Codert Cjetal 7C Compjri: LLC Riints Rerenco Co nolshar Fetton -omalon Rareealno,13279.654162634683,"[[129, 136, 147], [254, 254, 254], [1, 17, 43]]",-1.0,c2409dbfbe8de0c2,-1,False,,-1,,[]
Airtel,airtel.in,185.31.240.240,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,2.792481250360578,2.792481250360578,1,1,41,Let's Encrypt,https://aireklaam.ee,Your Domain AIREKLAAMEE is Registered NBI Your domain has been registered but has NOT yet been linked to . hosting service You need hostng somico get the most out of your domain: Tho domain Okot administrator can subscnbe Ouf Wod and cmai hosting services Pianl Ihe seed ol youf success ard Subscnbe = Hosling Service Contact Zone Helpdesk Zone Web Hosting Packages STARTER BUSINESS PRO The perfect choice for ycur Arellable solution for ycur cpremiun solution for hins| websie new growing onlne business high-Iralfic online stores ousincss Plenty space lor bolh Advanced lealute s and Iools The Zone+ AI Assistant cmail and website content Fot Orotossional builds your sile In just Povcicd somo cf the Extra backups and secure Mnulcs fastest web servers 0n Ine storage Ihal grows wilh you Send emails with world- mamct clas5 webmai service 9.95 € 16.90 € 30 € (montts} cost of frst year when paid (monil y cosl ol frsl year when paid (monil y cosl of Frsl year when paid atua Anmia ania View Delails View Delails View Delails,5096.663229483199,"[[250, 250, 250], [158, 83, 77], [28, 147, 242]]",-1.0,9f9a61e4a5e5e062,-1,True,https://aireklaam.ee/favicon.ico,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,104.17.120.6,26,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.3921472236645345,3.3921472236645345,1,1,46,Google Trust Services,https://onlinebigpromo.com,"solecouturesale LOC IN Seaicn Women s Plus Size Dress Underv €8r Contact Us Clearance sale,Discounts up 79% New arrival Ashly Lace Demi Petite ush-UP; Dem Betty Lacc Small Cup Small Sizes Cup Small Sizes Sizes TEA ? ETfRE Elsie Lace BraContoured Push-Up Petite Demi- Cup Small Rs 2,604.17 Ps 779025 Nar1ngot| MTO CART BUY ITNOW Bras Lace Bra Marissa Lace Comfort Teresa Lace Bra, Petite Elodie Petite Small Sizes and style ~Demi-Cup; Small Sizes Small Sizes 7S~P5176 07 Elsie Lace Br Contoured, Push-Up; Vanessa Wire-Free ra Petites Licht Vivienne Lace Bra, Petite; Push-UP Tavlor Wire-free Bra Petite Liahth Petite; Demi-Cup; Smal Push-Up Wide Band Bralette Small Sizes Lined, wide Band, Bralette 5 2,60417 Saveps 1601 (Saveps 1,05968 | ~Vew More Women's Plus Size Dress Black Cardigan and ""s Plus Size Ity Dress Floral Size YDress Purc Women'$ Plus Size Party Dress aislev Print Dress Off Shoulder Short Sleeve Winter F, Color Spaghetti Straps Sleeveless Block V Neck 3/4 Lenath Sleeve utterfly Print 3 Sleeve Blue Dress Short Sleeve INeck Rainbow Lace Stitch White :Patchwork Ruffle Hem Butto Rs 5,45758 Stripe Dress Shoulder Dress Detail Dress Ps 5,45758 ~Rs 5 45758 Ps 5,45758 (SavcRs 2 ~Vew More Underwear Petite Lingerie; Vivienne Panty Petite Lingerie; Lucla Thong Marissa Bikini Petite Underwvear; Milana Thong Cesaal ASaners a7 AisrA5t ~View More SHOP ALL Free shipping Customer senvice Pavment Securin Returns and Exchanges Over S50 exchange Subscribe today to hear first about our Company Info Service Center Quick Links About Us Shippina pollc; Contact Us Return policy Lcgin Customer Reviewvs Order ights Reserved Sizes Push-UP; Push-UP, Lace Bra ~Push-UP",381.518236759563,"[[52, 39, 38], [246, 244, 243], [198, 146, 115]]",-1.0,ec6c6c6c6d078593,-1,True,https://onlinebigpromo.com/favicon.ico,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,3.33.251.168,25,1,False,4,0,2,0,0,0,0,0,0,0,17,0,False,0,0,0.0,0,False,False,0,False,False,False,3.6168746059562227,3.6168746059562227,1,1,156,"GoDaddy.com, Inc.",https://onlinemediator.us,WWWonlinemediators.us Performing security verification This website uses securty service pfotect against malicious bots This page displayed while the website verifies You are 9caeeecn Ferecmjrseend Secuunt- Elctane HHEL,805.4745850694444,"[[254, 254, 254], [74, 67, 67], [161, 154, 157]]",-1.0,bb3932c0c2c5c7cd,-1,True,https://onlinemediator.us/favicon.ico,-1,,[]
