input_position,input_url,normalized_url,source_workbook,raw_url,hashed_at_utc,target_url_sha256,hash_mode,domain,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,score_margin,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,stage1_passthrough,domain_component,hash_component,hash_anchor,review_reason,screenshot_path,favicon_hash_raw,ssl_hash_raw,html_hash_raw,page_hash_raw,domain_hash_raw,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx|urls.xlsx,https://airtel-merchants.club,2026-04-09T05:59:44+00:00,024bce4539d644727d55eb7ba57e33711e7613a88120094d62b280b5be71af14,exact,airtel-merchants.club,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtel-merchants.club/ | Call log: - navigating to ""https://airtel-merchants.club/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,0.0,Low,0.875,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-merchants.club,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5455,False,0,False,False,True,26.25,0.0,False,,,,,,,,False,False,False,False
2,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://airtele.xyz,2026-04-09T05:59:44+00:00,91ae79b2324d64ef201f6c15923fefc9fbb914afeee2b6e1c771776d40484eca,exact,airtele.xyz,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtele.xyz/ | Call log: - navigating to ""https://airtele.xyz/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,Airtel,airtel.in,0.0,0.0,Low,0.9714,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtele.xyz,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9231,False,0,False,False,True,29.1429,0.0,False,,,,,,,,False,False,False,False
3,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://paarivahan.com,2026-04-09T05:59:44+00:00,25e91e15ed103ba26dd2995e7b8f910d1f44653fd5578813e181bd5c49958832,exact,paarivahan.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://paarivahan.com/ | Call log: - navigating to ""https://paarivahan.com/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,parivahan sewa,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,parivahan sewa,parivahan.gov.in,0.0,0.0,Low,0.9474,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,paarivahan.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9474,False,0,False,False,True,28.4211,0.0,False,,,,,,,,False,False,False,False
4,airtell.ai,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx|urls.xlsx,https://airtell.ai,2026-04-09T06:00:14+00:00,3f369f17116fd0be14dcf3e991285c626e0ea4399bf912bc0f7b444b24d9ccd2,exact,airtell.ai,,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://airtell.ai/"", waiting until ""commit""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,Airtel,airtel.in,0.0,0.0,Low,0.9714,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtell.ai,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.9231,False,0,False,False,True,29.1429,0.0,False,,,,,,,,False,False,False,False
5,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://axisupi.com,2026-04-09T06:00:05+00:00,54a7492398ec6e757b4379f199b5168e01aa0730084492c31067ba3ce9d186d1,exact,axisupi.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""commit""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Axis Bank,False,True,False,False,,,fallback_top_k,Axis Bank,axismf.com,0.0,0.0,Low,0.8476,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6454,False,0,False,False,True,25.4286,0.0,False,,,,,,,,False,False,False,False
6,uidaiaadhardownload.com,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://uidaiaadhardownload.com,2026-04-09T05:59:47+00:00,3d600c49338f974223f09d4033a746e0fcea68bc3b5a90df01fb31ddada2997d,exact,uidaiaadhardownload.com,,accepted,fetched,available,,,https://uidaiaadhardownload.com/,,,,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,jw_primary,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,58.134,58.134,Low,0.8526,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.4167,False,0,False,False,False,25.5789,0.0,False,,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\uidaiaadhardownload.com.png,,,,,,False,False,False,False
7,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,https://sbireward.com,2026-04-09T05:59:44+00:00,551ce8debfba01c35dac092da94e39934aeee3a84573b376d3353a4a4b98d07c,exact,sbireward.com,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://sbireward.com/ | Call log: - navigating to ""https://sbireward.com/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),sbicard.com,0.0,0.0,Low,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbireward.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.78,False,0,False,False,True,25.5,0.0,False,,,,,,,,False,False,False,False
8,airtel-zungusha.lol,https://airtel-zungusha.lol,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,https://airtel-zungusha.lol,2026-04-09T05:59:44+00:00,1a3b355fe4d6855ca0d571dc7b4f26d5cfa0f0a2f83753af927a405ede5021a3,exact,airtel-zungusha.lol,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://airtel-zungusha.lol/ | Call log: - navigating to ""https://airtel-zungusha.lol/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,airtel.in,0.0,0.0,Low,0.88,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-zungusha.lol,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,True,26.4,0.0,False,,,,,,,,False,False,False,False
9,airtelmetaverse.com,https://airtelmetaverse.com,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,https://airtelmetaverse.com,2026-04-09T05:59:48+00:00,802e9eb34fb0c1b589b2a3c4e2df1f1a2d61c299652c5a94b92901bcd145bfd8,exact,airtelmetaverse.com,,accepted,fetched,available,,,https://airtelmetaverse.com/lander,,,,True,True,False,,weak_direct_evidence|network_corroboration,,,,True,Airtel,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,jw_primary,Airtel,airtel.in,47.1429,47.1429,Low,0.88,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtelmetaverse.com,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,False,26.4,0.0,False,,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtelmetaverse.com.png,,,,,,False,False,False,False
10,incometaxgov.info,https://incometaxgov.info,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,https://incometaxgov.info,2026-04-09T05:59:49+00:00,4dc09b2ea68497f0a4b271845f5119e7e4f8135e0b9411696d37a0d374adfd87,exact,incometaxgov.info,,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://incometaxgov.info/ | Call log: - navigating to ""https://incometaxgov.info/"", waiting until ""domcontentloaded""",,,,,False,False,False,,failed_fetch_strict_lexical_suspected,,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,0.0,Low,0.8786,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.info,,0,True,lexical_hit,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6923,False,0,False,False,True,26.3571,0.0,False,,,,,,,,False,False,False,False
