Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,evidence_tier,lexical_score,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,review_reason
National Informatics Centre (NIC),accounts.mgovcloud.in,http://rehabictus.org,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.79,False,False,True,fallback_top_k,fetched,not_attempted,,,https://www.rehabictus.org/,,,,False,0,False,False,False,28,0,3,4,35,False,title_brand_match|body_brand_match|multi_redirect_chain|iframe_present,False,False,False,1,2,www.rehabictus.org,,25149,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://indhanucoltd.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.75,False,False,True,fallback_top_k,fetched,not_attempted,,,https://indhanucoltd.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,indhanucoltd.com,,146,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sactogo.org,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.631,False,False,True,fallback_top_k,fetched,not_attempted,,,https://sactogo.org,,,,False,0,False,False,False,36,0,6,0,42,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|suspicious_hosting_provider,False,False,False,1,0,sactogo.org,,429,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://hairquest.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairquest.sa.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,hairquest.sa.com,hairquest.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairvisibly.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairvisibly.sa.com,,,,False,0,False,False,False,40,0,0,0,40,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairvisibly.sa.com,hairvisibly.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Informatics Centre (NIC),cloud.gov.in,https://cloud2026.store,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9111,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://cloud2026.store/login,,,,True,0,False,False,False,0,30,0,0,30,False,password_field|login_form|auth_wording,True,True,False,0,1,cloud2026.store,cloud2026.store,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://1morebit.tech,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.594,False,False,True,fallback_top_k,fetched,not_attempted,,,https://1morebit.tech,,,,False,0,False,False,False,40,0,0,0,40,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,1morebit.tech,1morebit.tech,9588,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://buwt8.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://buwt8.sa.com,,,,False,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,buwt8.sa.com,,8235,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,http://kafcloud.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.875,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=kafcloud.com,,,,True,0,False,False,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://60snowmeprona.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://60snowmeprona.sa.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,60snowmeprona.sa.com,60snowmeprona.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairwow.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairwow.sa.com,,,,False,0,False,False,False,40,0,0,0,40,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairwow.sa.com,hairwow.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://cloud9biryani.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.8769,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://www.cloud9biryani.com/,,,,True,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,1,www.cloud9biryani.com,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairsmashing.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairsmashing.sa.com,,,,False,0,False,False,False,48,0,0,0,48,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairsmashing.sa.com,hairsmashing.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
