Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,evidence_tier,lexical_score,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,review_reason
National Informatics Centre (NIC),kavach.mail.gov.in,https://domain,urls.xlsx,0.0,Low,weak_evidence,0.75,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://bazarcentofiori.com,urls.xlsx,0.0,Low,weak_evidence,0.65,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://anxunh.top,urls.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://pack101.org,urls.xlsx,0.0,Low,weak_evidence,0.5952,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://ank2014.biz,urls.xlsx,0.0,Low,weak_evidence,0.7262,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),cloud.gov.in,https://192.168.1,urls.xlsx,0.0,Low,weak_evidence,0.7333,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
ICICI Bank,icici.bank.in,https://icic-bank.com,urls.xlsx,0.0,Low,weak_evidence,0.8421,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://pnblndia.bank.in,urls.xlsx,0.0,Low,weak_evidence,1.0,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),cloud.gov.in,https://71042.vip,urls.xlsx,0.0,Low,weak_evidence,0.6,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://n6k6jqg8.top,urls.xlsx,0.0,Low,weak_evidence,0.5833,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),cloud.gov.in,https://laoshuanliagou.bond,urls.xlsx,0.0,Low,weak_evidence,0.6048,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://globalbookpublication.com,urls.xlsx,0.0,Low,weak_evidence,0.631,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://aetyk.cc,urls.xlsx,0.0,Low,weak_evidence,0.6333,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),cloud.gov.in,https://chillcollege.com,urls.xlsx,0.0,Low,weak_evidence,0.6167,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),kavach.mail.gov.in,https://mis4624.cc,urls.xlsx,0.0,Low,weak_evidence,0.5952,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
Airtel,airtelpayments.bank.in,https://ncbackyardbouncers.com,urls.xlsx,0.0,Low,weak_evidence,0.6574,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
National Informatics Centre (NIC),kavach.mail.gov.in,https://freedomroadfinancialdealerhub.com,urls.xlsx,0.0,Low,weak_evidence,0.6178,False,False,True,fallback_top_k|generic_token_only,,not_attempted,,,,,,,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,generic_token_only_lexical_rejected
