input_position,input_url,normalized_url,source_workbook,exclusion_stage,reason,survival_path,drop_path,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted_to_holdout,kept_for_review_only,review_only_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_matching_domain,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,stage1_passthrough
14,lmn3.sa.com,https://lmn3.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,head_only,not_attempted,get_error,,https://taixiumd5.com.co/,,,,False,False,,False,False,True,fallback_top_k,indiascienceandtechnology.gov.in,False,0,False,False,False,4,0,0,4,8,False,redirect_brand_match|final_domain_changed,False,False,False,1,1,taixiumd5.com.co,,0,False,stage1_low_suspicion,False
15,cloudschool.top,https://cloudschool.top,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,cloud.gov.in,True,0,False,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
19,indivaitl.shop,https://indivaitl.shop,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://indivaitl.shop,,,,False,False,,False,False,True,fallback_top_k,bseindia.com,False,0,False,False,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,indivaitl.shop,,4657,False,stage1_low_suspicion,False
21,https://cloudxyz.shop,https://cloudxyz.shop,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://cloudxyz.shop,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,cloud.gov.in,True,0,False,False,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,cloudxyz.shop,,114,False,stage1_low_suspicion,False
23,lgjxwzi.sa.com,https://lgjxwzi.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,head_only,not_attempted,get_error,,https://cxv.uk.com/,,,,False,False,,False,False,True,fallback_top_k,indiascienceandtechnology.gov.in,False,0,False,False,False,4,0,0,4,8,False,redirect_brand_match|final_domain_changed,False,False,False,1,1,cxv.uk.com,,0,False,stage1_low_suspicion,False
26,https://cloudchargingtech.com,https://cloudchargingtech.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://cloudchargingtech.com,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,cloud.gov.in,True,0,False,False,False,0,0,0,0,0,False,,False,False,False,0,0,cloudchargingtech.com,,630,False,stage1_low_suspicion,False
28,llorera.sa.com,https://llorera.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,sbi.co.in,False,0,False,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
31,indoc.dev,https://indoc.dev,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_fetch_failed,,stage1_fetch_failed,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,jio.com,False,0,False,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False
33,cloudsentinel.cc,https://cloudsentinel.cc,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://cloudsentinel.cc,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,eci.gov.in,True,0,False,False,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,cloudsentinel.cc,cloudsentinel.cc,32768,False,stage1_low_suspicion,False
34,india4mice.com,https://india4mice.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://india4mice.com,,,,False,False,,False,False,True,fallback_top_k,indiascienceandtechnology.gov.in,False,0,False,False,False,8,0,6,0,14,False,meta_brand_match|suspicious_hosting_provider,False,False,False,1,0,india4mice.com,,32768,False,stage1_low_suspicion,False
