Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,https://onlinekino.pl
State Bank of India (SBI),sbi.co.in,stubie.events
Punjab National Bank (PNB),netpnb.com,https://neptun.bar
State Bank of India (SBI),onlinesbi.sbi,https://online-spin-games.site
State Bank of India (SBI),yonobusiness.sbi,http://yonospin.org
State Bank of India (SBI),onlinesbi.sbi,http://onlinedtfbaski.net
Airtel,airtel.in,http://air4tech.com
State Bank of India (SBI),sbi.co.in,https://ssubit.com
State Bank of India (SBI),onlinesbi.sbi,onlinebrickhousegps.org
State Bank of India (SBI),onlinesbi.sbi,http://onlinebrightstory.com
State Bank of India (SBI),sbilife.co.in,https://blisslife.com.mx
State Bank of India (SBI),onlinesbi.sbi,onlinecementbuying.in
State Bank of India (SBI),onlinesbi.sbi,http://online-article.space
Airtel,airtel.in,araitogel.org
Airtel,airtel.in,airtext.in
State Bank of India (SBI),onlinesbi.sbi,onlinealbum.website
Airtel,airtel.in,art-el.net
State Bank of India (SBI),onlinesbi.sbi,https://online-casino-2026.top
State Bank of India (SBI),onlinesbi.sbi,onlinecash.top
State Bank of India (SBI),sbicard.com,sincad.ru
State Bank of India (SBI),onlinesbi.sbi,https://onlane.xyz
State Bank of India (SBI),onlinesbi.sbi,online-sessions.com
State Bank of India (SBI),onlinesbi.sbi,onlinejoeibraina.com
HDFC Bank,hdfc.com,hpdc.co.uk
Indian Oil Corporation Limited (IOCL),iocl.com,ic.com.pk
State Bank of India (SBI),sbicard.com,bitcard.co.kr
National Informatics Centre (NIC),accounts.mgovcloud.in,sovcloud.ai
ICICI Bank,icicibank.com,icicipd.com
State Bank of India (SBI),onlinesbi.sbi,onlinelabs.com.br
State Bank of India (SBI),onlinesbi.sbi,onlinesolution.shop
