input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,final_landing_url,parking_provider,parking_reason,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
1,twentysixer.ru,https://twentysixer.ru,resolved,accepted,failed,,,,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Vodafone Idea (VI),0.0,Low,0.5606,0.0,0.2667,16.8182,0.0,0.0
2,8eight.com.tw,https://8eight.com.tw,resolved,accepted,failed,,,,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),0.0,Low,0.6667,0.0,0.4444,20.0,0.0,0.0
3,mis4624.cc,https://mis4624.cc,no_records,rejected,,,,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Axis Bank,0.0,,0.5952,0.0,0.3636,0.0,0.0,0.0
4,pnbindia-services.com,https://pnbindia-services.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary,Punjab National Bank (PNB),0.0,,0.8941,0.0,0.64,0.0,0.0,0.0
5,fresna.online,https://fresna.online,resolved,accepted,fetched,,,,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Kfintech,37.5491,Low,0.5139,0.8636,0.2857,15.4167,17.2726,0.0
6,quadbottles.store,https://quadbottles.store,resolved,accepted,failed,,,,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Airtel,0.0,Low,0.6025,0.0,0.4,18.0736,0.0,0.0
7,pulsefck.store,https://pulsefck.store,resolved,accepted,failed,,,,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,HDFC Bank,0.0,Low,0.5833,0.0,0.3333,17.5,0.0,0.0
8,saudenervocuremax.shop,https://saudenervocuremax.shop,resolved,accepted,fetched,,,,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,BSE Ltd.,30.9946,Low,0.5499,0.7129,0.3077,16.4967,14.2575,0.0
9,americanexpress-reward00175.ink,https://americanexpress-reward00175.ink,resolved,accepted,failed,,,,False,hashing_shortlist,fetch_timeout_or_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Air India,0.0,Low,0.6648,0.0,0.5238,19.9444,0.0,0.0
10,soyprotagonistafinanciero.com,https://soyprotagonistafinanciero.com,resolved,accepted,fetched,,,,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,BSE Ltd.,29.4854,Low,0.58,0.8846,0.2941,17.4,17.6912,0.0
