input_position,input_url,normalized_url,source_workbook,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,clip_similarity,typo_similarity,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,domain_component,clip_component,hash_component
1,embracecounsellinghk.com,https://embracecounsellinghk.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://embracecounsellinghk.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.7,False,4,0,0,0,4,False,favicon_brand_match,False,False,False,1,0,embracecounsellinghk.com,www.wix.com,3060,False,stage1_low_suspicion,0.0,0.43,False,0,False,False,0.0,0.0,0.0
2,doxrcs.com,https://doxrcs.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://doxrcs.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,IDFC FIRST Bank,idfcfirst.bank.in,0.0,,0.6204,False,0,0,6,0,6,False,suspicious_hosting_provider,False,False,False,0,0,doxrcs.com,,297,False,stage1_low_suspicion,0.0,0.4,False,0,False,False,0.0,0.0,0.0
3,dishry.com,https://dishry.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Axis Bank,axis.bank.in,0.0,,0.6111,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4,False,0,False,False,0.0,0.0,0.0
4,haridraearlynutrition.org,https://haridraearlynutrition.org,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k|generic_token_only,National Informatics Centre (NIC),kavach.mail.gov.in,0.0,,0.631,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.25,True,0,False,False,0.0,0.0,0.0
5,beatriceedario.com,https://beatriceedario.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,State Bank of India (SBI),sbicard.com,0.0,,0.6508,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.5062,False,0,False,False,0.0,0.0,0.0
6,jappetease.com,https://jappetease.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Airtel,airtelpayments.bank.in,0.0,,0.6381,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4167,False,0,False,False,0.0,0.0,0.0
7,w6vmry1.makeup,https://w6vmry1.makeup,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Airtel,airtel.in,0.0,,0.5397,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.3077,False,0,False,False,0.0,0.0,0.0
8,uidaiaadhardownload.com,https://uidaiaadhardownload.com,123456.xlsx|AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,resolved,accepted,fetched,available,,,https://uidaiaadhardownload.com/,,,,True,True,False,,score_threshold,,,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold,score_threshold,jw_primary,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,58.134,Low,0.8526,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.0,0.4167,False,0,False,False,25.5789,0.0,0.0
9,eauclairetreeservices.com,https://eauclairetreeservices.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://eauclairetreeservices.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.0,,0.7429,False,0,0,0,0,0,False,,False,False,False,0,0,eauclairetreeservices.com,,32768,False,stage1_low_suspicion,0.0,0.25,False,0,False,False,0.0,0.0,0.0
10,hap-etyie.com,https://hap-etyie.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://hap-etyie.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.664,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,hap-etyie.com,,32768,False,stage1_low_suspicion,0.0,0.3478,False,0,False,False,0.0,0.0,0.0
11,projectteambaby.com,https://projectteambaby.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.0,,0.6,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.2222,False,0,False,False,0.0,0.0,0.0
12,bluebacalar.com,https://bluebacalar.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,BSE Ltd.,bsestarmf.in,0.0,,0.6027,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4,False,0,False,False,0.0,0.0,0.0
13,cwflyer.com,https://cwflyer.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://cwflyer.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.6071,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,cwflyer.com,,32768,False,stage1_low_suspicion,0.0,0.43,False,0,False,False,0.0,0.0,0.0
14,chuanwenzhongdechenqianqianmianfeiguankanzaixian.com.cn,https://chuanwenzhongdechenqianqianmianfeiguankanzaixian.com.cn,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://chuanwenzhongdechenqianqianmianfeiguankanzaixian.com.cn,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.6347,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,chuanwenzhongdechenqianqianmianfeiguankanzaixian.com.cn,,32768,False,stage1_low_suspicion,0.0,0.1509,False,0,False,False,0.0,0.0,0.0
15,youlixn.com,https://youlixn.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://youlixn.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.672,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,youlixn.com,,32768,False,stage1_low_suspicion,0.0,0.5,False,0,False,False,0.0,0.0,0.0
16,bottlepy.com,https://bottlepy.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://bottlepy.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,State Bank of India (SBI),sbilife.co.in,0.0,,0.6012,False,0,0,0,0,0,False,,False,False,False,0,0,bottlepy.com,,4812,False,stage1_low_suspicion,0.0,0.4,False,0,False,False,0.0,0.0,0.0
17,yumashop.online,https://yumashop.online,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://yumashop.online,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Axis Bank,axis.bank.in,0.0,,0.5833,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,yumashop.online,,114,False,stage1_low_suspicion,0.0,0.3333,False,0,False,False,0.0,0.0,0.0
18,dnbcyw.org,https://dnbcyw.org,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://dnbcyw.org,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),nic.gov.in,0.0,,0.6667,False,0,4,0,0,4,False,auth_wording,False,False,False,0,0,dnbcyw.org,,332,False,stage1_low_suspicion,0.0,0.4444,False,0,False,False,0.0,0.0,0.0
19,ngabuburitt77.club,https://ngabuburitt77.club,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://ngabuburitt77.club,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,National Health Authority (NHA),nha.gov.in,0.0,,0.6068,False,0,0,0,0,0,False,,False,False,False,0,0,ngabuburitt77.club,,4554,False,stage1_low_suspicion,0.0,0.25,False,0,False,False,0.0,0.0,0.0
20,medspalatinolasvegas.com,https://medspalatinolasvegas.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://medspalatinolasvegas.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k|generic_token_only,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.65,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,medspalatinolasvegas.com,,32768,False,stage1_low_suspicion,0.0,0.3333,True,0,False,False,0.0,0.0,0.0
21,thetexasreckoning.com,https://thetexasreckoning.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,National Health Authority (NHA),nha.gov.in,0.0,,0.5948,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.2,False,0,False,False,0.0,0.0,0.0
22,absolutesbs.com,https://absolutesbs.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,0.0,,0.6742,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4,False,0,False,False,0.0,0.0,0.0
23,crestfieldfinn.com,https://crestfieldfinn.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://crestfieldfinn.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Airtel,airtel.in,0.0,,0.6635,False,0,4,0,0,4,False,auth_wording,False,False,False,0,0,crestfieldfinn.com,,332,False,stage1_low_suspicion,0.0,0.4,False,0,False,False,0.0,0.0,0.0
24,alphainvestdirect.shop,https://alphainvestdirect.shop,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Coal India,coalindiatenders.nic.in,0.0,,0.7075,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4242,False,0,False,False,0.0,0.0,0.0
25,hotwifemoms.store,https://hotwifemoms.store,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,State Bank of India (SBI),homeloans.sbi,0.0,,0.67,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.5,False,0,False,False,0.0,0.0,0.0
26,cronicasethervael.com.br,https://cronicasethervael.com.br,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://cronicasethervael.com.br,,,,False,False,False,,,stage1_suspected_non_escalated,stage1_http,stage1_suspected_non_escalated,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.6711,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,cronicasethervael.com.br,,32768,False,stage1_suspected_non_escalated,0.0,0.4848,False,0,False,False,0.0,0.0,0.0
27,elitemedia19.click,https://elitemedia19.click,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://elitemedia19.click,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.6806,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,elitemedia19.click,,32768,False,stage1_low_suspicion,0.0,0.5,False,0,False,False,0.0,0.0,0.0
28,croatia2.site,https://croatia2.site,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.0,,0.6905,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.5333,False,0,False,False,0.0,0.0,0.0
29,goattowing.com,https://goattowing.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://goattowing.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.5524,False,8,2,0,4,14,False,body_brand_match|favicon_brand_match|multi_input_form|iframe_present,False,False,False,1,0,goattowing.com,static.aftermarket.com,32768,False,stage1_low_suspicion,0.0,0.3333,False,0,False,False,0.0,0.0,0.0
30,mifiapps.com,https://mifiapps.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://mifiapps.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.6833,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,mifiapps.com,,32768,False,stage1_low_suspicion,0.0,0.4615,False,0,False,False,0.0,0.0,0.0
31,iclubglobal.com,https://iclubglobal.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Indian Oil Corporation Limited (IOCL),iocl.com,0.0,,0.6742,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.43,False,0,False,False,0.0,0.0,0.0
32,ymzpro.com,https://ymzpro.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.5185,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.2667,False,0,False,False,0.0,0.0,0.0
33,team-seas.org,https://team-seas.org,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://team-seas.org,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,All India Institute of Medical Sciences (AIIMS),aiims.edu,0.0,,0.6444,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,team-seas.org,,114,False,stage1_low_suspicion,0.0,0.4286,False,0,False,False,0.0,0.0,0.0
34,bundes-kaiyun.com,https://bundes-kaiyun.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,0.0,,0.7026,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4444,False,0,False,False,0.0,0.0,0.0
35,handmethekey.com,https://handmethekey.com,123456.xlsx,skipped,skipped,fetched,not_attempted,head_error,,https://handmethekey.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.6667,False,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,handmethekey.com,,32768,False,stage1_low_suspicion,0.0,0.375,False,0,False,False,0.0,0.0,0.0
36,prowaffar.com,https://prowaffar.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://prowaffar.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Bank of Baroda,bankofbaroda.bank.in,0.0,,0.5907,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,prowaffar.com,,4661,False,stage1_low_suspicion,0.0,0.381,False,0,False,False,0.0,0.0,0.0
37,megandugan.design,https://megandugan.design,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,IndusInd Bank,indusind.bank.in,0.0,,0.6333,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4444,False,0,False,False,0.0,0.0,0.0
38,gooptimise.com,https://gooptimise.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,All India Institute of Medical Sciences (AIIMS),aiims.edu,0.0,,0.6333,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4,False,0,False,False,0.0,0.0,0.0
39,hz0xz62.asia,https://hz0xz62.asia,123456.xlsx,skipped,skipped,fetched,not_attempted,head_error,,https://hz0xz62.asia,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,State Bank of India (SBI),homeloans.sbi,0.0,,0.5026,False,0,4,0,0,4,False,auth_wording,False,False,False,0,0,hz0xz62.asia,,332,False,stage1_low_suspicion,0.0,0.25,False,0,False,False,0.0,0.0,0.0
40,timsholding.org,https://timsholding.org,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Indian Oil Corporation Limited (IOCL),iocl.com,0.0,,0.6742,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.4,False,0,False,False,0.0,0.0,0.0
41,juliabutler.com,https://juliabutler.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,0.0,,0.6242,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.375,False,0,False,False,0.0,0.0,0.0
42,farmingtonheating.com,https://farmingtonheating.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://farmingtonheating.com,,,,False,False,False,,,stage1_suspected_non_escalated,stage1_http,stage1_suspected_non_escalated,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.0,,0.6563,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,farmingtonheating.com,,32768,False,stage1_suspected_non_escalated,0.0,0.4744,False,0,False,False,0.0,0.0,0.0
43,xn--nted-unb30g.com,https://xn--nted-unb30g.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Punjab National Bank (PNB),netpnb.com,0.0,,0.6556,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.411,False,0,False,False,0.0,0.0,0.0
44,ms3z6t.vip,https://ms3z6t.vip,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://ms3z6t.vip,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,BSE Ltd.,bsestarmf.in,0.0,,0.6111,False,0,4,0,0,4,False,auth_wording,False,False,False,0,0,ms3z6t.vip,,332,False,stage1_low_suspicion,0.0,0.4,False,0,False,False,0.0,0.0,0.0
45,golbemacmerkezi.com,https://golbemacmerkezi.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.0,,0.6,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.3333,False,0,False,False,0.0,0.0,0.0
46,psxjyyf.com,https://psxjyyf.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,State Bank of India (SBI),sbimf.com,0.0,,0.5619,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.3633,False,0,False,False,0.0,0.0,0.0
47,canarias-contra-crisis.com,https://canarias-contra-crisis.com,123456.xlsx,skipped,skipped,failed,not_attempted,get_error,,,,,,False,False,False,,,stage1_fetch_failed,stage1_http,stage1_fetch_failed,False,,False,False,False,True,,,fallback_top_k,Canara Bank,canararobeco.com,0.0,,0.6827,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,0.0,0.5006,False,0,False,False,0.0,0.0,0.0
48,martincalvo.com,https://martincalvo.com,123456.xlsx,skipped,skipped,fetched,not_attempted,,,https://www.martincalvo.com/,,,,False,False,False,,,stage1_suspected_non_escalated,stage1_http,stage1_suspected_non_escalated,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.696,False,40,0,0,0,40,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match,False,False,False,1,1,www.martincalvo.com,www.martincalvo.com,32768,False,stage1_suspected_non_escalated,0.0,0.4706,False,0,False,False,0.0,0.0,0.0
