run_id,record_key,source_workbook,normalized_url,stage_name,attempt_index,worker_id,started_at,finished_at,duration_ms,status,error_type,error_message,retry_count,timeout_flag,fallback_taken
run_20260406T163140Z,213dd0644c855cb255359c3dd127b95c8af88084,AIGR-S66270_Ground_Truth.xlsx,https://dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,stage1,1,stage1-7,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3310,escalated,ConnectTimeout,ConnectTimeout,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,6a93d259d4417884a2b51ef9453b6faa65c28bf1,AIGR-S66270_Ground_Truth.xlsx,https://super1000.info/docssmilesvoegol.servebbs.org/voegol.php,stage1,1,stage1-6,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3310,escalated,ConnectTimeout,ConnectTimeout,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,4a28bdb72ab8d8d7be8937a33f981cbdfe5f4583,AIGR-S66270_Ground_Truth.xlsx,https://smilesvoegol.servebbs.org/voegol.php,stage1,1,stage1-5,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3441,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,db014f6f02509d5d1ce4f64444496c924cbccc63,AIGR-S66270_Ground_Truth.xlsx,https://dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,stage1,1,stage1-4,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3441,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,09ee744ac8fade3faa60c48c033df3a93ec8d0a8,urls.xlsx,https://snackduel.com,stage1,1,stage1-15,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3440,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,098cf2b0da908a4c1210f487b360ab784e1f5260,AIGR-S66270_Ground_Truth.xlsx,https://torana.com,stage1,1,stage1-3,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3441,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,814502796cf0fffb252c28dab720943ed33d1d51,urls.xlsx,https://pornmega18.xyz,stage1,1,stage1-36,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11002] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,e1b321e1895f84fc72736846f35596e519345688,urls.xlsx,https://pornxmodel.click,stage1,1,stage1-42,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11002] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,10bc15be92bc3fc8157007bf95ef7d0e707ce4e2,urls.xlsx,https://rjpnbv.com,stage1,1,stage1-45,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,f9db5a03f6f4ad95c90165b1df46cfb177d20642,urls.xlsx,https://jicm0yo.vip,stage1,1,stage1-51,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,cefec113a950ffef706f00e6b3b8bef98855683d,urls.xlsx,https://jlchuhai.com,stage1,1,stage1-47,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
run_20260406T163140Z,20cad94df1bdb62c2ce7a406960462139969f22a,urls.xlsx,https://lucilalehmann.com,stage1,1,stage1-49,2026-04-06T16:31:56+00:00,2026-04-06T16:32:00+00:00,3439,escalated,ConnectError,[Errno 11001] getaddrinfo failed,0,0,route_to_dns_after_stage1_failure
