input_position,input_url,normalized_url,source_workbook,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,domain_component,clip_component,hash_component
1,j1icoy.makeup,https://j1icoy.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Jio,True,True,True,False,,,jw_primary,Jio,jio.com,0.0,,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,j1icoy.makeup,,0,True,lexical_hit,0.0,,,,,,,,,0.6667,False,0,False,False,0.0,0.0,0.0
2,https://mrbim.ca,https://mrbim.ca,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Reserve Bank of India (RBI),True,True,True,False,,,jw_primary,Reserve Bank of India (RBI),rbi.org.in,0.0,Low,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,mrbim.ca,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.75,False,0,False,False,26.0,0.0,0.0
3,https://sacmap.art,https://sacmap.art,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,skipped,skipped,fetched,not_attempted,,,https://sacmap.art,,,,False,False,False,,,stage1_suspected_non_escalated,stage1_http,stage1_suspected_non_escalated,False,,False,False,False,True,,,fallback_top_k,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,0.0,,0.6667,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,sacmap.art,,865,False,stage1_suspected_non_escalated,0.0,,,,,,,,,0.5,False,0,False,False,0.0,0.0,0.0
4,cloudars.com,https://cloudars.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,skipped,skipped,fetched,not_attempted,,,https://www.cloudars.com/,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,True,National Informatics Centre (NIC),False,False,False,True,,,fallback_top_k|generic_token_only,National Informatics Centre (NIC),accounts.mgovcloud.in,0.0,,0.925,False,4,0,0,0,4,False,favicon_brand_match,False,False,False,1,1,www.cloudars.com,www.cloudars.com,32768,False,stage1_low_suspicion,0.0,,,,,,,,,0.7692,True,0,False,False,0.0,0.0,0.0
5,https://cloudforgesystems.com,https://cloudforgesystems.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,skipped,skipped,fetched,not_attempted,,,https://cloudforgesystems.com,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,True,National Informatics Centre (NIC),False,False,False,True,,,fallback_top_k|generic_token_only,National Informatics Centre (NIC),cloud.gov.in,0.0,,0.8588,False,0,0,0,0,0,False,,False,False,False,0,0,cloudforgesystems.com,cloudforgesystems.com,1430,False,stage1_low_suspicion,0.0,,,,,,,,,0.4545,True,0,False,False,0.0,0.0,0.0
6,onlinestore.click,https://onlinestore.click,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.8828,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinestore.click,,0,True,lexical_hit,0.0,,,,,,,,,0.7,False,0,False,False,0.0,0.0,0.0
7,https://aiindia.info,https://aiindia.info,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,fetched,available,,,https://aiindia.info/,,,,False,False,True,strict_lexical_below_holdout_threshold,strict_lexical_below_holdout_threshold,,hashing_shortlist,strict_lexical_below_holdout_threshold,True,Air India,True,True,True,False,,,jw_primary,Air India,airindiaexpress.com,45.9524,Low,0.8578,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,aiindia.info,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6364,False,0,False,False,25.7333,0.0,0.0
8,https://isos.shop,https://isos.shop,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,skipped,skipped,fetched,not_attempted,,,https://isos.shop,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Jio,jio.com,0.0,,0.7222,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,isos.shop,,114,False,stage1_low_suspicion,0.0,,,,,,,,,0.5714,False,0,False,False,0.0,0.0,0.0
9,https://isharora.space,https://isharora.space,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,skipped,skipped,fetched,not_attempted,,,https://www.isharora.space/,,,,False,False,False,,,stage1_low_suspicion,stage1_http,stage1_low_suspicion,False,,False,False,False,True,,,fallback_top_k,Jio,jio.com,0.0,,0.6389,False,0,0,0,0,0,False,,False,False,False,0,1,www.isharora.space,,243,False,stage1_low_suspicion,0.0,,,,,,,,,0.3636,False,0,False,False,0.0,0.0,0.0
10,http://particularhands.com,http://particularhands.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,fetched,available,,,http://particularhands.com/,,,,True,True,False,,score_threshold,,,,True,parivahan sewa,True,True,True,False,score_threshold,score_threshold,jw_primary,parivahan sewa,parivahan.gov.in,58.9899,Low,0.8652,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,particularhands.com,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6667,False,0,False,False,25.9556,0.0,0.0
