Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors,asn,asn_org,country,region,city
State Bank of India (SBI),onlinesbi.sbi,172.67.171.105,29,1,False,4,0,2,0,0,0,0,0,0,0,21,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5351745656359026,3.5351745656359026,1,1,54,Google Trust Services,onlinebistraining.com,Fulkdbapculu cnlinabatn,169.42041449652777,"[[254, 254, 254], [35, 35, 35], [154, 154, 154]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,103.49.70.73,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.235926350629033,3.235926350629033,1,1,76,Let's Encrypt,https://csrorgi.online,Sign SnVour Erria lphone UamamIL_ Passwora Remember Me Sign In |fergot 'password Register & new membership Futal,190.0118263888889,"[[232, 235, 238], [42, 133, 228], [254, 254, 254]]",-1.0,cc8b3364cc9b9b64,-1,True,http://sonupan.xyz/uploads/all/vjBJlxtgTC4j8umEGN5MRd6lUuPO8Swjxrysl4uM.gif,-1,,[],151845.0,Scalewithus India,IN,,
State Bank of India (SBI),onlinesbi.sbi,104.247.81.99,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.039148671903071,3.039148671903071,1,1,80,Let's Encrypt,https://onlinebingo.pl,"Ihis domain 3 Pa2 CAtHIO Iu 'lspol.nte. Floasv ,,C[ !{I""`(['U['1{4Iht Iov"" TEJe'fv' cho Lnk . Buy",51.159558627136754,"[[15, 27, 53], [244, 147, 0], [249, 225, 213]]",-1.0,999999d9d8d8c8cc,-1,True,https://onlinebingo.pl/favicon.ico,-1,,[],206834.0,Team Internet AG,CA,,
Punjab National Bank (PNB),netpnb.com,216.198.79.1,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.2516291673878226,3.2516291673878226,1,1,76,Let's Encrypt,https://netkupon.com,"GNetKupon MARKALAR HH KATECORILER 0 BLOG Magaza veya kupon ara_ Indiimi Dasladil Ciline 2 ozel kampanyad) 5.000 Uzer 1.250 TL; 10.000 TL Uzeri 2.500 TL Indlrim firsatini kacirma Sabri Ozel Buyuk Kis Indirimi [ Meee indirim Kodu & Kuponu Veren Popiiler Markalar Fncd Yatan Tod TV Cicek Sepeti Guzel Net Trendyol Media Markt Vatan Bilgisayar kunor Kunon Hosting knan KudoI 0*udon 2kupon M TEMU burda MIGAO' Temu Hepsiburada Sabri Ozel Alastyr Turkticaret Net Migros Market 0 kupon Okucon Ikupon Ikupcn kupol kupon Kategorilere Gore Kesfet ilgilendlyin kategonye 9 rerek Cuoonian Kampanyalan tek ekranda kesfet Ayatkati caamat Eqence Cldrc Ev Esvulat Ginm Hentn Fee. kunu Seoutu Ckle tnonKoduilninCu Kuponu Gir ve Uyqule Indrimh Mlsveris Yepl One Cikan Kuponlar Sana Ozel Kuponl:t En populer cok ragbc' gorcn Iufsa lar bureda Tas affulunuz iGin ozel olarak secilail Cice * Sepeti I54Irdkint Tdoe151 Cnealit REDEY Leno eeeneen Tod M Migros M._ Guzel Net TO) Cicd Scpeti HoniAh Kianim onos Tod TV Aylik Taraftar Paketi - Migros Market 1OOTL Kupon Cuzel Hosting %10 indirim Jronduol Kodu Kazan! Firsati Kacirma Kupon Kodu | Netkupon Oze Maaetr Ahin Ucretsiz Tendiorj Yander uxqulamasini Indic (OOTL Neikupon-comaozel clustumulan Tod TV 1Aylik Tarafiar Paketl microxhedivn cckikazan kuncakodu Fin dirin kodi Guzc Kigros Markot Bodava kampanyasuyla Siper Lig 'oCL Indiin Hcstingin Linux Hosting Uaro: Uarkc= heyecanii Ucretsiz yasayin: Ginc_. Hosting-con c S0LInduu odmam Kodu Al Kodu All Ceant CDOJ JodTv Kidaran _ Wawn kaldla Marke: Kaderkan _ ~IIgin kaldi G4Ne Hastin ? Kanonlar S0nei CuzelNct Hos Um-KmT Ci4horie C Kodai Kod ' CC Alastyr Cicek Se: Populer Markalar cullanun KLL Trendvol Col Gant Alastyr %5 indirim Kodu - Ciceksepeti 1OOTL Indirim Kodu Trcndyol a Ozcl Kredi Karti Hostingve Sunucu Kuponu Nobi Uygulamaya Ozel Taksit & Indirim Kampanyalari Turkticaret Net Hlastyrdo hosting cunucr Cicekscpeti mcbil uyqulamasima eacna Cn ~hizmetlerinde gecerll /5 iIndifim 07anncinmEOc Trendyolda pesin Aiyalna taksit tir satlali_Dankaya ozelindinm Kupon *oou projelerinizi u VCnsirizoc Cicd= vcnila bilir, = kimdinalimvc %15 0 Varain Cicc* Scpcti E Wcare: Gene KKodm AL Kodu AI Kampanyoyi Gor Guzel Net Hosting ~Jruinor E-Tieare Gene Ajs Kuocnbn _- 310 ounldi cice* ScFcli Klponlari = cnra Trengrolkupcnial ""Grz Hosting com tr Fkunor En Son Eklenen Kuponlar Atasun Oplik Firupoi EfeManit yeni firsatlar burada sizibexhycr! Guncellenen pfomosyonlaf kacirmamak icin hemen goz alin. Populer Kuponlar Kod * Io Cicek Cicek Se Vio klAIin Tod TV Lofnaer-MHTt TcdTV _ Ciceksepeti %15 indirim Kodu Ciceksepeti 1OOTL Indirim Kodu Trendyol a Ozel Kredi Karti Mob Uygulamaya Ozel Sabri Ozel ~250n4ndin 2026 Turk Telekoma Ozel . Taksit & indirim Kampanyalari {654195 ciceksepeti mobil uygulamasina Telekcm musterilerine ozel Trendyol'da pesin fiyalina taksit OlcnanrnEdd Ciceksepeli /15 Incirim Rampanyasi Mnsatlan_ Dankava uzcl In din Alastyr rAkin svensinizde Cice- venile billc__ Ales% 5 enin 2026 Kowuinca gecerti Rozetli kamdinvalnve '15e varan Guzc Nct Hos : Srientt Kampanyayi Gor Kodu AI Kampanyayi Gor Guze Hosei Ckck Scpatl Kuporuan 316 nunlaldi Cicek Scpcti Klponlari Gea Trencolkuocnbn = Ga Turkuc__ Kampunmlinduin Domiin Migros M__ CKed 1006 Hosti . Guzel Net OeaeK 5ner imlcnr Ur-utT M T+ TTZ Migros Markct 1OOTL Kupon Guzcl Hosting %10 Indirim Efsanc Com Domain Indirimil Kodu Kazan! Firsati Kacirma Kupon Kodu | Nctkupon Ozcl Hosting com,lr COM dornain incirimi Yandcx uygulara Suna inalir, IOOTL Kampanyasiyla yeni mUsteriler Icin Ncikupon COm J Oz0 olusturulan mlgros hediye ceki Kazanl COM domain kayit liyati sadecc _ Kudon kodm Indirim kodu Guzel Hostingin Linux Hosting odman Kampanyayi Gor eedman Mlgros Malxel Kuponlari gun kalda MHoxingcomrKudoolns ~T1gun kaldi Guze Net Hosbrg Kuponlari Sures Oxed #hSlimiet MnAIp3T Guze Oked Rerent Mlanm Hemen Uye Olun, Ekstra %25 1Domain Fiyatina Domain! Limitsiz paketler ilk ay 0.99TL! indirimi Kacirmayin! com 1,995! Guzel Hosting Turkticaret yeni uyelere Ozel tum urklicaet Hosina'den venuvelefe TR Lokos 'on Teksite-Limits Z Fin dirimleno- ckalalindirim ozal biyik dcmain fir satil cemaim Limilsiz pakelrimiz iavicin Iwvatina comain kam panvasqul2 sadece D. 9TLi KKodu A Kodu Kampanyayi GOr Turkte Jiel Nel Klsonlai 318 Qur Gize"" Net Hosbrs 208 qur Tcricee rel Kuboria Jlnun kaldi KuporSi Alastyr kod *4 Tod dene ldetnn Sabri _. Kenpjmj Z ooc TO) EAeanin kullar nim Alastyr %5 indirim Kodu - Tod TV Aylik Taraltar Paketi Sabri Ozel 1250TL 2500 TL Hosting ve Sunucu Kuponu Ucretsiz indirim Alastyr de hosting sunuca Tod TV 1 Aylik Taraftar Pakeli Sabri Ozel BuyUk Kis Indirimi ""hizmetlerinde gecerli %5 inchfir {pedavaeampanyasiyi Super Lig basladi oC0 TL uzeri 1.250 TL; kuconkoquile weh nroielernizi #eyecanini Ucretsiz vasayin Gunc; 10,000 Uzeri 2 502 TL indicina odtna odea Kampanyayi Gor An Kuncalar _= 316 qunldi Tediukicolari, Ozheunonlar _ NetKupon ile En Guncel indirim Kodlari ve Alisveris Rehberi 'guncelindirim kedlar kuponlar alsvers ipuclaryla bitcenizi caha verimli yonetin Guncclindirim Kodlan Onlinc Ansvcristc Hizlivc Kolay Erisim Hcr Gin Ycni Firsatlar Tasaiu Kutenic dostu tasarimimiz sayesinde Surekli quncellenen indifim kodiative Indicim kodlani kuponlan kullanarak aradgInuz Endiram kedlanna kolayca ulasin- kuponlar: @zel kampanyalar Asini|i surcl alisvcrisleriniz daha hasap hale gelit Gelismis arama filerelemg ozclikleriile Ausailar icin duzenli zivarot @ din BinicicemauazadaM som indinnt hizli buluo Hursailanni kacumavn Her Kategonde Indirim Firsatlan Aklli Altsvens Yap ^ Meda , clcktronix dekonsvonu *rama caha biacok Favori magazalarinaza takip cderck ycri kan panyalardan aninda Kategoride incirim koclari bulun. Trendycl LC Waixiki; Amazon; naberoar olun Neikupon'da her zaman qiincelindirimlersiz Ciceksepeti gibl populer markalarin ozel farsa1lafini kacirmayin: bekllyor: Hizli Linkler Yasal Turkiye nin kapsamikucon Indirim Flatfarmu: Binlerce Yukleniyor; Gizlaik Politikas magazadan guncel firsatlaf Umnanint Kosuari HALh eA MeIlsin '2024 NetKupon: Tim haklart sakhcir To) 'dence X5 49 40917",3117.5815228383267,"[[250, 251, 251], [135, 109, 101], [151, 21, 249]]",-1.0,a749d9354f2f240d,-1,True,https://www.netkupon.com/netkupon_favicon.png,"(32, 32)",99f1941863c75a2f,"[[214, 168, 51], [238, 240, 236], [75, 91, 73]]",16509.0,AMAZON-02,US,,
State Bank of India (SBI),onlinesbi.sbi,104.17.120.6,26,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.3921472236645345,3.3921472236645345,1,1,53,Google Trust Services,https://onlinebigpromo.com,"onlinebigpromo LOC IN Seaicn Women s Plus Size Dress Underv €8r Contact Us Clearance sale,Discounts up 79% New arrival Ashly Lace ~UP; Demi Petite ush-UP, Betty Lacc Small Cup Small Sizes Cup Small Sizes Sizes F75n7/ Rs 2511.24 Elsie Lace BraContoured Push-Up Petite Demi- Cup, Small Rs 2,598,36 Ps 37+95 (savc R5111358 MTO CART BUY ITNOW Bras Lace Bra Marissa Lace Comfort Teresa Lace Bra, Petite Elsie Lace Contoured, Push-Up Small Sizes ~and style ~Demi-Cup; Small Sizes ~Petite, Demi-Cup; Small Sizes SuvcRs 1,076.37 Elodie Lace Bra, Push-uD Vanessa Wire-Free ra Petites Licht Vivienne Lace Be Petite; Push-up_ Tavlor Wire-free Bra Petite Liahth Small Slzes Push-Up Wide Band Bralette Small Sizes Lined, wide Band, Bralette 467,67 ~Vew More Women's Plus Size Dress Black Cardigan and Ity Dress Floral Size YDress Purc Women'$ Plus Size Party Dress aislev Print Dress Off Shoulder Short Sleeve Winter F, Color Spaghetti Straps Sleeveless Block V Neck 3/4 Lenath Sleeve LD< 5 45{0 Butterfly Print 3a Sleeve Blue Dress Short Sleeve INeck Rainbow Lace Stitch White :Patchwork Ruffle Hem Butto Rs 5,445,40 Stripe Dress Shoulder Dress Detail Dress ~Vew More Underwear Petite Lingerie; Vivienne Panty Petite Lingerie; Lucla Thong Marissa Bikini Petite Underwvear; Milana Thong 1,815,13 R 1,815.17 SaveRs TT778] SavRs TI1778 Aisnnna LSanesen; ~View More SHOP ALL Free shipping Customer senvice Pavment Securin Returns and Exchanges Over S50 exchange Subscribe today to hear first about our Company Info Service Center Quick Links About Us Shippina pollc; Contact Us Return policy Lcgin Customer Reviewvs Order @2O2Gonline bigpromc Sizes Push-UP; Push-UP,",385.8470740650637,"[[246, 244, 243], [56, 41, 39], [202, 153, 124]]",-1.0,ec6c6c6c6d078593,-1,True,https://onlinebigpromo.com/favicon.ico,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),onlinesbi.sbi,217.160.0.190,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,2.8553885422075336,2.8553885422075336,0,0,-1,,http://ownline.info,Fulkd DopcJlc enlinaino,122.26671875,"[[254, 254, 254], [48, 48, 48], [123, 123, 123]]",-1.0,87070707070f0fff,-1,True,http://ownline.info/favicon.ico,-1,,[],8560.0,IONOS SE,DE,,
State Bank of India (SBI),onlinesbi.sbi,172.67.171.141,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,2.8553885422075336,2.8553885422075336,1,1,54,Google Trust Services,onlieene.top,Fulkd DopcJlc,125.77459635416666,"[[254, 254, 254], [124, 124, 124], [38, 38, 38]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
HDFC Bank,hdfcbank.com,,24,1,False,4,0,2,0,0,0,0,0,0,0,16,0,False,0,0,0.0,0,False,False,0,False,False,False,3.625,3.625,0,0,-1,,hdfcbankltd.info,Fulkdbcr Jlc natbnkmuinb,147.09125651041666,"[[254, 254, 254], [41, 41, 41], [123, 123, 123]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,31.57.219.154,25,1,False,5,1,2,0,0,0,0,0,0,0,17,1,False,0,0,0.0,0,False,False,0,False,False,False,3.3371753411230776,3.3371753411230776,0,0,-1,,http://online-cities.com,"sophOs Website not available The websile you requested cannot accessed, It may work i You try aqain later Rehn Io Rcuink nagn Penee Ini > Inee*Jul Aboul Uits Icuuts[ Proleclod D SophoS",294.5651545138889,"[[237, 229, 184], [7, 125, 198], [249, 249, 249]]",-1.0,b3b748cc09b333cc,-1,True,http://online-cities.com/favicon.ico,-1,,[],399486.0,VIRTUO,FR,Paris,Paris
State Bank of India (SBI),onlinesbi.sbi,,27,1,False,4,0,2,0,0,0,0,0,0,0,19,0,False,0,0,0.0,0,False,False,0,False,False,False,3.511085408180427,3.511085408180427,0,0,-1,,onlinewebservice.ru,Fulkd DopcJlc,151.81731987847223,"[[254, 254, 254], [43, 43, 43], [144, 144, 144]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],,,,,
