Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Telecom,https://airtele.xyz,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-merchants.club,airtelpayments.bank.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://paarivahan.com,parivahan.gov.in,parivahan sewa,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtel-zungusha.lol,airtel.in,Airtel,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://sbireward.com,sbicard.com,State Bank of India (SBI),Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.info,incometaxindia.gov.in,Income Tax Department,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://axisupi.com,axis.bank.in,Axis Bank,Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-04-2026,23:28:30,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://incometaxgov.org,incometaxindia.gov.in,Income Tax Department,Suspected,2026-02-26T07:11:30.833Z,PDR Ltd. d/b/a PublicDomainRegistry.com,NA,NA,alex.ns.cloudflare.com;edna.ns.cloudflare.com,172.67.183.147,CLOUDFLARENET,NA,A:104.21.51.180;A:172.67.183.147;NS:edna.ns.cloudflare.com.;NS:alex.ns.cloudflare.com.;MX:100 mx2.titan.email.;MX:100 mx1.titan.email.,NA,08-04-2026,23:28:36,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtelmetaverse.com,airtelpayments.bank.in,Airtel,Suspected,2024-10-26T17:43:53Z,"GoDaddy.com, LLC",NA,NA,NS75.DOMAINCONTROL.COM;NS76.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns76.domaincontrol.com.;NS:ns75.domaincontrol.com.,NA,08-04-2026,23:28:36,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://uidaiaadhardownload.com,uidai.gov.in,"Unique Identification Authority of India (UIDAI)
",Phishing,2026-02-22T14:32:02Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,91.108.106.17,Hostinger International Limited,IN,A:93.127.173.105;A:91.108.106.17;NS:ns2.dns-parking.com.;NS:ns1.dns-parking.com.,PS-02_ISS_NLP_Evidences\UIDAI_uidaiaadhardownload.com_1.pdf,08-04-2026,23:28:37,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtell.ai,airtel.in,Airtel,Suspected,2026-02-19T22:55:16.755Z,"GoDaddy.com, LLC",Registration Private,NA,ns67.domaincontrol.com;ns68.domaincontrol.com,15.197.148.33,AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns67.domaincontrol.com.;NS:ns68.domaincontrol.com.,NA,08-04-2026,23:28:38,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://crsor.info,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Phishing,2026-02-26T12:05:49.721Z,"OwnRegistrar, Inc.",NA,NA,ns1.shivajihost.com;ns2.shivajihost.com,95.217.44.98,Hetzner Online GmbH,FI,A:95.217.44.98;NS:dns02.server7852.com.;NS:dns01.server7852.com.;MX:0 crsor.info.,PS-02_ISS_NLP_Evidences\RGCCI_crsor.info_2.pdf,08-04-2026,23:28:39,NA,weak_or_single_signal_match; NA values are due to privacy issues.
