input_position,input_url,normalized_url,source_workbook,raw_url,hashed_at_utc,target_url_sha256,hash_mode,domain,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,score_margin,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,stage1_passthrough,domain_component,hash_component,hash_anchor,review_reason,screenshot_path,favicon_hash_raw,ssl_hash_raw,html_hash_raw,page_hash_raw,domain_hash_raw,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash
1,domain,https://domain,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,generic_token_only_lexical_rejected,lexical_gate,generic_token_only_lexical_rejected,False,,False,False,False,True,,,fallback_top_k|generic_token_only,National Informatics Centre (NIC),kavach.mail.gov.in,0.0,,,0.75,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.6,True,0,False,False,False,0.0,0.0,,,,,,,,,,,,
2,jardines10.com,https://jardines10.com,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,Airtel,airtel.in,0.0,,,0.7111,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.5,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
3,connectionsarchive.net,https://connectionsarchive.net,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,Coal India,coalindiatenders.nic.in,0.0,,,0.6944,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.3529,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
4,web365daftar.com,https://web365daftar.com,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,BSE Ltd.,bsestarmf.in,0.0,,,0.6442,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.5714,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
5,conciergerie-niort.fr,https://conciergerie-niort.fr,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.0,,,0.6746,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.4,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
6,nmjiaojinginc.shop,https://nmjiaojinginc.shop,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,Jio,jio.com,0.0,,,0.7436,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.375,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
7,ventajp.com,https://ventajp.com,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,National Health Authority (NHA),nha.gov.in,0.0,,,0.6508,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.4,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
8,snackduel.com,https://snackduel.com,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,National Health Authority (NHA),nha.gov.in,0.0,,,0.6296,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.3333,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
9,calmplatewindow.club,https://calmplatewindow.club,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,Income Tax Department,incometaxindia.gov.in,0.0,,,0.6599,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.4138,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
10,tuterrenoenchile.cl,https://tuterrenoenchile.cl,urls.xlsx,,,,,,skipped,skipped,,not_attempted,,,,,,,False,False,False,,,lexical_prefilter_rejected,lexical_gate,lexical_prefilter_rejected,False,,False,False,False,True,,,fallback_top_k,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,0.0,,,0.5972,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,stage1_low_suspicion,,,,,,,,,0.2857,False,0,False,False,False,0.0,0.0,,,,,,,,,,,,
