Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Government,https://dc.crsorgi.com,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:48,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dc.crsorgi.gov.in,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,2014-02-21 06:02:25.542000+00:00,National Informatics Centre,NA,IN,ns3.crsorgi.gov.in;ns5.crsorgi.gov.in;ns1.crsorgi.gov.in,103.151.152.102,Office Of The Registrar General India,IN,A:103.151.152.102,NA,14-04-2026,23:38:46,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dc.crsorgi.info,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:54,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dc.crsorgi.live,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:55,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Government,https://dc.crsorgi.site,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:54,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dev.crsorgi.com,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:54,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dev.crsorgi.gov.in,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,2014-02-21 06:02:25.542000+00:00,National Informatics Centre,NA,IN,ns3.crsorgi.gov.in;ns5.crsorgi.gov.in;ns1.crsorgi.gov.in,103.151.152.106,Office Of The Registrar General India,IN,A:103.151.152.106,NA,14-04-2026,23:38:52,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dev.crsorgi.info,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:54,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://dev.crsorgi.live,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:58,NA,not_mapped_to_ip; webpage rendering skipped because the domain did not resolve to an active IP.
ISS_NLP,Government,https://dev.crsorgi.site,crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)",Suspected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-2026,23:38:54,NA,weak_or_single_signal_match; NA values are due to privacy issues.
