input_position,input_url,normalized_url,source_workbook,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_similarity,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,domain_component,clip_component,hash_component
2,https://mrbim.ca,https://mrbim.ca,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Reserve Bank of India (RBI),True,True,True,False,,,jw_primary,Reserve Bank of India (RBI),rbi.org.in,0.0,Low,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,mrbim.ca,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.75,False,0,False,False,26.0,0.0,0.0
18,ciic.uno,https://ciic.uno,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://ciic.uno/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,ICICI Bank,True,True,True,False,,,jw_primary,ICICI Bank,icici.bank.in,0.0,Low,0.85,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ciic.uno,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6667,False,0,False,False,25.5,0.0,0.0
28,incomeinsider.tv,https://incomeinsider.tv,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://incomeinsider.tv/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,Low,0.8767,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incomeinsider.tv,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6667,False,0,False,False,26.3011,0.0,0.0
39,abdlzldmer.cc,https://abdlzldmer.cc,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://abdlzldmer.cc/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,National Health Authority (NHA),True,True,True,False,,,jw_primary,National Health Authority (NHA),abdm.gov.in,0.0,Low,0.86,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,abdlzldmer.cc,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,25.8,0.0,0.0
43,https://air38.net,https://air38.net,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,TimeoutError,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Airtel,True,True,True,False,,,jw_primary,Airtel,airtel.in,0.0,Low,0.8756,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,air38.net,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.7273,False,0,False,False,26.2667,0.0,0.0
58,https://carshlife.ru,https://carshlife.ru,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,TimeoutError,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Canara Bank,True,True,True,False,,,jw_primary,Canara Bank,canarahsbclife.com,0.0,Low,0.8751,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,carshlife.ru,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6957,False,0,False,False,26.254,0.0,0.0
67,https://axistrade.nl,https://axistrade.nl,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,TimeoutError,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Axis Bank,True,True,True,False,,,jw_primary,Axis Bank,axis.bank.in,0.0,Low,0.8889,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axistrade.nl,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6154,False,0,False,False,26.6667,0.0,0.0
70,industrialincidentanalysis.com,https://industrialincidentanalysis.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,TimeoutError,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,IndusInd Bank,True,True,True,False,,,jw_primary,IndusInd Bank,indusind.bank.in,0.0,Low,0.8615,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,industrialincidentanalysis.com,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.4706,False,0,False,False,25.8462,0.0,0.0
86,rbiiilv.com,https://rbiiilv.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://rbiiilv.com/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Reserve Bank of India (RBI),True,True,True,False,,,jw_primary,Reserve Bank of India (RBI),rbi.org.in,0.0,Low,0.8667,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rbiiilv.com,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.6,False,0,False,False,26.0,0.0,0.0
92,homeschoolandyou.org,https://homeschoolandyou.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://homeschoolandyou.org/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),homeloans.sbi,0.0,Low,0.8681,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,homeschoolandyou.org,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.56,False,0,False,False,26.0417,0.0,0.0
99,nhacai88.online,https://nhacai88.online,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,TimeoutError,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,National Health Authority (NHA),True,True,True,False,,,jw_primary,National Health Authority (NHA),nha.gov.in,0.0,Low,0.8542,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,nhacai88.online,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5455,False,0,False,False,25.625,0.0,0.0
100,http://homeschoolmakers.com,http://homeschoolmakers.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),homeloans.sbi,0.0,Low,0.8528,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,homeschoolmakers.com,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.56,False,0,False,False,25.5833,0.0,0.0
108,iconicinspo.online,https://iconicinspo.online,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://iconicinspo.online/"", waiting until ""domcontentloaded""",,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,ICICI Bank,True,True,True,False,,,jw_primary,ICICI Bank,icici.bank.in,0.0,Low,0.8545,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,iconicinspo.online,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.625,False,0,False,False,25.6364,0.0,0.0
111,http://marconiteindia.co,http://marconiteindia.co,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,False,,,fetch_timeout_or_fetch_failed,hashing_shortlist,fetch_timeout_or_fetch_failed,True,Income Tax Department,True,True,True,False,,,jw_primary,Income Tax Department,incometaxindia.gov.in,0.0,Low,0.9011,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,marconiteindia.co,,0,True,lexical_hit,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.5714,False,0,False,False,27.033,0.0,0.0
