target_url,hostname,resolved_ips,dns_status,decision
suaconsulta2026.online,suaconsulta2026.online,193.123.124.88,resolved,accepted
abfquoelx.com,abfquoelx.com,,timeout,rejected
quadbottles.store,quadbottles.store,15.197.148.33;3.33.130.190,resolved,accepted
commerium.co.uk,commerium.co.uk,185.158.133.1,resolved,accepted
suesholidayhub.com,suesholidayhub.com,2.57.91.91,resolved,accepted
lfsidou.com,lfsidou.com,44.227.65.245;44.227.76.166,resolved,accepted
uk-travel.ru,uk-travel.ru,104.21.24.218;172.67.220.218;2606:4700:3033::ac43:dcda;2606:4700:3037::6815:18da,resolved,accepted
vertexapexgroupoptimalprocess.blog,vertexapexgroupoptimalprocess.blog,162.255.119.169,resolved,accepted
creationorder.net,creationorder.net,34.216.117.25;54.149.79.189,resolved,accepted
unqvrhr60.shop,unqvrhr60.shop,,no_records,rejected
beatyourbuddies.online,beatyourbuddies.online,104.21.38.188;172.67.137.95;2606:4700:3033::ac43:895f;2606:4700:3034::6815:26bc,resolved,accepted
pornxmodel.click,pornxmodel.click,,timeout,rejected
chillcollege.com,chillcollege.com,15.197.148.33;3.33.130.190,resolved,accepted
ezbrd.co,ezbrd.co,161.248.15.39,resolved,accepted
emon793hoky.online,emon793hoky.online,104.21.56.131;172.67.151.102;2606:4700:3030::6815:3883;2606:4700:3030::ac43:9766,resolved,accepted
bexarcasino.space,bexarcasino.space,104.21.43.14;172.67.215.214;2606:4700:3033::6815:2b0e;2606:4700:3037::ac43:d7d6,resolved,accepted
crplasticos.com.br,crplasticos.com.br,104.16.36.105;104.16.42.105;104.19.240.93;104.19.241.93,resolved,accepted
connect2people360x.info,connect2people360x.info,104.21.21.88;172.67.197.82;2606:4700:3030::ac43:c552;2606:4700:3032::6815:1558,resolved,accepted
daisyfrost.com,daisyfrost.com,13.248.243.5;76.223.105.230,resolved,accepted
rjpnbv.com,rjpnbv.com,,no_records,rejected
nmjiaojinginc.shop,nmjiaojinginc.shop,176.123.2.53,resolved,accepted
djgekcf.icu,djgekcf.icu,47.239.92.193,resolved,accepted
joel-angelina-wedding.com,joel-angelina-wedding.com,216.198.79.1,resolved,accepted
aithink.world,aithink.world,,no_records,rejected
tuterrenoenchile.cl,tuterrenoenchile.cl,75.119.200.26,resolved,accepted
optimacapitalvc.com,optimacapitalvc.com,107.180.116.32,resolved,accepted
cifibiu.pro,cifibiu.pro,104.21.50.9;172.67.198.181;2606:4700:3032::ac43:c6b5;2606:4700:3034::6815:3209,resolved,accepted
tutera.ru,tutera.ru,72.56.4.24,resolved,accepted
777gvipclub.com,777gvipclub.com,104.21.8.71;172.67.156.233;2606:4700:3031::6815:847;2606:4700:3034::ac43:9ce9,resolved,accepted
5500betsk.com,5500betsk.com,104.21.39.157;172.67.146.184;2606:4700:3030::6815:279d;2606:4700:3037::ac43:92b8,resolved,accepted
ventajp.com,ventajp.com,52.223.13.41,resolved,accepted
eatalymarket.shop,eatalymarket.shop,104.21.24.3;172.67.214.193;2606:4700:3031::6815:1803;2606:4700:3037::ac43:d6c1,resolved,accepted
vipslot.casino,vipslot.casino,104.21.38.249;172.67.168.217;2606:4700:3031::6815:26f9;2606:4700:3032::ac43:a8d9,resolved,accepted
e7v7c6y.com,e7v7c6y.com,104.18.36.110;172.64.151.146;2606:4700:8dd3:3eab:c2c5:0:5b4e:2995,resolved,accepted
hollandgroupandassociates.com,hollandgroupandassociates.com,13.248.243.5;76.223.105.230,resolved,accepted
5ggnp.buzz,5ggnp.buzz,54.215.31.113,resolved,accepted
hysefo.com,hysefo.com,52.20.84.62,resolved,accepted
hgi5z6n1d.vip,hgi5z6n1d.vip,213.176.99.6;38.47.158.248;65.181.135.72,resolved,accepted
soilandturfconsulting.com,soilandturfconsulting.com,13.248.243.5;76.223.105.230,resolved,accepted
hraihpsa.ca,hraihpsa.ca,160.153.0.159,resolved,accepted
rosastoneeg.com,rosastoneeg.com,2607:f1c0:100f:f000::200;74.208.236.58,resolved,accepted
pornmega18.xyz,pornmega18.xyz,,timeout,rejected
slexironphdrexox.world,slexironphdrexox.world,104.21.60.95;172.67.195.129;2606:4700:3032::6815:3c5f;2606:4700:3032::ac43:c381,resolved,accepted
parquebatweania.com,parquebatweania.com,64.29.17.1;64.29.17.65,resolved,accepted
tonerrefillstoreho.shop,tonerrefillstoreho.shop,,no_records,rejected
alyxara.com,alyxara.com,2.57.91.91,resolved,accepted
outergood.ru,outergood.ru,104.21.80.179;172.67.152.182;2606:4700:3033::ac43:98b6;2606:4700:3034::6815:50b3,resolved,accepted
kirin77.site,kirin77.site,104.21.45.59;172.67.210.106;2606:4700:3030::6815:2d3b;2606:4700:3033::ac43:d26a,resolved,accepted
ybiscom.fr,ybiscom.fr,2001:8d8:100f:f000::200;217.160.0.184,resolved,accepted
manto90.store,manto90.store,185.158.133.1,resolved,accepted
aifinance.global,aifinance.global,104.21.39.149;172.67.170.210;2606:4700:3037::6815:2795;2606:4700:3037::ac43:aad2,resolved,accepted
71042.vip,71042.vip,35.201.247.249,resolved,accepted
navaitour.online,navaitour.online,95.163.244.138,resolved,accepted
app-mkwangzhi.com,app-mkwangzhi.com,,no_records,rejected
abx5n1n7.cc,abx5n1n7.cc,147.161.37.61,resolved,accepted
tutu-and-tiaras.com,tutu-and-tiaras.com,15.197.148.33;3.33.130.190,resolved,accepted
moisesdevweb.com,moisesdevweb.com,64.29.17.1;64.29.17.65,resolved,accepted
americanexpress-reward00175.ink,americanexpress-reward00175.ink,34.106.190.115,resolved,accepted
flydownloads.space,flydownloads.space,104.21.62.93;172.67.222.115;2606:4700:3032::6815:3e5d;2606:4700:3037::ac43:de73,resolved,accepted
s-s-a.us,s-s-a.us,162.255.119.81,resolved,accepted
zrsanalyst.com,zrsanalyst.com,216.150.1.1,resolved,accepted
aetyk.cc,aetyk.cc,5.181.177.186;92.112.127.137,resolved,accepted
web365daftar.com,web365daftar.com,104.21.10.216;172.67.131.188;2606:4700:3035::6815:ad8;2606:4700:3035::ac43:83bc,resolved,accepted
