input_position,input_url,normalized_url,source_workbook,best_entity,best_matching_domain,lexical_score,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,deep_analysis_candidate,deep_analysis_dns_accepted,deep_analysis_attempted,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,confidence_band,best_score,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,reason,exclusion_stage
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtel.in,0.875,True,True,True,False,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,0,False,False,airtel-merchants.club,,0,False,dns_not_mapped_lexical_hit,False,False,False,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-merchants.club,,,,,0.0,False,False,False,,dns_not_mapped_lexical_passthrough,,dns_not_mapped_lexical_hit,stage1_http
2,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtel.in,0.9714,True,True,True,False,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,0,False,False,airtele.xyz,,0,False,dns_not_mapped_lexical_hit,False,False,False,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtele.xyz,,,,,0.0,False,False,False,,dns_not_mapped_lexical_passthrough,,dns_not_mapped_lexical_hit,stage1_http
3,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,parivahan sewa,parivahan.gov.in,0.9474,True,True,True,False,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,0,False,False,paarivahan.com,,0,False,dns_not_mapped_lexical_hit,False,False,False,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for paarivahan.com,,,,,0.0,False,False,False,,dns_not_mapped_lexical_passthrough,,dns_not_mapped_lexical_hit,stage1_http
4,airtell.ai,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtel.in,0.9714,True,True,True,False,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,0,False,False,airtell.ai,,114,False,stage1_low_suspicion,False,False,False,resolved,accepted,fetched,available,,,https://airtell.ai,,,Medium,69.3878,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
5,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Axis Bank,axismf.com,0.8476,True,True,False,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,axisupi.com,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""commit""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
6,uidaiaadhardownload.com,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,0.8526,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,1,False,False,uidaiaadhardownload.com,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://uidaiaadhardownload.com/,,,High,85.2632,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
7,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,State Bank of India (SBI),sbicard.com,0.85,True,True,True,False,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,0,False,False,sbireward.com,,0,False,dns_not_mapped_lexical_hit,False,False,False,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbireward.com,,,,,0.0,False,False,False,,dns_not_mapped_lexical_passthrough,,dns_not_mapped_lexical_hit,stage1_http
8,airtel-zungusha.lol,https://airtel-zungusha.lol,AIGR-S66270_Ground_Truth.xlsx,Airtel,airtel.in,0.88,True,True,True,False,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,0,False,False,airtel-zungusha.lol,,0,False,dns_not_mapped_lexical_hit,False,False,False,no_answer,filtered,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-zungusha.lol,,,,,0.0,False,False,False,,dns_not_mapped_lexical_passthrough,,dns_not_mapped_lexical_hit,stage1_http
9,airtelmetaverse.com,https://airtelmetaverse.com,AIGR-S66270_Ground_Truth.xlsx,Airtel,airtel.in,0.88,True,True,True,False,8,0,0,6,14,False,redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,0,False,False,airtelmetaverse.com,,114,False,stage1_low_suspicion,False,False,False,resolved,accepted,fetched,available,,,https://airtelmetaverse.com,,,Low,62.8571,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
10,incometaxgov.info,https://incometaxgov.info,AIGR-S66270_Ground_Truth.xlsx,Income Tax Department,incometaxindia.gov.in,0.8786,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,incometaxgov.info,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://incometaxgov.info/ | Call log: - navigating to ""https://incometaxgov.info/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
11,incometaxgov.org,https://incometaxgov.org,AIGR-S66270_Ground_Truth.xlsx,Income Tax Department,incometaxindia.gov.in,0.8786,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,incometaxgov.org,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://incometaxgov.org/,,,Low,62.7551,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
12,crsor.info,https://crsor.info,AIGR-S66270_Ground_Truth.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.9429,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,crsor.info,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://crsor.info/,,,High,94.2857,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
13,domain,https://domain,urls.xlsx,National Informatics Centre (NIC),kavach.mail.gov.in,0.75,False,False,False,True,0,0,0,0,0,False,dns_gate_inactive,False,False,False,0,0,0,False,False,domain,,0,False,dns_gate_inactive,False,False,False,no_answer,filtered,dns_inactive,not_attempted,dns_gate_no_answer,no A/AAAA answers for domain,,,,,0.0,False,False,False,,,dns_gate_inactive,dns_gate_inactive,stage1_http
14,jardines10.com,https://jardines10.com,urls.xlsx,Airtel,airtel.in,0.7111,False,False,False,True,0,0,0,0,0,False,,False,False,False,0,0,0,False,False,,,0,False,stage1_low_suspicion,False,False,False,skipped,skipped,,not_attempted,,,,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
15,connectionsarchive.net,https://connectionsarchive.net,urls.xlsx,Coal India,coalindiatenders.nic.in,0.6944,False,False,False,True,0,0,0,0,0,False,,False,False,False,0,0,0,False,False,,,0,False,stage1_low_suspicion,False,False,False,skipped,skipped,,not_attempted,,,,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
16,web365daftar.com,https://web365daftar.com,urls.xlsx,BSE Ltd.,bsestarmf.in,0.6442,False,False,False,True,0,0,0,0,0,False,,False,False,False,0,0,0,False,False,,,0,False,stage1_low_suspicion,False,False,False,skipped,skipped,,not_attempted,,,,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
