target_url,source_workbook,hostname,resolved_ips,dns_answer_count,first_resolved_ip,asn,asn_org,country,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
https://aiindia.info,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,aiindia.info,198.54.125.61,1,198.54.125.61,22612,NAMECHEAP-NET,US,resolved,accepted,1,0,False,default
ptntbq.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,ptntbq.makeup,,0,,,,,dns_error,rejected,1,0,False,default
homenestai.live,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,homenestai.live,104.21.5.115;172.67.133.94;2606:4700:3031::6815:573;2606:4700:3034::ac43:855e,4,104.21.5.115,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
nrsu.pro,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,nrsu.pro,161.97.164.68,1,161.97.164.68,51167,Contabo GmbH,FR,resolved,accepted,1,0,False,default
https://cloudforgesystems.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudforgesystems.com,52.222.169.122;52.222.169.15;52.222.169.25;52.222.169.6,4,52.222.169.122,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
cloudphotos.online,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudphotos.online,104.21.74.227;172.67.164.15;2606:4700:3030::ac43:a40f;2606:4700:3034::6815:4ae3,4,104.21.74.227,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
https://isharora.space,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,isharora.space,216.24.57.1,1,216.24.57.1,397273,RENDER,US,resolved,accepted,1,0,False,default
saac.one,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,saac.one,216.24.57.251;216.24.57.7,2,216.24.57.251,397273,RENDER,US,resolved,accepted,1,0,False,default
cloudcost.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudcost.store,52.42.218.90,1,52.42.218.90,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
http://nrs.guru,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,nrs.guru,44.227.65.245;44.227.76.166,2,44.227.65.245,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
http://cloud-aion.us,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloud-aion.us,104.21.94.76;172.67.220.232;2606:4700:3035::6815:5e4c;2606:4700:3035::ac43:dce8,4,104.21.94.76,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
https://cloudvpna.ink,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudvpna.ink,51.77.58.197,1,51.77.58.197,16276,OVH SAS,PL,resolved,accepted,1,0,False,default
https://mrbim.ca,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,mrbim.ca,15.197.148.33;3.33.130.190,2,15.197.148.33,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
indusinspection360.co.uk,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,indusinspection360.co.uk,68.65.122.84,1,68.65.122.84,22612,NAMECHEAP-NET,US,resolved,accepted,1,0,False,default
https://sacmap.art,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,sacmap.art,54.241.133.84,1,54.241.133.84,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
netxpend.net,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,netxpend.net,,0,,,,,no_records,rejected,1,0,False,default
industrialink.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,industrialink.store,,0,,,,,no_records,rejected,1,0,False,default
brissylife.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,brissylife.com,44.230.85.241;52.33.207.7,2,44.230.85.241,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
https://cloudbridge.systems,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudbridge.systems,13.248.243.5;76.223.105.230,2,13.248.243.5,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
http://cloudmigrate.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudmigrate.store,54.151.99.216,1,54.151.99.216,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
duedates.sa.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,duedates.sa.com,104.21.22.102;172.67.204.46;2606:4700:3035::ac43:cc2e;2606:4700:3037::6815:1666,4,104.21.22.102,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
cloudsonoai.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudsonoai.com,104.21.17.41;172.67.220.224;2606:4700:3032::6815:1129;2606:4700:3035::ac43:dce0,4,104.21.17.41,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
aidmini.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,aidmini.com,,0,,,,,no_records,rejected,1,0,False,default
ednuxxck.sa.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,ednuxxck.sa.com,104.21.33.175;172.67.147.170;2606:4700:3032::ac43:93aa;2606:4700:3036::6815:21af,4,104.21.33.175,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
incomeinsider.tv,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,incomeinsider.tv,15.197.225.128;3.33.251.168,2,15.197.225.128,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
https://clousten.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,clousten.com,104.21.37.169;172.67.210.195;2606:4700:3034::6815:25a9;2606:4700:3036::ac43:d2c3,4,104.21.37.169,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
homelandhome.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,homelandhome.org,,0,,,,,no_records,rejected,1,0,False,default
cloundxi.click,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloundxi.click,162.255.119.120,1,162.255.119.120,22612,NAMECHEAP-NET,US,resolved,accepted,1,0,False,default
https://colinha.ai,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,colinha.ai,104.21.12.101;172.67.152.22;2606:4700:3031::ac43:9816;2606:4700:3032::6815:c65,4,104.21.12.101,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
cloudavaiation.in,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudavaiation.in,185.158.133.1,1,185.158.133.1,13335,CLOUDFLARENET,DE,resolved,accepted,1,0,False,default
ciic.uno,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,ciic.uno,145.79.210.228;2a02:4780:11:2090:0:26f1:2dc9:10,2,145.79.210.228,47583,Hostinger International Limited,IN,resolved,accepted,1,0,False,default
https://online-melbet.cyou,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,online-melbet.cyou,104.21.14.4;172.67.133.150;2606:4700:3034::6815:e04;2606:4700:3035::ac43:8596,4,104.21.14.4,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
https://axistrade.nl,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,axistrade.nl,2a02:4780:3f:2171:0:e48:1aaa:2;82.198.227.239,2,2a02:4780:3f:2171:0:e48:1aaa:2,47583,Hostinger International Limited,DE,resolved,accepted,1,0,False,default
cloudhillresort.online,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,cloudhillresort.online,,0,,,,,dns_error,rejected,1,0,False,default
onlinestore.click,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,onlinestore.click,,0,,,,,no_records,rejected,1,0,False,default
icirusa.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,icirusa.org,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,4,198.185.159.144,53831,SQUARESPACE,US,resolved,accepted,1,0,False,default
https://air38.net,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,air38.net,104.21.61.58;172.67.206.184;2606:4700:3030::6815:3d3a;2606:4700:3035::ac43:ceb8,4,104.21.61.58,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
https://rbet.live,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,rbet.live,13.248.169.48;76.223.54.146,2,13.248.169.48,16509,AMAZON-02,US,resolved,accepted,1,0,False,default
tinyvip5a.sa.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,tinyvip5a.sa.com,104.21.64.54;172.67.176.94;2606:4700:3037::6815:4036;2606:4700:3037::ac43:b05e,4,104.21.64.54,13335,CLOUDFLARENET,,resolved,accepted,1,0,False,default
