Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Sandbox Verdict,Sandbox Reason,Remarks
ISS_NLP,Banking/Financial,onlinecasinosmac.com,corp.onlinesbi.sbi/corporate,State Bank of India (SBI),Legitimate,2013-09-03T17:24:46Z,Key-Systems GmbH,NA,NA,ISHAAN.NS.CLOUDFLARE.COM;LEIA.NS.CLOUDFLARE.COM,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\SBI_onlinecasinosmac.com_1.pdf,28-02-2026,16:59:19,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Banking/Financial,axispaving.com,axis.bank.in,Axis Bank,Suspected,2022-09-12T03:26:17Z,"NameCheap, Inc.",NA,NA,DNS1.NAMECHEAPHOSTING.COM;DNS2.NAMECHEAPHOSTING.COM,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\Axis_axispaving.com_2.pdf,28-02-2026,16:59:19,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,sixirss.xyz,iirs.gov.in,Indian Space Research Organisation (ISRO),Legitimate,2026-02-21T06:03:36.0Z,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),NA,NA,gina.ns.cloudflare.com;phil.ns.cloudflare.com,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\ISRO_sixirss.xyz_3.pdf,28-02-2026,16:59:20,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Banking/Financial,panbe.online,pnb.bank.in,Punjab National Bank (PNB),Legitimate,2026-02-21T01:53:49.0Z,"Spaceship, Inc.",NA,NA,chloe.ns.cloudflare.com;rustam.ns.cloudflare.com,NA,NA,NA,NA,PS-02_ISS_NLP_Evidences\PNB_panbe.online_4.pdf,28-02-2026,16:59:40,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloud9thc.com,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2019-02-14T07:43:28Z,"GoDaddy.com, LLC",NA,NA,NS75.DOMAINCONTROL.COM;NS76.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,NA,PS-02_ISS_NLP_Evidences\NIC_cloud9thc.com_5.pdf,28-02-2026,16:59:40,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloud-myapple.net,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2026-02-20T00:13:11Z,Atak Domain Bilgi Teknolojileri A.S.,NA,NA,P1.ATAKDOMAIN.COM;P2.ATAKDOMAIN.COM,185.46.40.240,Atak Domain Bilgi Teknolojileri A.S.,TR,A:185.46.40.240;NS:p2.atakdomain.com.;NS:p1.atakdomain.com.,PS-02_ISS_NLP_Evidences\NIC_cloud-myapple.net_6.pdf,28-02-2026,16:59:47,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,buildaion.site,uidai.gov.in,Unique Identification Authority of India (UIDAI),Legitimate,2026-02-21T17:41:00.0Z,"Spaceship, Inc.",NA,NA,fay.ns.cloudflare.com;rommy.ns.cloudflare.com,172.67.207.174,CLOUDFLARENET,NA,NA,PS-02_ISS_NLP_Evidences\UIDAI_buildaion.site_7.pdf,28-02-2026,16:59:47,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Unknown,aisimps.com,aiims.edu,All India Institute of Medical Sciences (AIIMS),Legitimate,2025-08-25T15:18:35Z,"GoDaddy.com, LLC",NA,NA,NS3.AFTERNIC.COM;NS4.AFTERNIC.COM,76.223.54.146,AMAZON-02,US,A:13.248.169.48;A:76.223.54.146;NS:ns3.afternic.com.;NS:ns4.afternic.com.;MX:0 .,PS-02_ISS_NLP_Evidences\AIIMS_aisimps.com_8.pdf,28-02-2026,16:59:57,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Telecom,airwaterclub.com,airtel.in,Airtel,Suspected,2010-05-25T11:32:40Z,OVH sas,NA,NA,DNS16.OVH.NET;NS16.OVH.NET,213.186.33.18,OVH SAS,FR,A:213.186.33.18;NS:dns16.ovh.net.;NS:ns16.ovh.net.;MX:5 mx2.ovh.net.;MX:100 mxb.ovh.net.;MX:1 mx1.ovh.net.,PS-02_ISS_NLP_Evidences\Airtel_airwaterclub.com_9.pdf,28-02-2026,16:59:57,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Telecom,air-teo.com,airtel.in,Airtel,Legitimate,2026-02-21T14:35:06Z,IONOS SE,NA,NA,NS1057.UI-DNS.DE;NS1084.UI-DNS.BIZ;NS1099.UI-DNS.COM;NS1101.UI-DNS.ORG,103.169.142.0,"Cloudflare London, LLC",AU,NA,PS-02_ISS_NLP_Evidences\Airtel_air-teo.com_10.pdf,28-02-2026,17:00:07,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,55ac.link,sac.gov.in,Indian Space Research Organisation (ISRO),Legitimate,2026-02-14T07:58:13.157Z,Gname.com Pte. Ltd.,NA,NA,aragorn.ns.cloudflare.com;georgia.ns.cloudflare.com,172.67.211.194,CLOUDFLARENET,NA,A:172.67.211.194;A:104.21.85.223;NS:aragorn.ns.cloudflare.com.;NS:georgia.ns.cloudflare.com.,PS-02_ISS_NLP_Evidences\ISRO_55ac.link_11.pdf,28-02-2026,17:00:14,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Telecom,airtel-merchants.club,airtel.in,Airtel,Suspected,2026-02-14T11:45:51Z,"GoDaddy.com, LLC",,NA,ns71.domaincontrol.com;ns72.domaincontrol.com,184.168.99.100,AS-26496-GO-DADDY-COM-LLC,SG,A:184.168.99.100;NS:ns72.domaincontrol.com.;NS:ns71.domaincontrol.com.,PS-02_ISS_NLP_Evidences\Airtel_airtel-merchants.club_12.pdf,28-02-2026,17:00:14,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Government,cloud-therapist.com,cloud.gov.in,National Informatics Centre (NIC),Legitimate,2023-02-18T18:01:03Z,Hosting Concepts B.V. d/b/a Registrar.eu,NA,NA,NS1.CLOUD86.NL;NS2.CLOUD86.NL;NS3.CLOUD86.EU,45.82.188.122,Duocast B.V.,NL,A:45.82.188.122;NS:ns3.cloud86.eu.;NS:ns2.cloud86.nl.;NS:ns1.cloud86.nl.;MX:10 cloud-therapist.com.,PS-02_ISS_NLP_Evidences\NIC_cloud-therapist.com_13.pdf,28-02-2026,17:00:23,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Unknown,reyit.com,rebit.org.in,Reserve Bank of India (RBI),Suspected,2025-02-18T17:25:55Z,Dynadot Inc,NA,NA,NS1.ATOM.COM;NS2.ATOM.COM,52.20.84.62,AMAZON-AES,US,A:52.20.84.62;NS:ns2.atom.com.;NS:ns1.atom.com.,PS-02_ISS_NLP_Evidences\RBI_reyit.com_14.pdf,28-02-2026,17:00:23,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
ISS_NLP,Banking/Financial,homegrowncigars.com,homeloans.sbi,State Bank of India (SBI),Legitimate,2002-05-15T20:05:07Z,"GoDaddy Corporate Domains, LLC",NA,NA,NS09.GCD-DNS.COM;NS10.GCD-DNS.COM,99.83.188.150,AMAZON-02,US,A:75.2.103.146;A:99.83.188.150;NS:ns09.gcd-dns.com.;NS:ns10.gcd-dns.com.;MX:0 smtp.secureserver.net.;MX:10 mailstore1.secureserver.net.,PS-02_ISS_NLP_Evidences\SBI_homegrowncigars.com_15.pdf,28-02-2026,17:00:23,NA,INCONCLUSIVE,Not scanned (unreachable),NA values are due to privacy issues.
