"emitted_at","stage_name","UsedCPU","Backlog"
"2026-04-14T18:05:46+00:00","shortlist",,
"2026-04-14T18:05:51+00:00","shortlist",,
"2026-04-14T18:05:56+00:00","shortlist",,
"2026-04-14T18:06:01+00:00","shortlist",,
"2026-04-14T18:06:06+00:00","shortlist",,
"2026-04-14T18:06:12+00:00","shortlist",,
"2026-04-14T18:06:17+00:00","shortlist",,
"2026-04-14T18:06:22+00:00","shortlist",,
"2026-04-14T18:06:32+00:00","shortlist",,
"2026-04-14T18:06:42+00:00","shortlist",,
"2026-04-14T18:06:52+00:00","shortlist",,
"2026-04-14T18:07:02+00:00","shortlist",,
"2026-04-14T18:07:07+00:00","shortlist",,
"2026-04-14T18:07:12+00:00","shortlist",,
"2026-04-14T18:07:17+00:00","shortlist",,
"2026-04-14T18:07:22+00:00","shortlist",,
"2026-04-14T18:07:27+00:00","shortlist",,
"2026-04-14T18:07:32+00:00","shortlist",,
"2026-04-14T18:07:37+00:00","shortlist",,
"2026-04-14T18:07:42+00:00","shortlist",,
"2026-04-14T18:07:47+00:00","shortlist",,
"2026-04-14T18:07:52+00:00","shortlist",,
"2026-04-14T18:08:05+00:00","classify",,
"2026-04-14T18:08:10+00:00","classify",,
"2026-04-14T18:08:15+00:00","classify",,
"2026-04-14T18:08:20+00:00","classify",,
"2026-04-14T18:08:25+00:00","classify",,
"2026-04-14T18:08:30+00:00","classify",,
"2026-04-14T18:08:35+00:00","classify",,
"2026-04-14T18:08:40+00:00","classify",,
"2026-04-14T18:08:45+00:00","classify",,
"2026-04-14T18:08:50+00:00","classify",,
"2026-04-14T18:08:55+00:00","classify",,
