Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
National Informatics Centre (NIC),accounts.mgovcloud.in,https://crplasticos.com.br,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.645,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://crplasticos.com.br,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,crplasticos.com.br,de2168ace9cf472f67dc72bf48c860a9.cdn.bubble.io,15514,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://yataganharem5.click,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.6316,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yataganharem5.click,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,yataganharem5.click,,4104,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://swiftdrops.store,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.6444,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://swiftdrops.store,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,swiftdrops.store,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://secure-kyc.com,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.6282,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://secure-kyc.com,,,,,,,,False,28,0,6,0,34,False,title_brand_match|body_brand_match|suspicious_hosting_provider,False,False,False,1,0,secure-kyc.com,,104,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://my-auth23948.com,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.5833,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://my-auth23948.com,,,,,,,,False,40,2,0,0,42,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match|multi_input_form,False,False,False,1,0,my-auth23948.com,my-auth23948.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Vodafone Idea (VI),myvi.in,https://lml2vipaff05.cc,urls.xlsx|123456.xlsx,0.0,Low,,weak_evidence,0.6667,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://lml2vipaff05.cc/login,,,,,,,,False,0,32,0,6,38,False,password_field|login_form|auth_wording|multi_input_form|js_redirect,True,True,False,0,1,lml2vipaff05.cc,lmspeed.co,15300,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://farmingtonheating.com,123456.xlsx,0.0,Low,,weak_evidence,0.6563,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://farmingtonheating.com,,,,,,,,False,28,0,3,0,31,False,title_brand_match|body_brand_match|suspicious_certificate,False,False,False,1,0,farmingtonheating.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://martincalvo.com,123456.xlsx,0.0,Low,,weak_evidence,0.696,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.martincalvo.com/,,,,,,,,False,40,0,0,0,40,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match,False,False,False,1,1,www.martincalvo.com,www.martincalvo.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://gzpgart.com,123456.xlsx,0.0,Low,,weak_evidence,0.5873,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gzpgart.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,gzpgart.com,,146,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://nicole-davidow.com,123456.xlsx,0.0,Low,,weak_evidence,0.8167,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://nicole-davidow.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,nicole-davidow.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
