Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Income Tax Department,incometaxindia.gov.in,https://incometaxgov.org,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,47.0663,Low,47.0663,weak_evidence,0.8786,0.8786,0.6923,0.6923,True,False,jw_primary,lexical,False,weak_direct_evidence|network_corroboration,,True,Income Tax Department,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://incometaxgov.org/,,,,47.0663,26.3571,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,incometaxgov.org,,0,True,lexical_hit,0.6923,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\incometaxgov.org.png,,
Bank of Baroda,onlinecasa.bankofbaroda.com,https://bankofaemrica.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,60.5769,Low,60.5769,weak_evidence,0.8885,0.8885,0.72,0.75,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Bank of Baroda,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://bankofaemrica.com/,,,,60.5769,26.6538,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,bankofaemrica.com,,0,True,lexical_hit,0.75,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\bankofaemrica.com.png,fortinet secure dns service portal,fortinet secure dns service portal web page blocked!
State Bank of India (SBI),homeloans.sbi,https://homestylenagavci.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,58.1439,Low,58.1439,weak_evidence,0.8528,0.8528,0.48,0.48,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://homestylenagavci.com/,,,,58.1439,25.5833,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,homestylenagavci.com,,0,True,lexical_hit,0.48,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\homestylenagavci.com.png,fortinet secure dns service portal,fortinet secure dns service portal web page blocked!
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,58.134,Low,58.134,weak_evidence,0.8526,0.8526,0.4167,0.4167,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://uidaiaadhardownload.com/,,,,58.134,25.5789,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.4167,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\uidaiaadhardownload.com.png,web filter block override,web filter block override fortiguard intrusion prevention - access blocked web page blocked you have tried to access a web page which is in violation of your internet usage policy. to have the rating of this web page re-evaluated please click here.
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://bujidaji.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,59.6591,Low,59.6591,weak_evidence,0.875,0.875,0.7692,0.7692,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://bujidaji.com/,,,,59.6591,26.25,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,bujidaji.com,,0,True,lexical_hit,0.7692,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\bujidaji.com.png,fortinet secure dns service portal,fortinet secure dns service portal web page blocked!
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,https://crsor.info,AIGR-S66270_Ground_Truth.xlsx,64.2857,Low,64.2857,weak_evidence,0.9429,0.9429,0.8333,0.8333,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Civil Registration System, MHA (RGCCI)",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://crsor.info/,,,,64.2857,28.2857,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,crsor.info,,0,True,lexical_hit,0.8333,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\crsor.info.png,fortinet secure dns service portal,fortinet secure dns service portal web page blocked!
Airtel,airtel.in,https://airtelmetaverse.com,AIGR-S66270_Ground_Truth.xlsx|PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,47.1429,Low,47.1429,weak_evidence,0.88,0.88,0.5714,0.5714,True,False,jw_primary,lexical,False,weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://airtelmetaverse.com/lander,,,,47.1429,26.4,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtelmetaverse.com,,0,True,lexical_hit,0.5714,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\airtelmetaverse.com.png,403 forbidden,403 forbidden 403 forbidden
Election Commision of India (ECI),eci.gov.in,https://etclij.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,57.9545,Low,57.9545,weak_evidence,0.85,0.85,0.6667,0.6667,True,False,jw_primary,lexical,False,weak_direct_evidence|network_corroboration,,True,Election Commision of India (ECI),True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://etclij.com/,,,,57.9545,25.5,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,etclij.com,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\etclij.com.png,fortinet secure dns service portal,fortinet secure dns service portal web page blocked!
State Bank of India (SBI),corp.onlinesbi.sbi,http://online-storeoficial.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,58.7719,Low,58.7719,weak_evidence,0.862,0.862,0.5714,0.5714,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,http://online-storeoficial.com/,,,,58.7719,25.8596,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,online-storeoficial.com,,0,True,lexical_hit,0.5714,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\online-storeoficial.com.png,web filter block override,web filter block override fortiguard intrusion prevention - access blocked web page blocked you have tried to access a web page which is in violation of your internet usage policy. to have the rating of this web page re-evaluated please click here.
State Bank of India (SBI),corp.onlinesbi.sbi,http://onlinetoolssarvice.store,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.5926,0.5926,True,False,jw_primary,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,http://onlinetoolssarvice.store/,,,,59.0909,26.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinetoolssarvice.store,,0,True,lexical_hit,0.5926,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\onlinetoolssarvice.store.png,web filter block override,web filter block override fortiguard intrusion prevention - access blocked web page blocked you have tried to access a web page which is in violation of your internet usage policy. to have the rating of this web page re-evaluated please click here.
