input_position,input_url,normalized_url,source_workbook,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_matching_domain,best_score,confidence_band,lexical_score,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,clip_similarity,typo_similarity,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,domain_component,clip_component,hash_component
3866,onlinehafizlik.com,https://onlinehafizlik.com,123456.xlsx,no_records,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.8556,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinehafizlik.com,,0,True,lexical_hit,0.0,0.6087,False,0,False,False,0.0,0.0,0.0
4461,paraka.com,https://paraka.com,123456.xlsx,resolver_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,parivahan sewa,True,True,True,False,,,jw_primary,parivahan sewa,parivahan.gov.in,0.0,,0.8574,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,paraka.com,,0,True,lexical_hit,0.0,0.6667,False,0,False,False,0.0,0.0,0.0
4747,industrialdesignasia.com,https://industrialdesignasia.com,123456.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,IndusInd Bank,True,True,True,False,,,jw_primary,IndusInd Bank,indusind.bank.in,0.0,,0.855,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,industrialdesignasia.com,,0,True,lexical_hit,0.0,0.5,False,0,False,False,0.0,0.0,0.0
5099,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),homeloans.sbi,0.0,,0.5026,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbi.com-kyc.net,,0,True,lexical_hit,0.0,0.25,False,0,False,False,0.0,0.0,0.0
5100,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary|skeleton_similarity,State Bank of India (SBI),corp.onlinesbi.sbi,0.0,,0.9481,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onl1nesbi.sbi,,0,True,lexical_hit,0.0,0.9189,False,0,False,False,0.0,0.0,0.0
5101,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),onlinesbi.sbi.bank.in,0.0,,0.6341,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinesbi.sbi.update-rewards.xyz,,0,True,lexical_hit,0.0,0.6341,False,0,False,False,0.0,0.0,0.0
5102,sbi-secure-login.com,https://sbi-secure-login.com,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),sbisecurities.in,0.0,,0.8353,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbi-secure-login.com,,0,True,lexical_hit,0.0,0.6207,False,0,False,False,0.0,0.0,0.0
5105,sbi.co.in.login.banking-services.net/234/redirect,https://sbi.co.in.login.banking-services.net/234/redirect,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),sbisecurities.in,0.0,,0.7051,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbi.co.in.login.banking-services.net,,0,True,lexical_hit,0.0,0.5517,False,0,False,False,0.0,0.0,0.0
5112,icici-bank-support.in,https://icici-bank-support.in,123456.xlsx|urls.xlsx,dns_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,ICICI Bank,True,True,True,False,,,brand_token_match|jw_primary,ICICI Bank,icici.bank.in,0.0,,0.8556,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,icici-bank-support.in,,0,True,lexical_hit,0.0,0.4348,False,0,False,False,0.0,0.0,0.0
5114,pnb-india.in,https://pnb-india.in,123456.xlsx|urls.xlsx,resolver_error,rejected,,not_attempted,,,,,,,False,False,False,,,dns_rejected,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,Punjab National Bank (PNB),pnbindia.in,0.0,,0.9741,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,pnb-india.in,,0,True,lexical_hit,0.0,0.9712,False,0,False,False,0.0,0.0,0.0
