input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,final_landing_url,parking_provider,parking_reason,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
8,pnbindia-services.com,https://pnbindia-services.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary,Punjab National Bank (PNB),0.0,,0.8941,0.0,0.64,0.0,0.0,0.0
9,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,dns_error,rejected,,,,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.5026,0.0,0.25,0.0,0.0,0.0
13,pnbindia-kyd.com,https://pnbindia-kyd.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary,Punjab National Bank (PNB),0.0,,0.9333,0.0,0.8,0.0,0.0,0.0
67,pnb-india.in,https://pnb-india.in,resolver_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,Punjab National Bank (PNB),0.0,,0.9741,0.0,0.9712,0.0,0.0,0.0
68,pnblndia.in,https://pnblndia.in,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary|skeleton_similarity,Punjab National Bank (PNB),0.0,,0.9083,0.0,0.905,0.0,0.0,0.0
72,sbi-secure-login.com,https://sbi-secure-login.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.8353,0.0,0.6207,0.0,0.0,0.0
77,icici-bank-support.in,https://icici-bank-support.in,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,ICICI Bank,True,True,True,False,,,brand_token_match|jw_primary,ICICI Bank,0.0,,0.8556,0.0,0.4348,0.0,0.0,0.0
96,pnb-netbanking.net,https://pnb-netbanking.net,dns_error,rejected,,,,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,Punjab National Bank (PNB),0.0,,0.8167,0.0,0.3529,0.0,0.0,0.0
97,sbi.co.in.login.banking-services.net/234/redirect,https://sbi.co.in.login.banking-services.net/234/redirect,dns_error,rejected,,,,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.7051,0.0,0.5517,0.0,0.0,0.0
101,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary|skeleton_similarity,State Bank of India (SBI),0.0,,0.9481,0.0,0.9189,0.0,0.0,0.0
105,pnblndia.bank.in,https://pnblndia.bank.in,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,jw_primary,Punjab National Bank (PNB),0.0,,0.9083,0.0,0.875,0.0,0.0,0.0
135,airtel-merchants.club,https://airtel-merchants.club,no_records,rejected,,,,,False,dns_gate,dns_rejected,True,Airtel,True,True,True,False,,,brand_token_match|jw_primary,Airtel,0.0,,0.9048,0.0,0.7333,0.0,0.0,0.0
142,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,dns_error,rejected,,,,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.6341,0.0,0.6341,0.0,0.0,0.0
158,sbireward.com,https://sbireward.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),0.0,,0.85,0.0,0.78,0.0,0.0,0.0
192,paarivahan.com,https://paarivahan.com,dns_error,rejected,,,,,False,dns_gate,dns_rejected,True,parivahan sewa,True,True,True,False,,,jw_primary|token_set_primary|skeleton_similarity|host_similarity,parivahan sewa,0.0,,0.9474,0.0,0.9474,0.0,0.0,0.0
