Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Unknown,https://camsclearing.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),Suspected,2025-02-26T06:35:47Z,"GoDaddy.com, LLC",NA,NA,NS31.DOMAINCONTROL.COM;NS32.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns32.domaincontrol.com.;NS:ns31.domaincontrol.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://homefpl.com,homeloans.sbi,State Bank of India (SBI),Suspected,2018-02-26T21:05:53Z,"GoDaddy.com, LLC",NA,NA,NS09.DOMAINCONTROL.COM;NS10.DOMAINCONTROL.COM,15.197.148.33,AMAZON-02,US,A:15.197.148.33;A:3.33.130.190;NS:ns10.domaincontrol.com.;NS:ns09.domaincontrol.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://abdelmunaim.com,abdm.gov.in,National Health Authority (NHA),Suspected,2025-02-05T16:01:05Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,2.57.91.91,Hostinger International Limited,LT,A:2.57.91.91;NS:ns1.dns-parking.com.;NS:ns2.dns-parking.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://rbillman.com,rbi.org.in,Reserve Bank of India (RBI),Suspected,2025-02-26T21:08:48Z,"NameCheap, Inc.",NA,NA,DNS1.REGISTRAR-SERVERS.COM;DNS2.REGISTRAR-SERVERS.COM,63.34.15.44,AMAZON-02,IE,A:63.34.15.44;NS:dns2.registrar-servers.com.;NS:dns1.registrar-servers.com.;MX:10 eforward1.registrar-servers.com.;MX:10 eforward3.registrar-servers.com.;MX:15 eforward4.registrar-servers.com.;MX:20 eforward5.registrar-servers.com.;MX:10 eforward2.registrar-servers.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudincltd.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2020-02-26T23:42:56Z,"GoDaddy.com, LLC",NA,NA,NS11.DOMAINCONTROL.COM;NS12.DOMAINCONTROL.COM,3.33.130.190,AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns11.domaincontrol.com.;NS:ns12.domaincontrol.com.;MX:1 aspmx.l.google.com.;MX:10 alt3.aspmx.l.google.com.;MX:10 alt4.aspmx.l.google.com.;MX:5 alt1.aspmx.l.google.com.;MX:5 alt2.aspmx.l.google.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudplusplus-pro.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2025-02-28T13:37:48Z,"GoDaddy.com, LLC",NA,NA,NS65.DOMAINCONTROL.COM;NS66.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns66.domaincontrol.com.;NS:ns65.domaincontrol.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://agate-cloud.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2024-07-22T12:14:50Z,"GoDaddy.com, LLC",NA,NA,NS05.DOMAINCONTROL.COM;NS06.DOMAINCONTROL.COM,209.42.28.62,NA,GB,A:209.42.28.62;NS:ns05.domaincontrol.com.;NS:ns06.domaincontrol.com.;MX:20 mx2.zoho.in.;MX:10 mx.zoho.in.;MX:50 mx3.zoho.in.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Telecom,https://airtravelinindia.com,airtel.in,Airtel,Suspected,2010-02-26T08:21:28Z,"GoDaddy.com, LLC",NA,NA,NS65.DOMAINCONTROL.COM;NS66.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns66.domaincontrol.com.;NS:ns65.domaincontrol.com.,NA,03-04-2026,17:12:19,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://sewindian.com,bseindia.com,BSE Ltd.,Suspected,2023-02-26T16:33:28Z,"GoDaddy.com, LLC",NA,NA,NS11.DOMAINCONTROL.COM;NS12.DOMAINCONTROL.COM,3.33.130.190,AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns12.domaincontrol.com.;NS:ns11.domaincontrol.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://uparrow-mail.info,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2026-02-28T09:00:53.772Z,Porkbun LLC,NA,NA,tony.ns.cloudflare.com;romina.ns.cloudflare.com,172.67.137.135,CLOUDFLARENET,NA,A:172.67.137.135;A:104.21.78.212;NS:romina.ns.cloudflare.com.;NS:tony.ns.cloudflare.com.;MX:10 node3.uparrowagency.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudpride.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2015-02-26T16:30:31Z,"GoDaddy.com, LLC",NA,NA,NS65.DOMAINCONTROL.COM;NS66.DOMAINCONTROL.COM,15.197.225.128,AMAZON-02,US,A:15.197.225.128;A:3.33.251.168;NS:ns65.domaincontrol.com.;NS:ns66.domaincontrol.com.;MX:10 mailstore1.secureserver.net.;MX:0 smtp.secureserver.net.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://main-zlks.com,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2026-02-28T03:50:40Z,Unstoppable Domains Inc.,NA,NA,APRIL.NS.CLOUDFLARE.COM;DAMIEN.NS.CLOUDFLARE.COM,100.99.99.99,NA,NA,A:100.99.99.99;NS:damien.ns.cloudflare.com.;NS:april.ns.cloudflare.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://finsintech.com,kfintech.com,Kfintech,Suspected,2023-02-21T05:14:35Z,"GoDaddy.com, LLC",NA,NA,NS39.DOMAINCONTROL.COM;NS40.DOMAINCONTROL.COM,76.223.67.189,AMAZON-02,US,A:76.223.67.189;A:13.248.213.45;NS:ns40.domaincontrol.com.;NS:ns39.domaincontrol.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://indiandaz.com,indusind.bank.in,IndusInd Bank,Suspected,2026-02-28T17:20:43Z,"GoDaddy.com, LLC",NA,NA,NS07.DOMAINCONTROL.COM;NS08.DOMAINCONTROL.COM,216.198.79.1,AMAZON-02,US,A:216.198.79.1;NS:ns08.domaincontrol.com.;NS:ns07.domaincontrol.com.;MX:60 mxb.mailgun.org.;MX:60 mxa.mailgun.org.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://ampfintech.com,kfintech.com,Kfintech,Suspected,2024-09-27T19:59:20Z,Dynadot Inc,NA,NA,LAUNCH1.SPACESHIP.NET;LAUNCH2.SPACESHIP.NET,44.232.173.249,AMAZON-02,US,A:44.232.173.249;A:52.40.42.113;NS:launch2.spaceship.net.;NS:launch1.spaceship.net.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://fintechers.com,kfintech.com,Kfintech,Suspected,2023-06-18T00:12:03Z,Dynadot Inc,NA,NA,LAUNCH1.SPACESHIP.NET;LAUNCH2.SPACESHIP.NET,52.40.42.113,AMAZON-02,US,A:52.40.42.113;A:44.232.173.249;NS:launch2.spaceship.net.;NS:launch1.spaceship.net.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://spabid.com,sbi.co.in,State Bank of India (SBI),Suspected,2024-11-14T23:13:54Z,Porkbun LLC,NA,NA,NS1.AFTERNIC.COM;NS2.AFTERNIC.COM,76.223.54.146,AMAZON-02,US,A:76.223.54.146;A:13.248.169.48;NS:ns1.afternic.com.;NS:ns2.afternic.com.;MX:0 .,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://maxbilbow.com,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2007-03-25T12:25:18Z,"Cloudflare, Inc.",NA,NA,ABBY.NS.CLOUDFLARE.COM;NOAH.NS.CLOUDFLARE.COM,172.67.149.28,CLOUDFLARENET,NA,A:172.67.149.28;A:104.21.33.199;NS:abby.ns.cloudflare.com.;NS:noah.ns.cloudflare.com.;MX:10 mx02.mail.icloud.com.;MX:10 mx01.mail.icloud.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://bankofdigitaldollar.com,bankofbaroda.bank.in,Bank of Baroda,Suspected,2020-04-20T09:34:47Z,Epik LLC,NA,NA,NS1.DOMAINEASY.COM;NS2.DOMAINEASY.COM,15.197.228.149,AMAZON-02,US,A:15.197.228.149;A:3.33.165.172;NS:ns1.domaineasy.com.;NS:ns2.domaineasy.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudy96th.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2024-02-24T18:39:52Z,"GoDaddy.com, LLC",NA,NA,NS65.DOMAINCONTROL.COM;NS66.DOMAINCONTROL.COM,76.223.67.189,AMAZON-02,US,A:76.223.67.189;A:13.248.213.45;NS:ns66.domaincontrol.com.;NS:ns65.domaincontrol.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudhack.cloud,cloud.gov.in,National Informatics Centre (NIC),Suspected,2026-02-28T23:04:44.016Z,GoDaddy,NA,NA,ns07.domaincontrol.com;ns08.domaincontrol.com,3.33.130.190,AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns07.domaincontrol.com.;NS:ns08.domaincontrol.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://axishkg.com,axis.bank.in,Axis Bank,Suspected,2022-02-26T14:00:05Z,"GoDaddy.com, LLC",NA,NA,NS77.DOMAINCONTROL.COM;NS78.DOMAINCONTROL.COM,23.227.38.32,CLOUDFLARENET,CA,A:23.227.38.32;NS:ns78.domaincontrol.com.;NS:ns77.domaincontrol.com.;MX:0 smtp.secureserver.net.;MX:10 mailstore1.secureserver.net.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://mpsconline.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),Suspected,2025-02-28T04:04:57Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-EXPIRED.COM;NS2.DNS-EXPIRED.COM,2.57.91.92,Hostinger International Limited,LT,A:2.57.91.92;NS:ns2.dns-expired.com.;NS:ns1.dns-expired.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://parixitsanghani.com,parivahan.gov.in,parivahan sewa,Suspected,2026-02-28T09:21:02Z,"Cloudflare, Inc.",NA,NA,EMILY.NS.CLOUDFLARE.COM;MILES.NS.CLOUDFLARE.COM,185.199.109.153,FASTLY,US,A:185.199.109.153;A:185.199.111.153;A:185.199.108.153;A:185.199.110.153;NS:miles.ns.cloudflare.com.;NS:emily.ns.cloudflare.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://mailoasis2.com,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2025-02-27T13:14:58Z,"Spaceship, Inc.",NA,NA,LAUNCH1.SPACESHIP.NET;LAUNCH2.SPACESHIP.NET,100.99.99.99,NA,NA,A:100.99.99.99;NS:launch2.spaceship.net.;NS:launch1.spaceship.net.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://homeloanscore.com,homeloans.sbi,State Bank of India (SBI),Suspected,2025-01-16T19:05:22Z,"TurnCommerce, Inc. DBA NameBright.com",NA,NA,NSG1.NAMEBRIGHTDNS.COM;NSG2.NAMEBRIGHTDNS.COM,54.243.117.197,AMAZON-AES,US,A:54.243.117.197;A:13.223.25.84;NS:nsg2.namebrightdns.com.;NS:nsg1.namebrightdns.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://maninalto.com,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2017-02-28T12:46:25Z,Tucows Domains Inc.,NA,NA,DNS.TECHNORAIL.COM;DNS2.TECHNORAIL.COM;DNS3.ARUBADNS.NET;DNS4.ARUBADNS.CZ,62.149.189.54,Aruba S.p.A.,IT,A:62.149.189.54;NS:dns4.arubadns.cz.;NS:dns.technorail.com.;NS:dns2.technorail.com.;NS:dns3.arubadns.net.;MX:10 mx.maninalto.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://homebuildersofnc.com,homeloans.sbi,State Bank of India (SBI),Suspected,2023-02-26T04:51:25Z,"GoDaddy.com, LLC",NA,NA,NS19.DOMAINCONTROL.COM;NS20.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns20.domaincontrol.com.;NS:ns19.domaincontrol.com.,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://clouduniversal.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2008-02-27T14:16:47Z,"GoDaddy.com, LLC",NA,NA,NS1.AFTERNIC.COM;NS2.AFTERNIC.COM,13.248.169.48,AMAZON-02,US,A:13.248.169.48;A:76.223.54.146;NS:ns1.afternic.com.;NS:ns2.afternic.com.;MX:0 .,NA,03-04-2026,17:12:20,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://macnica-cloud.net,cloud.gov.in,National Informatics Centre (NIC),Suspected,2018-02-26T06:34:22Z,"GoDaddy.com, LLC",NA,NA,NS05.DOMAINCONTROL.COM;NS06.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns06.domaincontrol.com.;NS:ns05.domaincontrol.com.,NA,03-04-2026,17:12:21,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloudcarevoip.com,cloud.gov.in,National Informatics Centre (NIC),Suspected,2021-02-26T19:33:51Z,"GoDaddy.com, LLC",NA,NA,NS29.DOMAINCONTROL.COM;NS30.DOMAINCONTROL.COM,13.248.213.45,AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns30.domaincontrol.com.;NS:ns29.domaincontrol.com.,NA,03-04-2026,17:12:21,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://modrails.org,kavach.mail.gov.in,National Informatics Centre (NIC),Suspected,2008-03-19T21:56:49.608Z,"NameCheap, Inc.",NA,NA,dns1.registrar-servers.com;dns2.registrar-servers.com,139.162.170.178,Akamai Connected Cloud,DE,A:139.162.170.178;NS:dns2.registrar-servers.com.;NS:dns1.registrar-servers.com.;MX:10 eforward1.registrar-servers.com.;MX:15 eforward4.registrar-servers.com.;MX:20 eforward5.registrar-servers.com.;MX:10 eforward3.registrar-servers.com.;MX:10 eforward2.registrar-servers.com.,NA,03-04-2026,17:12:21,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Government,https://cloud.house,cloud.gov.in,National Informatics Centre (NIC),Suspected,2018-06-22T12:32:44.503Z,Dynadot Inc,NA,NA,ns1.afternic.com;ns2.afternic.com,13.248.169.48,AMAZON-02,US,A:13.248.169.48;A:76.223.54.146;NS:ns2.afternic.com.;NS:ns1.afternic.com.;MX:0 .,NA,03-04-2026,17:12:21,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://indusnov.com,indusind.bank.in,IndusInd Bank,Suspected,2009-02-26T09:46:15Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,34.120.137.41,GOOGLE-CLOUD-PLATFORM,US,A:34.120.137.41;NS:ns1.dns-parking.com.;NS:ns2.dns-parking.com.;MX:5 mx1.hostinger.com.;MX:10 mx2.hostinger.com.,NA,03-04-2026,17:12:21,NA,weak_or_single_signal_match; NA values are due to privacy issues.
