input_position,input_url,normalized_url,source_workbook,best_entity,best_matching_domain,lexical_score,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,deep_analysis_candidate,deep_analysis_dns_accepted,deep_analysis_attempted,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,confidence_band,best_score,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,reason,exclusion_stage
1,rajasthan.census.gov.in,https://rajasthan.census.gov.in,dns_twist_census.xlsx,Rajasthan,rajasthan.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,2,False,False,rajasthan.census.gov.in,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://rajasthan.census.gov.in/,,,High,86.3636,True,True,False,,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,,,
2,rajasthan.census.cn,https://rajasthan.census.cn,dns_twist_census.xlsx,Assam,assam.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,rajasthan.census.cn,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://rajasthan.census.cn/ | Call log: - navigating to ""https://rajasthan.census.cn/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
3,rajasthan.census.com,https://rajasthan.census.com,dns_twist_census.xlsx,Assam,assam.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,rajasthan.census.com,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://rajasthan.census.com/ | Call log: - navigating to ""https://rajasthan.census.com/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
4,rajasthan.census.info,https://rajasthan.census.info,dns_twist_census.xlsx,Assam,assam.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,rajasthan.census.info,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://rajasthan.census.info/ | Call log: - navigating to ""https://rajasthan.census.info/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
5,rajasthan.census.org,https://rajasthan.census.org,dns_twist_census.xlsx,Assam,assam.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,1,False,False,rajasthan.census.org,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://rajasthan.census.org/,,,Medium,68.1818,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
6,rajasthan.census.co,https://rajasthan.census.co,dns_twist_census.xlsx,Assam,assam.census.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,rajasthan.census.co,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://rajasthan.census.co/ | Call log: - navigating to ""https://rajasthan.census.co/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
7,dc.crsorgi.gov.in,https://dc.crsorgi.gov.in,dns_twist_census.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,4,False,False,dc.crsorgi.gov.in,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://dc.crsorgi.gov.in/,,,High,100.0,True,True,False,,score_threshold|weak_direct_evidence|network_corroboration,,,
9,dc.crsorgi.com,https://dc.crsorgi.com,dns_twist_census.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,dc.crsorgi.com,,0,True,lexical_hit,True,True,True,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://dc.crsorgi.com/"", waiting until ""commit""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
10,dc.crsorgi.site,https://dc.crsorgi.site,dns_twist_census.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,dc.crsorgi.site,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,ssl_error,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://dc.crsorgi.site/ | Call log: - navigating to ""https://dc.crsorgi.site/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
11,dc.crsorgi.info,https://dc.crsorgi.info,dns_twist_census.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,1.0,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,0,False,False,dc.crsorgi.info,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://dc.crsorgi.info/ | Call log: - navigating to ""https://dc.crsorgi.info/"", waiting until ""domcontentloaded""",about:blank,,,Low,0.0,False,False,False,,failed_fetch_strict_lexical_suspected,,fetch_timeout_or_fetch_failed,hashing_shortlist
