Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,final_domain,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
BSE Ltd.,bseindia.com,https://behindad.com,05-04-2026_input.csv,60.7143,Low,60.7143,weak_evidence,0.85,0.85,0.75,0.78,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,BSE Ltd.,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://behindad.com/,,,,60.7143,25.5,0.0,True,behindad.com,0.78,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\behindad.com.png,behindad | high-roi digital marketing,"behindad | high-roi digital marketing 
we scale d2c brands
with ads that actually
make money.
 meta · google · cro. we don't just run ads — we build 
           profitable customer acquisition systems. founders who 
           manage your account, every single day. ₹20cr+ ad spend managed +20 d2c brands scaled 3.5x avg. roas delivered 4+ years experience brands helped your ads aren't broken.your strategy is. most d2c brands are spending money on ads without a system. here's what we see — and how"
Jio,jio.com,https://jiqnou.com,05-04-2026_input.csv,86.6667,High,86.6667,weak_evidence,0.8667,0.8667,0.6667,0.6967,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Jio,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://jiqnou.com/,,,,86.6667,26.0,0.0,True,jiqnou.com,0.6967,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\jiqnou.com.png,domain error,domain error ドメインウェブの設定が見つかりません 考えられる原因
HDFC Bank,hdfc.com,https://hdfcbg.com,05-04-2026_input.csv,66.6667,Low,66.6667,weak_evidence,0.9333,0.9333,0.8,0.83,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,HDFC Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://hdfcbg.com/,,,,66.6667,28.0,0.0,True,hdfcbg.com,0.83,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\hdfcbg.com.png,default page,default page you are all set to go! all you have to do now is upload your website files and start your journey. check out how to do that below:
Kfintech,kfintech.com,https://fintechfaq.com,05-04-2026_input.csv,61.3095,Low,61.3095,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/fintechfaq.com?utm_source=TDFS_BINNS&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns_base&traffic_type=TDFS_BINNS&traffic_id=binns&,,,,61.3095,25.75,0.0,True,forsale.godaddy.com,0.8078,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\fintechfaq.com.png,access denied,"access denied access denied 
reference #18.85014017.1777093820.53f0407e
 https://errors.edgesuite.net/18.85014017.1777093820.53f0407e"
National Health Authority (NHA),nha.gov.in,https://flowers-nha-trang.online,05-04-2026_input.csv,21.4286,Low,21.4286,weak_evidence,0.3,0.0,0.3,0.3,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://flowers-nha-trang.online/,,,,21.4286,9.0,0.0,True,flowers-nha-trang.online,0.3,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\flowers-nha-trang.online.png,доставка цветов в нячанге,"доставка цветов в нячанге 
                доставка цветов, шаров и подарков в нячанге
             
                свежие цветы с бесплатной доставкой день в день. порадуйте близких, даже если вы далеко.
             наш каталог белые розы 25 шт - 500 000 донгов 51 шт - 1 000 000 донгов 101 шт - 1 500 000 донгов розовые розы 25 шт - 500 000 донгов 51 шт - 1 000 000 донгов 101 шт - 1 500 000 донгов розовые розы 25 шт - 500 000 донгов 51 шт - 1 000 000 донгов 101 шт - 1 500 000 донгов розовые ро"
Axis Bank,axismaxlife.com,https://axis-nextbase.digital,05-04-2026_input.csv,48.3802,Low,48.3802,weak_evidence,0.6773,0.6773,0.5,0.5,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,True,Axis Bank,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://axis-nextbase.digital/,,,,48.3802,20.3197,0.0,True,axis-nextbase.digital,0.5,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axis-nextbase.digital.png,,
Axis Bank,axismaxlife.com,https://axisalign.com,05-04-2026_input.csv,47.2944,Low,47.2944,weak_evidence,0.8828,0.8828,0.7,0.73,True,False,jw_primary,lexical,weak_direct_evidence|network_corroboration|parked_sale_signal,,True,Axis Bank,True,True,True,False,weak_direct_evidence|network_corroboration|parked_sale_signal,weak_direct_evidence|network_corroboration|parked_sale_signal,fetched,available,,,https://www.hugedomains.com/domain_profile.cfm?d=axisalign.com,HugeDomains,provider_hosted_parking_redirect,provider_hosted_parking_redirect,47.2944,26.4848,0.0,True,www.hugedomains.com,0.73,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axisalign.com.png,axisalign.com is for sale | hugedomains,"axisalign.com is for sale | hugedomains axisalign.com this domain is for sale: $8,995 buy now for $8,995 or pay $374.79 per month for 24 months 
make 24 monthly payments
pay 0% interest
start using the domain today. see details
 
make 24 monthly payments
pay 0% interest
 
start using the domain today. see details
 this domain is for sale: $8,995 since 2005, we've helped thousands of people get the perfect domain name great service! purchase went smooth. huge domains is always a pleasure to deal "
National Health Authority (NHA),nha.gov.in,https://nha.coffee,05-04-2026_input.csv,71.4286,Medium,28.5714,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,National Health Authority (NHA),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://nha.coffee/,,,,71.4286,30.0,0.0,True,nha.coffee,1.0,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,1,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\nha.coffee.png,nha.coffee,nha.coffee
Axis Bank,axismaxlife.com,https://axistase.com,05-04-2026_input.csv,46.0227,Low,3.1656,weak_evidence,0.8591,0.8591,0.6316,0.6616,True,False,jw_primary,lexical,weak_direct_evidence|network_corroboration,,True,Axis Bank,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://axistase.com/,,,,46.0227,25.7727,0.0,True,axistase.com,0.6616,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axistase.com.png,axistase,"
   axistase
  "
Air India,airindiaexpress.com,https://axis3pl.com,05-04-2026_input.csv,0.0,Low,0.0,weak_evidence,0.6127,0.6127,0.3636,0.3936,False,False,fallback_top_k,lexical,network_corroboration,,True,Axis Bank,False,True,False,False,network_corroboration,network_corroboration,fetched,available,,,https://axis3pl.com/,,,,0.0,18.381,0.0,True,axis3pl.com,0.3936,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,False,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axis3pl.com.png,axis3pl.com,"axis3pl.com axis 3pl axis 3pl launching soon launching soon subscribe sign up to be the first to get updates. copyright © 2024 axis 3pl - all rights reserved. powered by  we use cookies to analyze website traffic and optimize your website experience. by accepting our use of cookies, your data will be aggregated with all other user data."
